4'巴尔扎利将球处理出底线,帕尔马获得角球.                   4'开场4分钟，帕尔马左侧角球被布冯击出，帕莱塔禁区边缘凌空射门高出
12'乔文科为尤文图斯在对方半场,赢得一个任意球.                   10'第10分钟，巴尔德斯后场丢球，博格巴左肋脚后跟直传，夸利亚雷拉距门25米处转身弧线球偏出右门柱
12'帕尔马球员桑塔克罗切拼抢犯规,对手获得控球权.                   10'第10分钟，巴尔德斯后场丢球，博格巴左肋脚后跟直传，夸利亚雷拉距门25米处转身弧线球偏出右门柱
13'帕尔马球员帕罗洛大禁区左侧左脚射门,被防守球员封堵.给他传球的是贝尔福迪尔.                   10'第10分钟，巴尔德斯后场丢球，博格巴左肋脚后跟直传，夸利亚雷拉距门25米处转身弧线球偏出右门柱
49'比亚比亚尼为帕尔马赢得一个任意球.                   46'1分钟后，戈比与阿毛里打出踢墙配合，禁区边缘左脚大力抽射偏出近角
49'尤文图斯球员帕多因拼抢犯规,对手获得控球权.                   46'1分钟后，戈比与阿毛里打出踢墙配合，禁区边缘左脚大力抽射偏出近角
19'射门!!!帕尔马球员贝尔福迪尔大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是马尔基奥尼.                   19'第19分钟，玛尔吉尼奥传球，贝尔福迪禁区右侧距门10米处斜射被布冯没收
21'帕尔马球员贝尔福迪尔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是比亚比亚尼.                   19'第19分钟，玛尔吉尼奥传球，贝尔福迪禁区右侧距门10米处斜射被布冯没收
22'尤文图斯球员夸利亚雷拉一脚直塞球给乔文科,但是边裁举旗显示后者已经越位.                   19'第19分钟，玛尔吉尼奥传球，贝尔福迪禁区右侧距门10米处斜射被布冯没收
29'尤文图斯球员博格巴大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是夸利亚雷拉.                   29'第29分钟，夸利亚雷拉前场抢断，博格巴禁区弧顶推射偏出右门柱
31'尤文图斯球员博努奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博格巴.                   29'第29分钟，夸利亚雷拉前场抢断，博格巴禁区弧顶推射偏出右门柱
34'帕尔马球员贝尔福迪尔大禁区中央右脚射门,被防守球员封堵.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
34'帕尔马球员阿毛里大禁区中央尝试右脚射门,可惜皮球偏出球门.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
35'射门!!!尤文图斯球员夸利亚雷拉大禁区中央头球,被对方守门员横身扑出.给他传球的是利西斯泰纳.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
35'尤文图斯球员利西斯泰纳球门右侧小角度右脚射门,被防守球员封堵.给他传球的是夸利亚雷拉.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
35'戈比将球处理出底线,尤文图斯获得角球.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
36'尤文图斯球员巴尔扎利大禁区外左脚射门,被防守球员封堵.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
36'射门!!!尤文图斯球员夸利亚雷拉大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是巴尔扎利.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
37'射门!!!尤文图斯球员博格巴大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   34'第34分钟，贝尔福迪传中给阿毛里，博努奇头球解围不远，贝尔福迪右侧距门13米处半凌空抽射被利希施泰纳封堵，阿毛里侧身凌空勾射打高
37'射门!!!尤文图斯球员博格巴大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   37'第37分钟，博格巴左路低射被米兰特得到
38'帕尔马球员马尔基奥尼拼抢犯规,对手获得控球权.                   37'第37分钟，博格巴左路低射被米兰特得到
38'博格巴为尤文图斯在对方半场,赢得一个任意球.                   37'第37分钟，博格巴左路低射被米兰特得到
39'射门!!!尤文图斯球员皮尔洛大禁区外右脚射门,被对方守门员横身扑出.                   37'第37分钟，博格巴左路低射被米兰特得到
39'米兰特将球处理出底线,尤文图斯获得角球.                   37'第37分钟，博格巴左路低射被米兰特得到
39'射门!!!尤文图斯球员帕多因大禁区外右脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   37'第37分钟，博格巴左路低射被米兰特得到
39'米兰特将球处理出底线,尤文图斯获得角球.                   37'第37分钟，博格巴左路低射被米兰特得到
41'射门!!!尤文图斯球员夸利亚雷拉大禁区外右脚射门,被对方守门员横身扑出.给他传球的是巴尔扎利.                   41'第41分钟，夸利亚雷拉右侧禁区边缘转身低射被米兰特得到
42'博努奇将球处理出底线,帕尔马获得角球.                   41'第41分钟，夸利亚雷拉右侧禁区边缘转身低射被米兰特得到
52'进球啦！！！尤文图斯球员皮尔洛右脚射门,球从右上角飞进球门,球进了! 帕尔马 0-1 尤文图斯.                   52'下半时开始7分钟，尤文打破僵局
53'萨帕塔为帕尔马赢得一个任意球.                   52'下半时开始7分钟，尤文打破僵局
53'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   52'下半时开始7分钟，尤文打破僵局
54'帕尔马球员萨帕塔一脚直塞球给阿毛里,但是边裁举旗显示后者已经越位.                   52'下半时开始7分钟，尤文打破僵局
55'帕尔马球员萨帕塔拼抢犯规,对手获得控球权.                   52'下半时开始7分钟，尤文打破僵局
55'比达尔为尤文图斯在对方半场,赢得一个任意球.                   52'下半时开始7分钟，尤文打破僵局
65'尤文图斯球员夸利亚雷拉尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是皮尔洛.                   65'第65分钟，夸利亚雷拉中圈抢断距门50米处直接吊射高出
65'尤文图斯换人,博切列换下帕多因                   65'第65分钟，夸利亚雷拉中圈抢断距门50米处直接吊射高出
78'尤文图斯球员武齐尼奇一脚直塞球给乔文科,但是边裁举旗显示后者已经越位.                   78'第78分钟，帕莱塔中场捅传，刚出场的桑索内加速摆脱卡塞雷斯，突入禁区右侧距门11米处推进远角，1比1
84'帕尔马球员萨帕塔拼抢犯规,对手获得控球权.                   84'第84分钟，乔文科传球，武齐尼奇远射被米兰特得到
84'皮尔洛为尤文图斯在对方半场,赢得一个任意球.                   84'第84分钟，乔文科传球，武齐尼奇远射被米兰特得到
84'射门!!!尤文图斯球员武齐尼奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   84'第84分钟，乔文科传球，武齐尼奇远射被米兰特得到
87'帕尔马球员贝尔福迪尔拼抢犯规,对手获得控球权.                   84'第84分钟，乔文科传球，武齐尼奇远射被米兰特得到
87'博努奇为尤文图斯赢得一个任意球.                   84'第84分钟，乔文科传球，武齐尼奇远射被米兰特得到
