4'程月磊发门球到前场，对方断球                   1'第1分钟两队球员在场上拼抢十分激烈，但场面上精彩不足
47'奥拉纳尔中路带球进攻，贝克曼连拉带抱，将奥拉纳尔放倒                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
48'任意球发出来，卢琳外围一脚劲射，被挡了一下偏出底线，角球                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
48'卢琳发角球到禁区内，跟上队员打门偏出                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
49'大连阿尔滨左路攻到前场，直传禁区，索拉里越位                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
50'广州富力队左路攻到前场，对方抢球犯规                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
50'任意球发到禁区内，对方抢点把球破坏出来                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
50'大连阿尔滨打快速反击，卢琳背后将索拉里放倒，吃到了黄牌                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
56'金强外围一脚大力远射，程月磊侧扑把球扑出底线                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
56'角球发前点，太低了，对方头球解围                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
57'gtrhjjy：阿尔滨一定能赢下比赛[回复]阿尔滨一直打得很积极！可到前场办法少了点                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
57'索拉里争顶时压人犯规                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
57'姜至鹏在前场抢球犯规，侵犯了金洋洋                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
58'gtrhjjy：阿尔滨加油！赢下比赛，我是鲁能球迷[回复]我们希望是精彩的比赛，私心不要太重！                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
59'朴钟佑左路带球突破，陈涛抢球犯规                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
59'刚才突破的是张远，为广州富力队赢得任意球机会                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
59'任意球发到门前，张翀轻松没收                   56'第56分钟，金强的一脚势大力沉的禁区外远射直奔球门死角，程月磊侧身用指尖将来球挡出底线
64'唐淼后场抢球，踢倒了对方                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
64'广州富力队换人：朱宝杰上场，换下王晓龙                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
65'任意球发出来，广州富力队断球左路反击                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
65'姜至鹏左路突破横传，艾迪手球犯规！                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
65'这个手球很明显！广州富力队前场左路任意球机会                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
65'任意球发到禁区内，张翀出击把球打出边线                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
66'张远和奥拉纳尔右路配合，没能成功                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
66'中场广州富力队得球，对方有推人动作                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
66'朱宝杰接奥拉纳尔传球，突然一脚远射，打在对方身上弹出来                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
67'张远在前场抢球犯规，放倒了陈涛                   64'第64分钟，广州富力率先进行换人调整，朱宝杰替补王晓龙上阵
73'艾迪右路突破到禁区内，一脚劲射，被程月磊扑住                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
73'广州富力队快速反击到中场，索拉里犯规                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
73'奥拉纳尔左路带球到禁区内，底线回带，艾迪把球碰出底线                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
74'卢琳发角球到前点，这球发得质量太一般啦，许博接球后传，球出底线                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
75'王远强：钟佑主罚角球任意球好差，为什么老是他主罚？我看卢林罚的不错，埃里克森也不怎样，挑这种人主罚，主播你觉得朴钟佑罚的怎样？卢琳罚得更多一些啊                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
75'奥拉纳尔左路突破到禁区内，对方把球破坏出底线                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
75'角球发出来，广州富力队横传禁区，对方再把球破坏出边线                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
75'这段时间广州富力队的进攻进一步加强                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
76'界外球发出来，广州富力队左路横传前点，奥拉纳尔头球顶出了底线                   73'第73分钟，陈涛妙传边路前插的艾迪，后者在禁区角附近大力远射，程月磊将球扑住
78'大连阿尔滨长传前场右路，也没能传好，直接传出边线                   78'第78分钟，阿尔滨通过换人意图加强攻势，孙铂替换小将孙国文上阵
78'大连阿尔滨换人：29号孙铂上场，换下孙国文                   78'第78分钟，阿尔滨通过换人意图加强攻势，孙铂替换小将孙国文上阵
79'姜宁边路突破横传，广州富力队把球转移到右路进攻                   78'第78分钟，阿尔滨通过换人意图加强攻势，孙铂替换小将孙国文上阵
80'广州富力队明显压了出来，但想破大连阿尔滨的防线，也不容易！                   78'第78分钟，阿尔滨通过换人意图加强攻势，孙铂替换小将孙国文上阵
80'张翀大脚开球到前场，哇，索拉里外围一脚大力远射险些破门，被程月磊奋力扑出底线                   78'第78分钟，阿尔滨通过换人意图加强攻势，孙铂替换小将孙国文上阵
81'角球发到禁区内，索拉里冲撞门将！                   78'第78分钟，阿尔滨通过换人意图加强攻势，孙铂替换小将孙国文上阵
