2'克鲁泽送出长传球，球被曾诚抱住                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
50'偏了                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
51'中圈保利尼奥将球控制下来                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
57'辽宁换人了                   57'第57分钟，辽宁队换人调整，杨宇换下张野
57'杨宇换下了张野                   57'第57分钟，辽宁队换人调整，杨宇换下张野
58'郜林前场拿球，回传郑智，长传球给禁区                   57'第57分钟，辽宁队换人调整，杨宇换下张野
58'球被门将没收                   57'第57分钟，辽宁队换人调整，杨宇换下张野
59'大脚将球开出来                   57'第57分钟，辽宁队换人调整，杨宇换下张野
59'前场争抢                   57'第57分钟，辽宁队换人调整，杨宇换下张野
60'梅方大脚解围出来                   57'第57分钟，辽宁队换人调整，杨宇换下张野
66'克鲁泽拿球，快速带球禁区                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
66'被放倒了，裁判哨响                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
66'点球                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
66'王上源的犯规，裁判向王上源出示了黄牌                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
67'恒大众将都非常不满呀                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
67'咦，裁判又出示了一张黄牌                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
67'给谁？                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
68'红牌，王上源连续领到两张黄牌，被罚下了呀                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
68'阿萨尼站在皮球前                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
68'助跑，选择右脚大门                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
69'进了！！！！！！！！！！！！！                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
69'客场作战的辽宁取得了领先                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
69'而且恒大目前场上还少打一人                   66'第66分钟，辽宁队打出快速反击，王上源禁区线附近对克鲁泽犯规，被判罚点球+黄牌套餐，但犯规地点在禁区外，点球有所牵强，王上源上前解释再次吃到黄牌，王上源两黄变一红被罚出场
70'OK，继续看比赛                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
70'阿兰拿球，传球保利尼奥，突破，插上来一脚射门                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
70'打到了边网上                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
70'恒大再次选择了换人，黄博文换下了阿兰                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
71'克鲁泽拿球，被郑智犯规了                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
72'裁判出示了黄牌                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
73'中场郑智将球控制下来                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
73'直接送出直塞球，高拉特拿球，来一脚射门                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
73'打偏了一点点                   70'第70分钟，广州恒大再次换人，黄博文换下阿兰
73'中场郑智将球控制下来                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
73'直接送出直塞球，高拉特拿球，来一脚射门                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
73'打偏了一点点                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
74'辽宁换人了                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
74'王亮换人了倪玉松                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
74'恒大边线球开出来                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
74'张成林拿球，传球禁区，郜林的头球破门                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
75'进了！！！！！！！！！！！！                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
75'恒大最不利的情况下扳平了比分呀                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
75'郜林插上头球将球顶入球网                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
76'继续看比赛                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
76'中场郑智将球控制下来                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
76'直传球给高拉特，回敲张成林，外围来一脚                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
76'打高了呀                   73'第73分钟，高拉特近乎零角度外脚背弧线球射门，球擦着远端立柱稍稍偏出
80'传球张文钊，带球突破禁区，摔倒了                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
80'裁判哨响，点球                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
80'恒大这边也是获得了一个点球呀                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
80'犯规的是刘尚坤                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
81'高拉特准备来主罚点球                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
81'助跑，也是推右下角，进了进了！！！！！！！！！！！                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
81'恒大在少一人的情况下，暂时反超了比分                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
81'5连冠的底蕴你是绝对不能忽视的                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
82'OK，继续看比赛把，大约还有10分钟比赛就结束了                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
83'王浩拿球，高拉特将球断下来                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
83'传球张成林，传球禁区，球被门将抱住                   80'第80分钟，张文钊边路拿球内切，刘尚坤禁区内倒地铲球直接将张文钊放倒在地，主裁判再次判罚点球，高拉特主罚命中，广州恒大2-1逆转比分
87'保利尼奥快速带球突破，外围突然来一脚射门                   87'第87分钟，保利尼奥突破制造机会，高拉特射空门射中立柱
87'球被门将扑出来                   87'第87分钟，保利尼奥突破制造机会，高拉特射空门射中立柱
88'高拉特外围拿球，传球禁区，保利尼奥的凌空打门                   87'第87分钟，保利尼奥突破制造机会，高拉特射空门射中立柱
88'球又被门将扑出来来了                   87'第87分钟，保利尼奥突破制造机会，高拉特射空门射中立柱
89'王浩送出斜长传球，裁判哨响，又是吹了攻方犯规                   87'第87分钟，保利尼奥突破制造机会，高拉特射空门射中立柱
90'前场张成林拿球，被犯规了                   87'第87分钟，保利尼奥突破制造机会，高拉特射空门射中立柱
90'恒大前场定位球机会                   87'第87分钟，保利尼奥突破制造机会，高拉特射空门射中立柱
47'高拉特禁区外围拿球                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
47'回给中圈的张琳芃                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
48'克鲁泽将球控制下来                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
48'裁判哨响，上半场比赛结束                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
48'双方暂时都没有进球                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
47'高拉特传球阿兰，阿兰来一脚射门                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
47'球被扑出了底线                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
47'恒大获得角球机会                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
48'后点，球被解围出来                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
48'王上源拿球，传球禁区，球被解围出来                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
49'中场郑智将球控制下来，被放倒了                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
49'恒大定位球机会                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
49'于汉超传球禁区，球被挡出来                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
50'阿兰禁区外围拿球，来一脚射门                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
50'偏了                   47'补时2分钟，张琳芃倒地飞铲放倒阿萨尼，被黄牌警告
