4'皮尔洛拿球组织反击，左路德切利第一下拿球没停好                   4'开场4分钟，塔赫特西迪斯在门前25米处左脚射门被布冯得到
48'皮尔洛禁区前拿球挑传罗马后卫身后，马特里面对出击的门将选择挑射，不过还是被斯特克伦博格跃起把球挡下                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
48'武齐尼奇第二点拿到球也没有形成打门                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
49'奥斯瓦尔多接应传中的头球攻门，推人犯规了                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
49'下半场开场后还是尤文获得了两次绝佳的打门机会                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
49'按照这个势头，比分上或许还会有变化                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
50'今天皮尔洛在中场的拿球组织相当出色，多次送出绝妙助攻                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
51'马特里中场断球，沿右路带球，横传中路武齐尼奇时没处理好                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
51'武齐尼奇弧顶前拿球直塞，斯特克伦博格及时出击，在卡塞雷斯之前把球拿到                   48'3分钟后，斯特克伦伯格将球击出，马特里射门被卡斯坦手臂封堵，点球
19'马特里得分！！！3比0！！！                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
20'尤文比达尔中场送出绝妙挑传，马特里反越位插上胸部停球后面对门将推射得分！！                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
20'开场不到20分钟，尤文已经3比0领先了                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
20'武齐尼奇左路拿球被布尔迪索铲倒，布尔迪索也吃到黄牌                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
21'塔代伊、卡斯坦、布尔迪索三名后卫都拿到了黄牌                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
21'武齐尼奇禁区里接到马特里的直传后，转身打门没有力量，斯特克伦博格把球没收                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
22'德切利左路传中，斯特克伦博格把球打出                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
22'不过边裁示意马特里先越位了                   19'尤文第19分钟再添一分，比达尔中场左脚传出过顶球，马特里胸部停球摆脱布尔迪索，距门12米处左脚推射碰斯特克伦伯格入大门右侧，3比0
21'塔代伊、卡斯坦、布尔迪索三名后卫都拿到了黄牌                   21'第21分钟，马特里传入禁区，武齐尼奇打右下角被斯特克伦伯格得到
21'武齐尼奇禁区里接到马特里的直传后，转身打门没有力量，斯特克伦博格把球没收                   21'第21分钟，马特里传入禁区，武齐尼奇打右下角被斯特克伦伯格得到
22'德切利左路传中，斯特克伦博格把球打出                   21'第21分钟，马特里传入禁区，武齐尼奇打右下角被斯特克伦伯格得到
22'不过边裁示意马特里先越位了                   21'第21分钟，马特里传入禁区，武齐尼奇打右下角被斯特克伦伯格得到
23'尤文前场再次做出精妙配合，基耶利尼送出妙传，马尔基西奥插上小角度抽射击中横梁弹出！！                   21'第21分钟，马特里传入禁区，武齐尼奇打右下角被斯特克伦伯格得到
23'尤文今天面对罗马的防线打的太轻松了吧                   21'第21分钟，马特里传入禁区，武齐尼奇打右下角被斯特克伦伯格得到
24'不到20分钟就连中三球，恐怕泽曼也没有想到吧                   21'第21分钟，马特里传入禁区，武齐尼奇打右下角被斯特克伦伯格得到
33'外围罗马球员再次把球交到托蒂脚下                   33'第33分钟，武齐尼奇过顶球送到禁区右侧，无人盯防的比达尔左脚射门偏出远门柱
33'狼王试图强行突入禁区，基耶利尼把球断下                   33'第33分钟，武齐尼奇过顶球送到禁区右侧，无人盯防的比达尔左脚射门偏出远门柱
34'尤文反击，武齐尼奇左侧把球分到禁区右侧肋部的比达尔，智利人打门高出横梁                   33'第33分钟，武齐尼奇过顶球送到禁区右侧，无人盯防的比达尔左脚射门偏出远门柱
34'罗马准备换人了，马基尼奥斯换下巴尔扎雷蒂                   33'第33分钟，武齐尼奇过顶球送到禁区右侧，无人盯防的比达尔左脚射门偏出远门柱
35'在后防线做出了调整，换上一名18岁的年轻后卫马基尼奥斯                   33'第33分钟，武齐尼奇过顶球送到禁区右侧，无人盯防的比达尔左脚射门偏出远门柱
35'奥斯瓦尔多前场拼抢时抻了一下，不过问题不大                   33'第33分钟，武齐尼奇过顶球送到禁区右侧，无人盯防的比达尔左脚射门偏出远门柱
36'皮尔洛中场送出准确长传，马特里插上拿球面对三人包夹回传禁区线上的武齐尼奇，后者直接抽射再次击中横梁弹出                   33'第33分钟，武齐尼奇过顶球送到禁区右侧，无人盯防的比达尔左脚射门偏出远门柱
36'皮尔洛中场送出准确长传，马特里插上拿球面对三人包夹回传禁区线上的武齐尼奇，后者直接抽射再次击中横梁弹出                   36'第36分钟，马特里禁区内卸下后场长传后回做，武齐尼奇在门前22米处抽射击中横梁
37'如果门将不能挽救球队，还有横梁帮助罗马阻挡尤文球员的打门                   36'第36分钟，马特里禁区内卸下后场长传后回做，武齐尼奇在门前22米处抽射击中横梁
38'半场取得三个进球，击中两次横梁，造成对方4名后卫各一张黄牌，还有比这更完美的半场吗                   36'第36分钟，马特里禁区内卸下后场长传后回做，武齐尼奇在门前22米处抽射击中横梁
38'拉梅拉禁区内下底传中被博努齐头球解围出底线，角球                   36'第36分钟，马特里禁区内卸下后场长传后回做，武齐尼奇在门前22米处抽射击中横梁
39'博努齐一直在和拉梅拉两个口头上争执着一些东西                   36'第36分钟，马特里禁区内卸下后场长传后回做，武齐尼奇在门前22米处抽射击中横梁
39'角球解围出来，罗马球员出现传球失误                   36'第36分钟，马特里禁区内卸下后场长传后回做，武齐尼奇在门前22米处抽射击中横梁
39'尤文断球后的反击，速度很快到了前场，马特里分球给左侧的比达尔时越位了                   36'第36分钟，马特里禁区内卸下后场长传后回做，武齐尼奇在门前22米处抽射击中横梁
47'左路塔代伊上来和队友配合失误了                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
47'马基尼奥斯上场后出现在右后卫，把塔代伊换到了左路                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
48'上半场比赛结束了                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
48'又是塔代伊左路强行下底传中，拉梅拉的头球没有力量，布冯轻松把球拿到                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
47'武齐尼奇接到马尔基西奥的传球后禁区外突然发炮，斯特克伦博格飞身单掌把球托出底线                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
47'尤文战术角球没有什么威胁                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
48'皮尔洛禁区前拿球挑传罗马后卫身后，马特里面对出击的门将选择挑射，不过还是被斯特克伦博格跃起把球挡下                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
48'武齐尼奇第二点拿到球也没有形成打门                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
49'奥斯瓦尔多接应传中的头球攻门，推人犯规了                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
49'下半场开场后还是尤文获得了两次绝佳的打门机会                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
49'按照这个势头，比分上或许还会有变化                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
50'今天皮尔洛在中场的拿球组织相当出色，多次送出绝妙助攻                   47'第47分钟，皮尔洛中路挑传，马特里在门前7米处凌空弹射被斯特克伦伯格得到
66'佩罗塔禁区前尝试一脚远射，力量不大，偏出球门                   66'第66分钟，佩罗塔外围尝试射门偏出左门柱，接着弗洛伦齐远射被卡塞雷斯挡出底线
67'刚刚德斯特罗也上场了                   66'第66分钟，佩罗塔外围尝试射门偏出左门柱，接着弗洛伦齐远射被卡塞雷斯挡出底线
68'罗马战术角球，外围45度传入禁区，后点的德斯特罗侧凌空的右脚打门稍稍高出横梁，动作很漂亮啊                   66'第66分钟，佩罗塔外围尝试射门偏出左门柱，接着弗洛伦齐远射被卡塞雷斯挡出底线
68'德斯特罗和队友撞墙配合后突入禁区被博努齐拉倒，点球！！                   66'第66分钟，佩罗塔外围尝试射门偏出左门柱，接着弗洛伦齐远射被卡塞雷斯挡出底线
68'罗马也拿到一个点球，奥斯瓦尔多主罚                   66'第66分钟，佩罗塔外围尝试射门偏出左门柱，接着弗洛伦齐远射被卡塞雷斯挡出底线
69'奥斯瓦尔多骗过布冯，打了一个反向，扳回1分                   66'第66分钟，佩罗塔外围尝试射门偏出左门柱，接着弗洛伦齐远射被卡塞雷斯挡出底线
69'奥斯瓦尔多骗过布冯，打了一个反向，扳回1分                   69'罗马第69分钟追回一分，德斯特罗突入禁区左侧被博努奇撞倒在地，主裁判里佐利吹点球，奥斯瓦尔多操刀右脚推射入左下角，1比3
70'罗马凭借奥斯瓦尔多的点球破门，把比分扳成1比3                   69'罗马第69分钟追回一分，德斯特罗突入禁区左侧被博努奇撞倒在地，主裁判里佐利吹点球，奥斯瓦尔多操刀右脚推射入左下角，1比3
70'德斯特罗上场后两个球的处理很惊艳啊                   69'罗马第69分钟追回一分，德斯特罗突入禁区左侧被博努奇撞倒在地，主裁判里佐利吹点球，奥斯瓦尔多操刀右脚推射入左下角，1比3
71'尤文快速反击，左路德切利传中到禁区里马特里，马特里倒在了禁区里                   69'罗马第69分钟追回一分，德斯特罗突入禁区左侧被博努奇撞倒在地，主裁判里佐利吹点球，奥斯瓦尔多操刀右脚推射入左下角，1比3
71'裁判向马特里出示一张黄牌，认为他假摔                   69'罗马第69分钟追回一分，德斯特罗突入禁区左侧被博努奇撞倒在地，主裁判里佐利吹点球，奥斯瓦尔多操刀右脚推射入左下角，1比3
72'马尔基西奥禁区外接到武齐尼奇的回传球，右脚打门稍稍偏出啊，门将毫无反应                   69'罗马第69分钟追回一分，德斯特罗突入禁区左侧被博努奇撞倒在地，主裁判里佐利吹点球，奥斯瓦尔多操刀右脚推射入左下角，1比3
73'武齐尼奇禁区外漂亮的远射再次被斯特克伦博格飞身扑出底线                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
73'角球给到门前制造了一阵混乱啊                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
74'德切利后点抢射打中门柱后，被禁区线上的博努齐把球挡进球门，不过越位在先                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
74'尤文今天的第三次门框，再次错失扩大战果的机会                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
75'罗马打进一球后，尤文明显又加强了攻势                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
75'比达尔中场犯规                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
76'任意球给到禁区里，罗马多人越位了                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
76'尤文换人，阿萨莫阿和乔文科同时出场                   73'第73分钟，武齐尼奇左路下底回敲，马尔基西奥在门前19米处低射偏出远门柱
73'武齐尼奇禁区外漂亮的远射再次被斯特克伦博格飞身扑出底线                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
73'角球给到门前制造了一阵混乱啊                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
74'德切利后点抢射打中门柱后，被禁区线上的博努齐把球挡进球门，不过越位在先                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
74'尤文今天的第三次门框，再次错失扩大战果的机会                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
75'罗马打进一球后，尤文明显又加强了攻势                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
75'比达尔中场犯规                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
76'任意球给到禁区里，罗马多人越位了                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
76'尤文换人，阿萨莫阿和乔文科同时出场                   73'第73分钟，德切列射门被挡出，博努奇在门前1米处补射入网，但已越位在先
77'换下的是马特里和马尔基西奥                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
77'尤文小王子今天也是错失多次得分良机啊                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
77'德斯特罗左路突破后横传禁区里的奥斯瓦尔多                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
78'奥斯瓦尔多拿球晃开角度后打门被布冯倒地把球扑住                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
78'奥斯瓦尔多前场抢球对基耶里尼犯规                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
79'柏毅说:目前意甲的态势来看，最有机会终结尤文不败金身的可能是那布勒斯，两队下轮将交手吧？米兰双雄虽然近况不佳，但与尤文交手时有超常的表现也是有可能的---和那不勒斯要到10月21号了                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
80'游客47cb7说:主持人，我想问一下米兰的沙维拉为什么叫小法老---因为有埃及血统？                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
80'游客d662b说:德斯特罗为什么不去尤文---今天换上后，德斯特罗盘活了罗马整个的进攻                   77'第77分钟，德斯特罗左路内切低传，奥斯瓦尔多在门前12米处抽射被布冯没收
87'罗马右路送出直传，奥斯瓦尔多禁区里顺着来球的一脚撩射高出横梁                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
87'卡塞雷斯右路传球被弗洛伦齐挡出边线                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
88'博格巴禁区外突施冷箭的远射偏出球门                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
88'博格巴上场后坐镇中路，阿萨莫阿回到了左路的位置                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
89'武齐尼奇前场连续两个撞人犯规吃到了黄牌                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
89'今天武齐尼奇没进球真是不高兴了                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
90'基耶里尼中场高空拦截后顺势撞倒了马基尼奥斯                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
90'罗马任意球传到禁区，后卫解围出来                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
90'乔文科再进1球，锁定胜局！！！                   87'第87分钟，佩罗塔传出过顶球，奥斯瓦尔多在门前13米处凌空扫射偏出
90'基耶里尼中场高空拦截后顺势撞倒了马基尼奥斯                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
90'罗马任意球传到禁区，后卫解围出来                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
90'乔文科再进1球，锁定胜局！！！                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
91'巴尔扎利后场拿球后挑过塔代伊后长途奔袭过了半场，为乔文科送出直传球，乔文科反越位晃过门将小角度打门球进！！                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
92'尤文4比1领先罗马                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
92'全场补时3分钟也过了一半                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
92'裁判也没给足补时，全场比赛结束！！                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
92'尤文图斯兵不血刃，主场4比1轻取罗马，继续领跑意甲                   90'第90分钟，巴尔扎利反击直传，乔文科突入禁区右侧趟过斯特克伦伯格后小角度推射入网，4比1
