3'辽足进球了                   3'第3分钟胡延强接张野长传，摆脱王燊超防守，飞身铲射攻破上港队大门
89'于海左路传中，阿萨尼大脚开出                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
89'张延军跟着一脚解围                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
89'李家赫干扰王燊超发边线球吃到黄牌                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
90'武磊禁区右侧挑传，球被辽足拦截                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
91'刘尚坤后场带球推进，被放铲出了边线                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
91'下半场补时3分钟                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
91'杨宇禁区外围突施冷箭，颜骏凌飞身扑出                   88'第43分钟，辽宁队险些也打入一球，乌贾禁区左侧挤开贺惯后侧身射门，被颜骏凌扑了一下后中横梁而出
62'张野中场的过顶球，张延军带球出了底线                   61'第61分钟胡延强和埃尔克森拼抢时受伤倒地，但他坚持很快起身再战
62'桑一非前场带球稍大，被断掉了                   61'第61分钟胡延强和埃尔克森拼抢时受伤倒地，但他坚持很快起身再战
63'胡延强倒在了场上                   61'第61分钟胡延强和埃尔克森拼抢时受伤倒地，但他坚持很快起身再战
63'队医进场治疗一下                   61'第61分钟胡延强和埃尔克森拼抢时受伤倒地，但他坚持很快起身再战
64'韦世豪右路回敲，傅欢的斜传弧顶                   61'第61分钟胡延强和埃尔克森拼抢时受伤倒地，但他坚持很快起身再战
64'埃尔克森做给艾哈迈多夫                   61'第61分钟胡延强和埃尔克森拼抢时受伤倒地，但他坚持很快起身再战
68'胡延强左路扣球摆脱，被傅欢放倒了                   68'第68分钟鲍马尔左路开出任意球，杨宇手球攻门偏出，裁判没有看到
68'辽足获得前场左路定位球                   68'第68分钟鲍马尔左路开出任意球，杨宇手球攻门偏出，裁判没有看到
69'鲍马尔任意球找前点，杨宇头球攻门顶偏                   68'第68分钟鲍马尔左路开出任意球，杨宇手球攻门偏出，裁判没有看到
70'奥斯卡禁区左侧兜射远角，球打偏了                   68'第68分钟鲍马尔左路开出任意球，杨宇手球攻门偏出，裁判没有看到
71'乌贾禁区外围拔脚怒射，皮球势大力沉，颜骏凌奋力扑出                   68'第68分钟鲍马尔左路开出任意球，杨宇手球攻门偏出，裁判没有看到
73'桑一非右路传中，球被拦截                   73'第73分钟辽宁队右路送球，无人看守的桑一非禁区中路稍偏
73'鲍马尔右路的大步突破，没过去啊                   73'第73分钟辽宁队右路送球，无人看守的桑一非禁区中路稍偏
73'埃尔克森禁区内争顶，推倒了阿萨尼                   73'第73分钟辽宁队右路送球，无人看守的桑一非禁区中路稍偏
75'乌贾右路传中，阿萨尼停球没停好，桑一非禁区线上跟进推射偏出                   73'第73分钟辽宁队右路送球，无人看守的桑一非禁区中路稍偏
76'桑一非左路和胡延强撞墙                   73'第73分钟辽宁队右路送球，无人看守的桑一非禁区中路稍偏
76'胡延强领球，转身自己打门了，球被挡出底线                   73'第73分钟辽宁队右路送球，无人看守的桑一非禁区中路稍偏
76'角球开出来，被顶到外围                   73'第73分钟辽宁队右路送球，无人看守的桑一非禁区中路稍偏
79'杨宇外围得球给到乌贾                   79'第79分钟，刚出场的李成林禁区左侧起右脚兜远角偏出
80'乌贾左路内切打门，打呲了                   79'第79分钟，刚出场的李成林禁区左侧起右脚兜远角偏出
80'李成林禁区前沿弧线球打门高出                   79'第79分钟，刚出场的李成林禁区左侧起右脚兜远角偏出
81'上港左路传中，武磊前点甩头攻门稍稍偏出                   79'第79分钟，刚出场的李成林禁区左侧起右脚兜远角偏出
81'辽足后场起球，被石柯解围                   79'第79分钟，刚出场的李成林禁区左侧起右脚兜远角偏出
81'上港左路传中，武磊前点甩头攻门稍稍偏出                   81'第81分钟张延军和胡延强起了小冲突，两人脑袋对顶了一会
81'辽足后场起球，被石柯解围                   81'第81分钟张延军和胡延强起了小冲突，两人脑袋对顶了一会
83'上港换人了                   81'第81分钟张延军和胡延强起了小冲突，两人脑袋对顶了一会
83'于海替下韦世豪                   81'第81分钟张延军和胡延强起了小冲突，两人脑袋对顶了一会
83'吕文君替下傅欢                   81'第81分钟张延军和胡延强起了小冲突，两人脑袋对顶了一会
84'胡延强倒在了地上                   81'第81分钟张延军和胡延强起了小冲突，两人脑袋对顶了一会
84'自己示意坚持不了了                   81'第81分钟张延军和胡延强起了小冲突，两人脑袋对顶了一会
84'胡延强倒在了地上                   84'第84分钟李家赫换下拼到受伤的胡延强
84'自己示意坚持不了了                   84'第84分钟李家赫换下拼到受伤的胡延强
85'于海左路带球，被防出了底线                   84'第84分钟李家赫换下拼到受伤的胡延强
85'奥斯卡角球开出来，于海撞人了                   84'第84分钟李家赫换下拼到受伤的胡延强
86'辽足换人，李家赫替下胡延强                   84'第84分钟李家赫换下拼到受伤的胡延强
87'吕文君前场带球被放倒，找裁判时手上有动作                   84'第84分钟李家赫换下拼到受伤的胡延强
87'被出示了黄牌                   84'第84分钟李家赫换下拼到受伤的胡延强
88'杨宇后场拦截后，被埃尔克森撂倒                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
88'奥斯卡带球分给左路，吕文君禁区前打门被封堵                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
89'于海左路传中，阿萨尼大脚开出                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
89'张延军跟着一脚解围                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
89'李家赫干扰王燊超发边线球吃到黄牌                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
90'武磊禁区右侧挑传，球被辽足拦截                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
91'刘尚坤后场带球推进，被放铲出了边线                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
91'下半场补时3分钟                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
91'杨宇禁区外围突施冷箭，颜骏凌飞身扑出                   88'第88分钟李家赫干扰上港掷界外球也吃到黄牌
90'武磊禁区右侧挑传，球被辽足拦截                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
91'刘尚坤后场带球推进，被放铲出了边线                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
91'下半场补时3分钟                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
91'杨宇禁区外围突施冷箭，颜骏凌飞身扑出                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
92'上港获得右侧角球机会                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
92'武磊角球开出，给到了外围                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
93'艾哈迈多夫打门打高了                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
93'奥斯卡斜传禁区，被碰了出来                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
93'贺惯跟进的打门，被石笑天扑出                   90'第90分钟杨宇禁区外25米突然远射，颜骏凌腾身飞起把球打出
92'上港获得右侧角球机会                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
92'武磊角球开出，给到了外围                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
93'艾哈迈多夫打门打高了                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
93'奥斯卡斜传禁区，被碰了出来                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
93'贺惯跟进的打门，被石笑天扑出                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
94'刘尚坤一脚开出了边线                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
94'王燊超掷出界外球                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
94'奥斯卡边路的传中，直接出了底线                   92'第92分钟上港左路送球，贺惯怒射被石笑天打出
