3'内马尔拿球，分球插上的拉比奥特，来一脚打门                   3'第3分钟，姆巴佩突入禁区后在右路小角度射门，球被门将贝尼特斯抱住
46'巴黎继续进攻                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'还是迪马利亚，外围的打门                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'打高了                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
47'中场马尔基尼奥斯将球控制下来                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
49'迪马利亚带球被犯规了                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
49'巴黎定位球机会                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
49'往禁区里开，球出了底线                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
49'半场比赛结束                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
49'让我们稍事休息一下                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'下半场比赛开始了                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'尼斯这边上了巴神呀                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'巴洛特利，曾经叱咤风云的人来了                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
46'巴黎进攻                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
47'马尔基尼奥斯中场拿球                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
47'进球了！！！！！！，才开场1分钟呀                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
47'感觉都还没反应过来                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
48'内马尔前场拿球，分球迪马利亚，随后分球姆巴佩，门前打门球被扑出来，插上的恩昆库补射将球打进                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
48'继续看比赛                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
49'巴黎进攻                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
49'金彭贝分球被拦截了                   46'第46分钟，迪马利亚禁区线附近接球后稍加调整，起脚远射，球又一次高出了横梁
58'这边巴黎换人了，贝尔纳特换下了恩昆库                   58'第58分钟，西普里安撞倒内马尔吃到个人本场第二张黄牌被罚下，尼斯被迫10人迎战，倒地的内马尔接受队医的治疗，比赛一度暂停
58'尼斯前场的传球又被巴黎给断下                   58'第58分钟，西普里安撞倒内马尔吃到个人本场第二张黄牌被罚下，尼斯被迫10人迎战，倒地的内马尔接受队医的治疗，比赛一度暂停
59'内马尔这边带球突破，被犯规了呀                   58'第58分钟，西普里安撞倒内马尔吃到个人本场第二张黄牌被罚下，尼斯被迫10人迎战，倒地的内马尔接受队医的治疗，比赛一度暂停
60'而犯规的是叫西普里安此前已经身背一张黄牌，两黄变一红，下场了呀老铁                   58'第58分钟，西普里安撞倒内马尔吃到个人本场第二张黄牌被罚下，尼斯被迫10人迎战，倒地的内马尔接受队医的治疗，比赛一度暂停
60'尼斯本场和巴黎实力有所差距，还2球落后，还少一人，基本上这场比赛已经交待了                   58'第58分钟，西普里安撞倒内马尔吃到个人本场第二张黄牌被罚下，尼斯被迫10人迎战，倒地的内马尔接受队医的治疗，比赛一度暂停
67'尼斯这边前场的打门，打高了                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
67'巴黎送出长传球，迪亚比拿球，传球被挡出了底线                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
68'巴黎获得角球机会                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
68'巴黎角球开出来                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
68'球被解围出来                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
68'外围争抢球                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
68'裁判吹了犯规，还给了姆巴佩的黄牌                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
70'金彭贝将球断下来                   67'第67分钟，内马尔开出角球，蒂亚戈-席尔瓦前点头球攻门，被尼斯在门线上解围
77'内马尔带球，又被犯规了                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
78'任意球内马尔直接选择打门                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
78'球被门将没收了                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
78'门将大脚将球开出来                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
78'还是巴黎控制                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
79'克雷尔传球禁区，门将抢先将球没收                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
80'贝尔纳特中场断球                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
80'这段时间巴黎完全掌控了场上的局势呀                   77'第77分钟，内马尔左侧禁区线上被犯规赢得任意球，内马尔亲自主罚，他直接射门，球被贝尼特斯抱住
90'网络卡了不好意思                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
91'马尔基尼奥斯传球禁区                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
92'内马尔禁区里争抢球，球出了底线                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
92'裁判给了角球                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
92'角球开到禁区，球被解围出来                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
92'外围巴黎控制球                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
92'姆巴佩拿球，来一脚打门，球被扑出来了                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
92'尼斯前场的传球被拦截下来                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
93'巴黎顺势反击                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
93'进球了！！！！！！                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
93'内马尔来了                   90'第90分钟，巴黎险些扩大比分，贝尔纳特左路起球，内马尔跳起强力头球攻门，球被贝尼特斯奋力扑出
