7'埃尔切球员德尔莫拉尔拼抢犯规,对手获得控球权.                   7'第7分钟，德尔莫拉尔对迪马利亚犯规被罚黄牌
41'皇家马德里球员赫迪拉一脚直塞球给科恩特朗,但是边裁举旗显示后者已经越位.                   39'第39分钟，迪马利亚禁区左侧的射门被埃雷拉救下
54'埃尔切球员哈维-马克斯拼抢犯规,对手获得控球权.                   52'皇马第52分钟打破僵局，鲁文-佩雷斯禁区前犯规，C-罗纳尔多左路25码处任意球劲射，皮球射穿人墙入近角
54'C罗为皇家马德里赢得一个任意球.                   52'皇马第52分钟打破僵局，鲁文-佩雷斯禁区前犯规，C-罗纳尔多左路25码处任意球劲射，皮球射穿人墙入近角
55'埃尔切球员德尔莫拉尔拼抢犯规,对手获得控球权.                   52'皇马第52分钟打破僵局，鲁文-佩雷斯禁区前犯规，C-罗纳尔多左路25码处任意球劲射，皮球射穿人墙入近角
55'阿韦洛亚为皇家马德里在右路,赢得一个任意球.                   52'皇马第52分钟打破僵局，鲁文-佩雷斯禁区前犯规，C-罗纳尔多左路25码处任意球劲射，皮球射穿人墙入近角
59'皇家马德里球员C罗左侧远离球门处小角度尝试左脚射门,可惜皮球偏出球门.给他传球的是阿韦洛亚.                   59'第59分钟，达米安-苏亚雷斯突入禁区右侧在赫迪拉防守下摔倒，裁判穆涅斯-费尔南德斯向前者掏出黄牌警告其假摔
60'埃尔切换人,菲德尔换下德尔莫拉尔                   59'第59分钟，达米安-苏亚雷斯突入禁区右侧在赫迪拉防守下摔倒，裁判穆涅斯-费尔南德斯向前者掏出黄牌警告其假摔
60'埃尔切球员科罗手球犯规,对手获得球权.                   59'第59分钟，达米安-苏亚雷斯突入禁区右侧在赫迪拉防守下摔倒，裁判穆涅斯-费尔南德斯向前者掏出黄牌警告其假摔
60'黄牌！埃尔切球员科罗因为故意手球,被主裁判出示黄牌.                   59'第59分钟，达米安-苏亚雷斯突入禁区右侧在赫迪拉防守下摔倒，裁判穆涅斯-费尔南德斯向前者掏出黄牌警告其假摔
62'埃尔切换人,博卡耶换下哈维-马克斯                   59'第59分钟，达米安-苏亚雷斯突入禁区右侧在赫迪拉防守下摔倒，裁判穆涅斯-费尔南德斯向前者掏出黄牌警告其假摔
65'皇家马德里球员本泽马大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.                   65'第65分钟，本泽马禁区左侧斜射偏出
68'埃尔切球员卡莱斯-希尔一脚直塞球给博卡耶,但是边裁举旗显示后者已经越位.                   65'第65分钟，本泽马禁区左侧斜射偏出
68'皇家马德里迪马利亚受伤倒地,比赛暂停                   65'第65分钟，本泽马禁区左侧斜射偏出
76'皇家马德里球员C罗被主裁判出示了一张黄牌.                   76'第76分钟，C-罗纳尔多未经裁判允许下快发任意球被黄牌警告
77'皇家马德里球员C罗一脚直塞球给拉莫斯,但是边裁举旗显示后者已经越位.                   76'第76分钟，C-罗纳尔多未经裁判允许下快发任意球被黄牌警告
79'埃尔切球员菲德尔一脚直塞球给博卡耶,但是边裁举旗显示后者已经越位.                   76'第76分钟，C-罗纳尔多未经裁判允许下快发任意球被黄牌警告
79'埃尔切球员卡洛斯-桑切斯拼抢犯规,对手获得控球权.                   76'第76分钟，C-罗纳尔多未经裁判允许下快发任意球被黄牌警告
79'伊利亚拉门迪为皇家马德里赢得一个任意球.                   76'第76分钟，C-罗纳尔多未经裁判允许下快发任意球被黄牌警告
