20'斯旺西前场进攻，再次赢得左侧角球机会！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
65'1-2！！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
65'本特克的进球！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
65'此时此刻值得来杯嘉士伯！！！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
66'利物浦右侧角球开出到禁区，本特克头球攻门，顶进球门左下方！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
67'斯科特尔后场拿球，劳特里奇的逼抢                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
67'斯科特尔回传沃德，沃德大脚开出到前场！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
68'3-1！！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
68'阿尤梅开二度！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
68'此时此刻值得来杯嘉士伯！！！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
76'利物浦前场进攻，再次赢得右侧角球机会！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
76'角球开出到禁区，第一点被斯旺西球员解围！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
77'斯旺西的反击，西古德森拿球强突，被斯图尔特放倒在地！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
77'斯图尔特被主裁判出示了黄牌警告！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
77'斯旺西之前用26号诺顿，换下了20号蒙特罗！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
77'斯旺西获得前场左侧的任意球机会！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
78'任意球斜传禁区，洛夫伦头球解围出底线！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
78'斯旺西获得角球机会！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
79'史密斯防守犯规，再被出示黄牌，两黄变一红，罚出场啦！！！                   76'利物浦第76分钟再遭打击，斯旺西解围角球试图快攻，布拉德-史密斯前场对诺顿战术犯规累计两张黄牌被罚下
