1'上半场比赛开始                   1'两支主打防守反击的球队在第1分钟都不算保守
27'延边禁区外定位球                   27'第27分钟，延边富德获得前场任意球，尹鸿博不满判罚被黄牌警告，延边远射被挡出，河南建业趁机快速反击，伊沃送出斜塞，尹鸿博弧线球传后点，头球摆渡被门前后卫抢先解围
28'尹比加兰任意球打门被人墙挡出                   27'第27分钟，延边富德获得前场任意球，尹鸿博不满判罚被黄牌警告，延边远射被挡出，河南建业趁机快速反击，伊沃送出斜塞，尹鸿博弧线球传后点，头球摆渡被门前后卫抢先解围
28'崔民后场踢出边线                   27'第27分钟，延边富德获得前场任意球，尹鸿博不满判罚被黄牌警告，延边远射被挡出，河南建业趁机快速反击，伊沃送出斜塞，尹鸿博弧线球传后点，头球摆渡被门前后卫抢先解围
29'戈麦斯前场断球，左路横传，哈维尔外围直接打门被防守球员挡出底线                   27'第27分钟，延边富德获得前场任意球，尹鸿博不满判罚被黄牌警告，延边远射被挡出，河南建业趁机快速反击，伊沃送出斜塞，尹鸿博弧线球传后点，头球摆渡被门前后卫抢先解围
30'伊沃角球传禁区被解围                   27'第27分钟，延边富德获得前场任意球，尹鸿博不满判罚被黄牌警告，延边远射被挡出，河南建业趁机快速反击，伊沃送出斜塞，尹鸿博弧线球传后点，头球摆渡被门前后卫抢先解围
30'外围再长传禁区，麦克格文顶出了底线                   27'第27分钟，延边富德获得前场任意球，尹鸿博不满判罚被黄牌警告，延边远射被挡出，河南建业趁机快速反击，伊沃送出斜塞，尹鸿博弧线球传后点，头球摆渡被门前后卫抢先解围
37'建业左路传球被裁判挡了一下                   37'第37分钟，尹比加兰中场带球被断球后选择拉人犯规，被主裁判出示黄牌警告
37'牟善韬左路再传禁区，球力量大了                   37'第37分钟，尹比加兰中场带球被断球后选择拉人犯规，被主裁判出示黄牌警告
38'戈麦斯中圈上抢，球被断走，尹比加兰战术犯规拉倒伊沃吃到一张黄牌                   37'第37分钟，尹比加兰中场带球被断球后选择拉人犯规，被主裁判出示黄牌警告
38'任意球给到禁区，球被延边解围                   37'第37分钟，尹比加兰中场带球被断球后选择拉人犯规，被主裁判出示黄牌警告
40'伊沃右路接球内切摆脱后打门被封堵                   37'第37分钟，尹比加兰中场带球被断球后选择拉人犯规，被主裁判出示黄牌警告
40'大力手抛球到禁区，建业球员摆渡，冯卓毅抢射偏出                   37'第37分钟，尹比加兰中场带球被断球后选择拉人犯规，被主裁判出示黄牌警告
48'上半场比赛结束                   48'第48分钟，尹比加兰远射稍稍偏出
48'中圈麦克格文推人犯规                   48'第48分钟，尹比加兰远射稍稍偏出
48'伊沃中场拼抢，把球碰出边线                   48'第48分钟，尹比加兰远射稍稍偏出
49'伊沃前场被踢倒                   48'第48分钟，尹比加兰远射稍稍偏出
49'快发定位球到右路，球被延边断掉                   48'第48分钟，尹比加兰远射稍稍偏出
50'延边前场中路分球左路，尹比加兰禁区左侧选择横传远端出了底线                   48'第48分钟，尹比加兰远射稍稍偏出
50'延边挑传禁区右侧，河太均挑球摆脱，后卫滑到                   48'第48分钟，尹比加兰远射稍稍偏出
50'牟善韬回防解围吊                   48'第48分钟，尹比加兰远射稍稍偏出
51'王国明解围球打在河太均手上，球滚进球门，裁判示意河太均手球犯规                   48'第48分钟，尹比加兰远射稍稍偏出
59'尹鸿博右路想早角球，球出底线                   59'比较被动的河南建业率先换人调整，第59分钟，顾操换下牟善韬
59'建业换人，顾操上场替下牟善韬                   59'比较被动的河南建业率先换人调整，第59分钟，顾操换下牟善韬
60'建业长传禁区被池文一拿到                   59'比较被动的河南建业率先换人调整，第59分钟，顾操换下牟善韬
60'延边后场长传禁区找河太均被顶出                   59'比较被动的河南建业率先换人调整，第59分钟，顾操换下牟善韬
61'尹鸿博左路斜传禁区，后卫卡住身位被门将拿到                   59'比较被动的河南建业率先换人调整，第59分钟，顾操换下牟善韬
61'戈麦斯后场防守被尹比加兰踢倒                   59'比较被动的河南建业率先换人调整，第59分钟，顾操换下牟善韬
62'伊沃前场转身摆脱被踢倒                   59'比较被动的河南建业率先换人调整，第59分钟，顾操换下牟善韬
74'建业右路长传禁区，哈维尔奔跑中头球攻门击中立柱弹出                   74'第74分钟，河南建业反击中边路送出弧线球传中，哈维尔跑动中头球一蹭，球击中立柱弹出
74'延边继续换人，金波替下孙君                   74'第74分钟，河南建业反击中边路送出弧线球传中，哈维尔跑动中头球一蹭，球击中立柱弹出
75'延边前场战术任意球开出，河太均禁区右侧带球被踢出底线                   74'第74分钟，河南建业反击中边路送出弧线球传中，哈维尔跑动中头球一蹭，球击中立柱弹出
76'延边角球又是被戈麦斯解围                   74'第74分钟，河南建业反击中边路送出弧线球传中，哈维尔跑动中头球一蹭，球击中立柱弹出
76'延边的五个角球都是被戈麦斯顶到的                   74'第74分钟，河南建业反击中边路送出弧线球传中，哈维尔跑动中头球一蹭，球击中立柱弹出
80'伊沃禁区前沿被踢倒                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
80'买提江任意球直接攻门被池文一扑出底线                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
81'伊沃角球传前点，被顶出                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
81'伊沃右路再传禁区，被顶出                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
81'外围冯卓毅打门高出                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
81'姜洪权中场犯规                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
82'贾指导把顾操叫到了身边                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
83'尹比加兰横敲右侧，再送禁区右侧                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
83'姜洪权横敲中路被解围                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
83'买提江前场拼抢踢倒崔仁                   80'第80分钟，伊沃赢得前场任意球，买提江直接射门，池文一飞身将球托出底线
88'崔仁左路传禁区被顶出                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
88'奥斯曼中场拿球一路向前，趟过后卫面对门将单刀射门被池文一倒地扑住                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
89'李浩杰中场被踢倒                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
89'任意球给到左路                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
90'建业后场解围，伊沃拨球过人被拦截                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
90'延边中场起球到禁区，河太均顶了一下被王国明没收                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
90'下半场补时4分钟                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
91'建业右路送直塞，横传禁区，奥斯曼拼抢犯规                   88'第88分钟，河南建业打出快速反击，奥斯曼连过两人后形成单刀，但射门被出击的池文一挡下
