8'卡斯泰拉诺左路直传                   8'皇马第8分钟取得领先，科瓦契奇直传，反越位成功的伊斯科14码处单刀推射入网
57'纳乔长传前场左路                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
57'马塞洛拼命将球追了回来                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
57'传中要到角球                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
58'克罗斯传中被阿尔瓦雷斯头球解围                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
58'比埃拉带球被伊斯科踢倒                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
59'C罗来到左路传中，门将将球没收                   56'拉斯帕尔马斯第56分钟反超比分，拉莫斯禁区内铲断博阿滕，西蒙传中打在拉莫斯手上，主裁在边裁提醒下判罚极刑，比埃拉主罚点球命中，2-1
59'C罗来到左路传中，门将将球没收                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
60'纳瓦斯出击失误，拉斯帕尔马斯打空门了，球又进了！                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
60'博阿滕的进球！                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
61'拉斯帕尔马斯后场长传，博阿滕速度优势超过了马塞洛，博阿滕盘过了出击的纳瓦斯打空门得手！                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
61'纳瓦斯长传前场左路，伊斯科停球被西蒙摁倒                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
62'克罗斯传后点，拉莫斯抢蹼捅射打在横梁上                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
62'拉斯帕尔马斯反击                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
62'赫塞进了禁区一扣，左脚打远角，眼看又进了                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
62'纳瓦斯向右侧扑将球扑出                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
62'拉斯帕尔马斯不着急                   59'拉斯帕尔马斯第59分钟扩大优势，比埃拉后场长传，反越位成功的博阿滕停球晃过出击的纳瓦斯后射入空门，3-1
70'克罗斯交给科瓦契奇                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
70'挑球，C罗越位                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
71'莫拉塔也急了，撞倒了戈麦斯                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
71'莫拉塔也拿到黄牌！                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
71'皇马换人，10号本泽马换下了21号莫拉塔                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
71'皇马也用完了三个换人名额                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
72'莱莫斯直传，比埃拉接应分右路的赫塞                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
72'送直传，西蒙前插横扫门前，加西亚来迟半步                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
73'克罗斯控球                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
73'直传被拦截                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
73'克罗斯后场直接长传，C罗没有追上                   70'第70分钟，科瓦契奇挑传，C罗胸部停球，莫拉塔跟进插入禁区内捅射左下角入网，裁判判罚C罗越位在先，进球无效
81'西蒙传球，加西亚单刀了，打门偏软被纳瓦斯封出                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
81'皇马获得一个左路的任意球机会                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
81'巴斯托斯的传中，C罗争球时倒地                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
81'裁判认为他假摔，黄牌警告                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
82'马塞洛后场断球交给了J罗                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
82'转移到右路                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
82'巴斯克斯下底传中被莱莫斯顶出                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
82'J罗的远射，打偏了                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
83'克罗斯分边左路的马塞洛                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
83'传中，对方停给了本泽马，本泽马打门被后卫伸脚挡了一下                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
84'C罗再打门被戈麦斯挡出底线                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
84'克罗斯发出角球，C罗头球攻门顶偏了                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
84'C罗接应交给J罗                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
84'卡瓦哈尔的低射被门将挡出                   81'第81分钟，C罗任意球混战中摔倒，他向裁判申诉点球被罚黄牌
49'马塞洛长传到对方禁区，莱莫斯头球顶得见高不见远，不过C罗打门打嗤了                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
49'上半场比赛结束！                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
49'到皇马的下半场开局如此不利                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
49'莱莫斯控球，分边左路给了卡斯泰拉诺                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
50'比埃拉的控球，被断了克罗斯推进                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
50'克罗斯护球被戈麦斯推倒                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
50'皇马在前场左路的任意球机会                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
51'克罗斯传中，拉斯帕尔马斯集体往前冲，皇马4人跌入越位陷阱                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
51'戈麦斯的控球，分边左路                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
51'莱莫斯控球直传，博阿滕没有接住球                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
51'拉莫斯分边右路的卡瓦哈尔                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
51'回传给了纳瓦斯                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
52'拉斯帕尔马斯中场就展开逼抢                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
52'博阿滕前场抢球时撞倒了对手                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
52'卡瓦哈尔右路来了，交给C罗，C罗的直传太小了                   49'皇马4分钟连入2球扳平，第86分钟，J罗右路传中令卡斯特拉诺手球犯规，C罗主罚点球命中，2-3
