14'罗马球员托蒂大禁区外右脚射门,被防守球员封堵.                   14'第14分钟，托蒂左路任意球打在人墙上高出
51'射门!!!AC米兰球员梅内斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是本田圭佑.                   51'第51分钟，本田圭佑回做，梅内禁区边缘抽射被德桑克蒂斯倒地没收
54'AC米兰球员博内拉拼抢犯规,对手获得控球权.                   51'第51分钟，本田圭佑回做，梅内禁区边缘抽射被德桑克蒂斯倒地没收
54'纳因戈兰为罗马赢得一个任意球.                   51'第51分钟，本田圭佑回做，梅内禁区边缘抽射被德桑克蒂斯倒地没收
70'AC米兰球员阿尔梅罗因为故意手球,被裁判出示了第二张黄牌.                   70'AC米兰第70分钟遭遇打击，阿尔梅罗前场左路上抢，凯塔挑球打在对方手上，他向主裁判里佐利提出抗议，双方队员围住里佐利争辩，里佐利这才亮出黄牌，阿尔梅罗两黄被罚下
72'罗马球员麦孔大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是托蒂.                   70'AC米兰第70分钟遭遇打击，阿尔梅罗前场左路上抢，凯塔挑球打在对方手上，他向主裁判里佐利提出抗议，双方队员围住里佐利争辩，里佐利这才亮出黄牌，阿尔梅罗两黄被罚下
73'AC米兰换人,阿莱士换下本田圭佑                   70'AC米兰第70分钟遭遇打击，阿尔梅罗前场左路上抢，凯塔挑球打在对方手上，他向主裁判里佐利提出抗议，双方队员围住里佐利争辩，里佐利这才亮出黄牌，阿尔梅罗两黄被罚下
79'德容为AC米兰赢得一个任意球.                   77'第77分钟，热尔维尼奥突入禁区左侧下底传中，球碰博纳文图拉弹起打在他的手上
79'罗马球员德斯特罗拼抢犯规,对手获得控球权.                   77'第77分钟，热尔维尼奥突入禁区左侧下底传中，球碰博纳文图拉弹起打在他的手上
79'梅内斯为AC米兰在对方半场,赢得一个任意球.                   77'第77分钟，热尔维尼奥突入禁区左侧下底传中，球碰博纳文图拉弹起打在他的手上
79'罗马球员雅尼加-姆比瓦拼抢犯规,对手获得控球权.                   77'第77分钟，热尔维尼奥突入禁区左侧下底传中，球碰博纳文图拉弹起打在他的手上
86'洛佩兹为AC米兰赢得一个任意球.                   86'第86分钟，热尔维尼奥左路传中，德斯特罗门前包抄没铲到球，左脚几乎踢中迭戈-洛佩斯头部，梅克斯上前出头手掐对方脖子，引起双方球员摩擦，两人均吃到黄牌
86'罗马球员德斯特罗拼抢犯规,对手获得控球权.                   86'第86分钟，热尔维尼奥左路传中，德斯特罗门前包抄没铲到球，左脚几乎踢中迭戈-洛佩斯头部，梅克斯上前出头手掐对方脖子，引起双方球员摩擦，两人均吃到黄牌
86'AC米兰球员梅克斯被主裁判出示了一张黄牌.                   86'第86分钟，热尔维尼奥左路传中，德斯特罗门前包抄没铲到球，左脚几乎踢中迭戈-洛佩斯头部，梅克斯上前出头手掐对方脖子，引起双方球员摩擦，两人均吃到黄牌
86'罗马球员德斯特罗被主裁判出示了一张黄牌.                   86'第86分钟，热尔维尼奥左路传中，德斯特罗门前包抄没铲到球，左脚几乎踢中迭戈-洛佩斯头部，梅克斯上前出头手掐对方脖子，引起双方球员摩擦，两人均吃到黄牌
89'AC米兰换人,沙拉维换下梅内斯                   86'第86分钟，热尔维尼奥左路传中，德斯特罗门前包抄没铲到球，左脚几乎踢中迭戈-洛佩斯头部，梅克斯上前出头手掐对方脖子，引起双方球员摩擦，两人均吃到黄牌
48'AC米兰受伤倒地,比赛暂停                   47'补时第2分钟，热尔维尼奥突入禁区右侧与扬加-姆比瓦踢墙配合，在门前5米处捅射被迭戈-洛佩斯封出
48'暂停结束,球员们重新开始比赛.                   47'补时第2分钟，热尔维尼奥突入禁区右侧与扬加-姆比瓦踢墙配合，在门前5米处捅射被迭戈-洛佩斯封出
50'本田圭佑为AC米兰在右路,赢得一个任意球.                   47'补时第2分钟，热尔维尼奥突入禁区右侧与扬加-姆比瓦踢墙配合，在门前5米处捅射被迭戈-洛佩斯封出
50'罗马球员José Holebas拼抢犯规,对手获得控球权.                   47'补时第2分钟，热尔维尼奥突入禁区右侧与扬加-姆比瓦踢墙配合，在门前5米处捅射被迭戈-洛佩斯封出
