1'比赛开始了                   1'第1分钟国安迅速展开积极前压，第4分钟，张稀哲左翼内切后大力斜射将球打偏
8'有点像当年卡莫拉内西的发型                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
9'马季奇大脚把球踢进禁区，巴塔拉轻松卸下球，射门被后卫封出                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
9'张辛昕前场争抢的时候犯规                   7'第7分钟，辽足任意球传中被国安门将杨智击出，巴塔拉迅速前传由格隆赢得角球；张稀哲角球传至前点，张呈栋争顶偏出
14'詹姆斯中场拼抢的时候犯规                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
14'犯规之后詹姆斯很生气，一脚把球踢了出去                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
14'发泄一下自己不满的情绪                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
15'刚刚是双方在中场大争抢，詹姆斯有些激动                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
16'开场之后还是辽宁队处于守势                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
16'张辛昕左路传中到禁区里，杨善平将球解围                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
17'张稀哲左路下底传中，弋腾把球封出                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
17'北京国安队战术角球发出来，詹姆斯把球破坏                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
17'张辛昕左路传中，门前格隆冲撞门将犯规                   14'第14分钟，詹姆斯中前场拼抢中被判定犯规，裁判鸣哨后他大脚踢球表示不满，领到黄牌
20'公布答案，格隆之前停赛3场                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
20'格隆落选了该国世界杯阵容，那么他的国籍是？A.委内瑞拉 B.秘鲁 C.厄瓜多尔[qiangda]                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
20'格隆禁区里尝试一脚倒钩射门，非常精彩                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
20'大禁区线附近的倒钩，对自己身体素质很有自信                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
21'格隆禁区外一脚搓射，张鹭将球得到                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
22'解禁复出的格隆犹如猛虎下山啊                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
22'不过辽宁队的防线组织的也很严密                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
22'耶夫蒂奇和詹姆斯在前场做配合没有成功                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
22'格隆突破，王博防守犯规                   20'第20分钟，巴塔拉将球塞入辽足禁区，格隆背对王博防守的情况下挑球倒钩攻门打偏
25'王远强：感觉马季奇踢球好脏，主播你觉得呢——后腰位置上需要一些硬朗，在我印象中马季奇虽然有犯规但恶意伤人的情况不多                   25'第25分钟，国安左路渗透后巴塔拉外围低射被张鹭没收
26'巴塔拉尝试一脚远射，张鹭把球扑住                   25'第25分钟，国安左路渗透后巴塔拉外围低射被张鹭没收
26'张鹭目前是场上比较忙碌的队员                   25'第25分钟，国安左路渗透后巴塔拉外围低射被张鹭没收
26'格隆突破到禁区里，王博将球解围                   25'第25分钟，国安左路渗透后巴塔拉外围低射被张鹭没收
28'张呈栋右路进攻上来，内切之后一脚打门，张鹭将球扑住                   25'第25分钟，国安左路渗透后巴塔拉外围低射被张鹭没收
29'新浪用户：看看今天咱们辽京球迷能不能保持这里和谐，挑拨的走开——和谐和谐                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
29'巴塔拉妙传格隆，禁区里格隆没有得到射门的空间                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
30'张稀哲左路传门前，巴塔拉脚后跟一蹭，球出界                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
31'禁区里巴塔拉得球，王博上抢将球解围                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
31'北京国安队获得角球的机会                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
31'巴塔拉角球发到门前，后点于洋把球顶向门前，球被解围                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
31'格隆落选了该国世界杯阵容，那么他的国籍是？A.委内瑞拉 B.秘鲁 C.厄瓜多尔[qiangda]                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
32'巴塔拉右路传中，肇俊哲门前解围                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
32'北京国安队角球的机会                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
32'战术角球发出来，还是辽宁队将球解围                   29'第29分钟，国安进攻受阻后迅速在前场反抢断球，巴塔拉将球塞入禁区，格隆点球点附近调整失误被破坏，张稀哲得球后又在左侧突破传中，巴塔拉前点巧射打偏
32'巴塔拉右路传中，肇俊哲门前解围                   32'第32分钟，河大成中路突然弧线球远射，皮球击中横梁上沿弹出
32'北京国安队角球的机会                   32'第32分钟，河大成中路突然弧线球远射，皮球击中横梁上沿弹出
32'战术角球发出来，还是辽宁队将球解围                   32'第32分钟，河大成中路突然弧线球远射，皮球击中横梁上沿弹出
33'河大成禁区外一脚远射，球击中横梁弹出                   32'第32分钟，河大成中路突然弧线球远射，皮球击中横梁上沿弹出
33'张稀哲左路摆脱防守，传中门前没有人顶到球                   32'第32分钟，河大成中路突然弧线球远射，皮球击中横梁上沿弹出
35'今天张稀哲在边路比张呈栋活跃                   32'第32分钟，河大成中路突然弧线球远射，皮球击中横梁上沿弹出
35'公布答案：格隆国籍是厄瓜多尔                   32'第32分钟，河大成中路突然弧线球远射，皮球击中横梁上沿弹出
37'今天丁海峰防守张呈栋效果还不错                   37'第37分钟，格隆在辽足禁区前拼抢助巴塔拉断球，格隆得球后大力攻门打偏
37'张呈栋显然情绪有点急躁，刚才在中场一个比较大铲球动作铲向丁海峰                   37'第37分钟，格隆在辽足禁区前拼抢助巴塔拉断球，格隆得球后大力攻门打偏
37'格隆禁区外远射，球出界了，这球打得很有力量                   37'第37分钟，格隆在辽足禁区前拼抢助巴塔拉断球，格隆得球后大力攻门打偏
39'张呈栋右路传中，丁海峰飞身将球破坏                   37'第37分钟，格隆在辽足禁区前拼抢助巴塔拉断球，格隆得球后大力攻门打偏
39'北京国安队获得角球机会                   37'第37分钟，格隆在辽足禁区前拼抢助巴塔拉断球，格隆得球后大力攻门打偏
39'角球发出来，双方禁区里争抢，于洋犯规了                   37'第37分钟，格隆在辽足禁区前拼抢助巴塔拉断球，格隆得球后大力攻门打偏
46'刚刚被罚下的詹姆斯是哪一国人？A.加纳 B.肯尼亚 C.赞比亚[qiangda]                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
47'宋博轩换下周挺                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
47'看样子周挺像是受伤了                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
47'上半场补时3分钟                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
46'下半场开始了                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
46'被罚下的詹姆斯是哪一国人？A.加纳 B.肯尼亚 C.赞比亚[qiangda]                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
48'金泰延带球边路突破，张呈栋回防将球破坏                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
48'河大成把球向前传递，格隆回来接球                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
49'河大成横传马季奇，马季奇尝试一脚远射打偏了                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
49'这脚球还是比较有威胁的                   46'1分钟后场上出现红牌――河大成禁区前防守中铲抢断球，詹姆斯借着前冲势头直接踩在了河大成脚部，詹姆斯领到第2张黄牌被红牌罚下
48'金泰延带球边路突破，张呈栋回防将球破坏                   48'进入下半场国安继续前压冲击，第48分钟，马季奇中路大力远射稍稍打偏
48'河大成把球向前传递，格隆回来接球                   48'进入下半场国安继续前压冲击，第48分钟，马季奇中路大力远射稍稍打偏
49'河大成横传马季奇，马季奇尝试一脚远射打偏了                   48'进入下半场国安继续前压冲击，第48分钟，马季奇中路大力远射稍稍打偏
49'这脚球还是比较有威胁的                   48'进入下半场国安继续前压冲击，第48分钟，马季奇中路大力远射稍稍打偏
50'场上有两名队员代表中国队参加过世界杯，他们的名字是？[qiangda]                   48'进入下半场国安继续前压冲击，第48分钟，马季奇中路大力远射稍稍打偏
58'巴塔拉进了禁区，杨宇将球解围                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
58'北京国安队角球的机会                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
58'张稀哲角球发到禁区里，徐云龙头球顶偏了                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
58'肇俊哲在2002世界杯上一脚射门击中立柱弹出，他是在和哪支球队比赛中击中立柱？[qiangda]                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
59'王博防守格隆犯规                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
60'现在北京国安队面对辽宁队铁桶阵也没有什么好的办法                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
60'一直以来北京队都想找一个高中锋，这些年都没有好的人选                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
60'恐怕最得意的也就是提亚戈了这些年                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
60'吴高俊换下王亮                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
61'另一名曾经参加过世界杯球员准备上场了                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
61'邵佳一准备替补上场                   58'第58分钟，张稀哲妙传助巴塔拉禁区左侧得球，杨宇将球破坏；国安角球传入后，徐云龙头球顶偏
62'邵佳一换下河大成                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
62'曼萨诺给出明显的信号——进攻！！                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
63'辽宁队获得角球机会                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
63'角球发到后点，王博俯身头球攻门顶偏了                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
63'这球王博要是处理的更好就进了                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
64'宋博轩内切打门被防守队员挡出                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
64'胡延强防守犯规                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
64'公布答案：肇俊哲在同巴西队的比赛中击中立柱                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
65'2002世界杯中国队还有一名球员射门击中横梁，他的名字是？[qiangda]                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
65'于洋左路传中，格隆前点甩头攻门顶高了                   62'第62分钟，胡延强右翼攻门被徐云龙挡出底线；辽足角球传至禁区后点空档，王博头球攻门顶偏，也将皮球打在了自己手臂上
69'辽宁队反击，耶夫蒂奇以一打四，没有机会，把球回传                   69'第69分钟，胡延强前场中路被马季奇侵犯；辽足任意球传出后挑传国安禁区，耶夫蒂奇前插被判定越位
70'邵佳一妙传格隆，格隆转身打门打高了                   69'第69分钟，胡延强前场中路被马季奇侵犯；辽足任意球传出后挑传国安禁区，耶夫蒂奇前插被判定越位
71'2002世界杯中国队还有一名球员射门击中横梁，他的名字是？[qiangda]                    69'第69分钟，胡延强前场中路被马季奇侵犯；辽足任意球传出后挑传国安禁区，耶夫蒂奇前插被判定越位
71'现在国安队在进攻端显得有些着急                   69'第69分钟，胡延强前场中路被马季奇侵犯；辽足任意球传出后挑传国安禁区，耶夫蒂奇前插被判定越位
72'倪玉松换下丁海峰                   69'第69分钟，胡延强前场中路被马季奇侵犯；辽足任意球传出后挑传国安禁区，耶夫蒂奇前插被判定越位
72'丁海峰今天在防守端很尽力                   69'第69分钟，胡延强前场中路被马季奇侵犯；辽足任意球传出后挑传国安禁区，耶夫蒂奇前插被判定越位
72'体力也消耗不少                   69'第69分钟，胡延强前场中路被马季奇侵犯；辽足任意球传出后挑传国安禁区，耶夫蒂奇前插被判定越位
74'宋博轩防守耶夫蒂奇犯规                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
74'辽宁队获得任意球的机会                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
75'耶夫蒂奇的任意球直接放了高射炮                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
75'双方禁区线附近混战                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
75'最后还是辽宁队解围                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
75'邵佳一射门踢倒了弋腾腿上                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
76'邵佳一被黄牌警告                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
76'正好踢到小腿肚子上                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
77'继续互动：2002世界杯，徐云龙在同巴西队的比赛中曾经人球分过一名世界级球星，这个被徐云龙过了的球星是谁？[qiangda]                   74'第74分钟，耶夫蒂奇为辽足赢得距球门27米任意球，其操刀攻门打高
79'巴塔拉禁区线附近射门打高了                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
79'现在北京国安队面对辽宁队铁桶阵，还是没有什么好的办法                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
79'乌塔卡换下格隆                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
79'看看乌塔卡上来能有怎样的发挥                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
80'张呈栋边路突破，传中，禁区里巴塔拉倒地，裁判没有理睬                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
80'张辛昕尝试一脚吊门，打高了                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
81'川涌：感觉出一些世界杯的回顾题目挺好——谢谢，只是看到了几位老将有感而发，怀念一下                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
81'宋博轩左路传中传的很大，张呈栋又把球控制住                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
82'2002世界杯，徐云龙在同巴西队的比赛中曾经人球分过一名世界级球星，这个被徐云龙过了的球星是谁？[qiangda]                   79'第79分钟，巴塔拉中路突破后直接攻门打偏
85'张呈栋边路传中，第一点辽宁队控制住                   85'第85分钟，马季奇外围攻门被封堵
86'公布答案：当年徐云龙人球分过过了卡洛斯                   85'第85分钟，马季奇外围攻门被封堵
86'现在北京队一直在围攻                   85'第85分钟，马季奇外围攻门被封堵
87'乌塔卡接到巴塔拉传球，兜射远角被张鹭扑住                   85'第85分钟，马季奇外围攻门被封堵
88'乌塔卡禁区里接球转身打门，张鹭把球托了一下，宋博轩后点小角度补射空门打中边网                   85'第85分钟，马季奇外围攻门被封堵
88'张呈栋右路传中，第一点还是辽宁队强到                   85'第85分钟，马季奇外围攻门被封堵
88'乌塔卡禁区里接球转身打门，张鹭把球托了一下，宋博轩后点小角度补射空门打中边网                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
88'张呈栋右路传中，第一点还是辽宁队强到                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
89'张辛昕左路传中，张鹭跃起把球摘下                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
89'宋博轩左路传中，第一点还是辽宁队抢到解围                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
90'徐云龙搓传禁区里，邵佳一第一点摆渡，第二点辽宁队控制住                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
90'下半场补时5分钟                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
90'这个补时时间非常充足啊                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
91'张呈栋突入禁区一脚捅射打高了                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
91'宋博轩边路突破受阻                   88'第88分钟国安再度错过良机――巴塔拉与张稀哲传递渗透后，乌塔卡禁区右侧攻门造成张鹭脱手，宋博轩禁区左侧小角度补射时打偏在了边网上
47'宋博轩换下周挺                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
47'看样子周挺像是受伤了                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
47'上半场补时3分钟                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
48'金泰延带球边路突破，张呈栋回防将球破坏                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
48'河大成把球向前传递，格隆回来接球                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
49'河大成横传马季奇，马季奇尝试一脚远射打偏了                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
49'这脚球还是比较有威胁的                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
50'场上有两名队员代表中国队参加过世界杯，他们的名字是？[qiangda]                   47'补时第2分钟，国安右翼传中后巴塔拉前点攻门打偏，裁判判给国安角球；门前拼抢中徐云龙抬脚碰到了张鹭头部，张鹭片刻伤停
50'场上有两名队员代表中国队参加过世界杯，他们的名字是？[qiangda]                   50'5分钟补时最后时刻，国安左路传中后乌塔卡头球争顶，王博在与巴塔拉争抢落点时皮球反弹打在了他的手肘部位，裁判判定点球并向表示抗议的杨宇出示黄牌；巴塔拉操刀命中，打入了本赛季个人第6粒入球，国安也就此1-0绝杀辽足
52'王亮右路进攻赢得任意球机会                   50'5分钟补时最后时刻，国安左路传中后乌塔卡头球争顶，王博在与巴塔拉争抢落点时皮球反弹打在了他的手肘部位，裁判判定点球并向表示抗议的杨宇出示黄牌；巴塔拉操刀命中，打入了本赛季个人第6粒入球，国安也就此1-0绝杀辽足
52'辽宁队任意球发到禁区里被解围                   50'5分钟补时最后时刻，国安左路传中后乌塔卡头球争顶，王博在与巴塔拉争抢落点时皮球反弹打在了他的手肘部位，裁判判定点球并向表示抗议的杨宇出示黄牌；巴塔拉操刀命中，打入了本赛季个人第6粒入球，国安也就此1-0绝杀辽足
52'北京国安队反击，格隆在边路带球趟大了                   50'5分钟补时最后时刻，国安左路传中后乌塔卡头球争顶，王博在与巴塔拉争抢落点时皮球反弹打在了他的手肘部位，裁判判定点球并向表示抗议的杨宇出示黄牌；巴塔拉操刀命中，打入了本赛季个人第6粒入球，国安也就此1-0绝杀辽足
53'胡延强换下肇俊哲                   50'5分钟补时最后时刻，国安左路传中后乌塔卡头球争顶，王博在与巴塔拉争抢落点时皮球反弹打在了他的手肘部位，裁判判定点球并向表示抗议的杨宇出示黄牌；巴塔拉操刀命中，打入了本赛季个人第6粒入球，国安也就此1-0绝杀辽足
53'工体北京球迷对肇俊哲报以热烈掌声                   50'5分钟补时最后时刻，国安左路传中后乌塔卡头球争顶，王博在与巴塔拉争抢落点时皮球反弹打在了他的手肘部位，裁判判定点球并向表示抗议的杨宇出示黄牌；巴塔拉操刀命中，打入了本赛季个人第6粒入球，国安也就此1-0绝杀辽足
53'肇俊哲下场后也向球迷们挥手致意                   50'5分钟补时最后时刻，国安左路传中后乌塔卡头球争顶，王博在与巴塔拉争抢落点时皮球反弹打在了他的手肘部位，裁判判定点球并向表示抗议的杨宇出示黄牌；巴塔拉操刀命中，打入了本赛季个人第6粒入球，国安也就此1-0绝杀辽足
