3'曹赟定大范围斜长传找高迪，高迪面对贴身防守没有拿到球                   3'第3分钟申花中卫保罗犯规吃到黄牌，米西莫维奇任意球高出门楣
20'谁会率先打破僵局呢？？                   18'第18分钟于海拼抢中吃到黄牌
20'孙继海后场长传，皮球被李文博断下                   18'第18分钟于海拼抢中吃到黄牌
21'曲波右路高速内切被裁判吹了越位                   18'第18分钟于海拼抢中吃到黄牌
21'曹赟定左脚传中，饶伟辉头球将球破坏                   18'第18分钟于海拼抢中吃到黄牌
23'人和反击，米西直塞于海，于海直接面对门将，于海左脚推射远角，被耿晓峰用腿挡出                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
23'人和最近的反击打的有声有色啊                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
23'上海目前还没有什么好的机会                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
24'塞苡仁 :琪琪是小琪吗？--小琪是谁啊？？                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
24'吕永君 :于海进球1:1预测---大家觉得呢                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
25'于海回敲给陈杰，陈杰跟上一脚远射，皮球打的太正，被耿晓峰稳稳抱住                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
25'耿晓峰最近一段时间上镜率相当高啊                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
26'上半场会进球吗？？                   23'第23分钟于海左路带球时突然回扣，陈杰跟上禁区外围射门打得太正
28'米西左路传中给曲波，曲波头球顶做给尤里，保罗及时上抢将球破坏                   28'不甘在客场接受被动局面的申花也在寻找机会，第28分钟曹S定拉到左路传中，高迪抢在孙继海之前头球攻门，张烈几乎在球门线上把球抱住
28'人和获得一个角球                   28'不甘在客场接受被动局面的申花也在寻找机会，第28分钟曹S定拉到左路传中，高迪抢在孙继海之前头球攻门，张烈几乎在球门线上把球抱住
29'角球开到点球点附近，出击的耿晓峰将球拿到                   28'不甘在客场接受被动局面的申花也在寻找机会，第28分钟曹S定拉到左路传中，高迪抢在孙继海之前头球攻门，张烈几乎在球门线上把球抱住
29'wenshuzxg :一看猜比分的话题，肯定是琪琪！这段时间是不是去世界杯直播培训了。---嗯  去巴西转了转                   28'不甘在客场接受被动局面的申花也在寻找机会，第28分钟曹S定拉到左路传中，高迪抢在孙继海之前头球攻门，张烈几乎在球门线上把球抱住
30'[qiangda]巴蒂斯塔是哪国人? A巴西 B西班牙 C阿根廷 D德国                   28'不甘在客场接受被动局面的申花也在寻找机会，第28分钟曹S定拉到左路传中，高迪抢在孙继海之前头球攻门，张烈几乎在球门线上把球抱住
31'曹赟定左路传中，高迪甩头攻门，皮球被张烈稳稳抱住                   28'不甘在客场接受被动局面的申花也在寻找机会，第28分钟曹S定拉到左路传中，高迪抢在孙继海之前头球攻门，张烈几乎在球门线上把球抱住
31'这是申花最好的一次机会了                   28'不甘在客场接受被动局面的申花也在寻找机会，第28分钟曹S定拉到左路传中，高迪抢在孙继海之前头球攻门，张烈几乎在球门线上把球抱住
38'木有太阳依旧有个方向 :１－０结束---大家觉得呢？？                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
39'恭喜以下用户获得直播室会员资格: 天天来录---恭喜恭喜                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
40'张成林右侧传中，尤里面对两人包夹没有获得什么好的机会                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
40'边裁举旗示意马辛斯基越位                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
40'[qiangda]贵州人和目前排名第几？                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
41'莫雷诺争顶头球时痛苦倒地，不知道是怎么了                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
41'队医已经入场接受治疗                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
41'原来他和对方的萨利在拼抢头球时受伤了                   38'第38分钟萨利和莫雷诺争头球时撞得人仰马翻，接着哈蒂布在禁区里被孙继海推倒，几处伤情看上去哈蒂布最严重，他先开始站了起来，后来又手捂着大腿倒下，结果被担架队抬下，申花方面只能用陈柏良将其替换
50'人和反击，斜传找队友时，皮球碰到曹赟定出了边线                   50'下半场第50分钟，双方对峙场面又被打破，马辛斯基接中圈队员传球后，略微调整一下，直接30米开外起脚怒射，耿晓峰纵身扑救无济于事，皮球弹地一下后飞入大门死角，2比0，贵州人和扩大比分优势
51'陈杰回追陈亮背后推人犯规                   50'下半场第50分钟，双方对峙场面又被打破，马辛斯基接中圈队员传球后，略微调整一下，直接30米开外起脚怒射，耿晓峰纵身扑救无济于事，皮球弹地一下后飞入大门死角，2比0，贵州人和扩大比分优势
52'马辛斯基禁区前拿球，面前一片空地，马辛斯基30米外直接远射，弹地球应声入网！！                   50'下半场第50分钟，双方对峙场面又被打破，马辛斯基接中圈队员传球后，略微调整一下，直接30米开外起脚怒射，耿晓峰纵身扑救无济于事，皮球弹地一下后飞入大门死角，2比0，贵州人和扩大比分优势
53'李文博手球犯规，人和获得禁区左侧定位球                   50'下半场第50分钟，双方对峙场面又被打破，马辛斯基接中圈队员传球后，略微调整一下，直接30米开外起脚怒射，耿晓峰纵身扑救无济于事，皮球弹地一下后飞入大门死角，2比0，贵州人和扩大比分优势
60'wenshuzxg :我看好马竞，只是看好。。----同学  你说的只是看好是什么意思                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
60'申花获得角球                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
60'角球开到后点，力量太大，没有什么威胁                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
61'莫雷诺左路继续低平球传中，第一点也是被对方后卫挡出                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
61'当才子已27年 :琪琪，今天火箭的比赛把我伤的遍体鳞伤，现在还在忧郁当中！我都不敢看直播了，它带给过我开心，激动，但是，那种被伤透的感觉，琪琪能理解吗？--利拉德被罗伊附体了                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
63'米西为人和赢得禁区弧顶附近的定位球                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
63'米西主罚，皮球碰到人墙出了底线，人和获得角球                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
63'角球开出，第一点被后卫顶出                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
63'申花反击                   60'第60分钟陈柏良禁区前沿铲倒米西莫维奇，贵州又获得位置很好的任意球机会，米西弧线球打在人墙上出界
66'[qiangda]大上海共有哪几支中超球队？                   66'第66分钟保罗和曲波头球争顶后，曲波突然手捧脑袋痛苦不堪的倒在地上
67'李文博传中给高迪，但皮球被孙继海用胸部回做给门将                   66'第66分钟保罗和曲波头球争顶后，曲波突然手捧脑袋痛苦不堪的倒在地上
68'曲波后脑勺被撞了一下痛苦倒地                   66'第66分钟保罗和曲波头球争顶后，曲波突然手捧脑袋痛苦不堪的倒在地上
69'李文博被姜坤换下                   66'第66分钟保罗和曲波头球争顶后，曲波突然手捧脑袋痛苦不堪的倒在地上
70'范云龙换下受伤的曲波                   70'第70分钟尤里用手阻挡高迪丢界外球，结果吃到黄牌
70'杨陵高新区 :欧冠说不定，皇马可是有名的有钱砸下个半亿英磅冠军就内定了----这。。。别说破                   70'第70分钟尤里用手阻挡高迪丢界外球，结果吃到黄牌
71'米西快速反击推进，准备直塞给队友时被对方后卫伸脚断下来                   70'第70分钟尤里用手阻挡高迪丢界外球，结果吃到黄牌
71'范凌江后场长传找高迪，但脚法没有运用好传给了对方球员                   70'第70分钟尤里用手阻挡高迪丢界外球，结果吃到黄牌
72'尤里阻挠发边线球被出示黄牌警告                   70'第70分钟尤里用手阻挡高迪丢界外球，结果吃到黄牌
73'禁区内尤里顶给同伴，米西胸部一停想抽一脚落叶球，结果打高了                   70'第70分钟尤里用手阻挡高迪丢界外球，结果吃到黄牌
73'中圈弧徐亮一脚直传直接被对方后卫断掉                   70'第70分钟尤里用手阻挡高迪丢界外球，结果吃到黄牌
77'人和快速反击，于海左路快速突破下底低平球传中给队友，耿晓峰封堵住传球线路将球拿到                   77'面对贵州队一直高涨的攻势，申花一筹莫展，第77分钟进球再次来到，马辛斯基和尤里前场配合，尤里面对两名队员防守选择横拨，马辛斯基跟上轻推远角，3比0，贵州队再次扩大比分
77'莫雷诺面对三人逼抢还是把球给丢了                   77'面对贵州队一直高涨的攻势，申花一筹莫展，第77分钟进球再次来到，马辛斯基和尤里前场配合，尤里面对两名队员防守选择横拨，马辛斯基跟上轻推远角，3比0，贵州队再次扩大比分
79'尤里左路1v1，没有好的突破机会回敲给马辛斯基，马辛斯基起脚低射，皮球直奔球门远角，门将没有任何办法！                   77'面对贵州队一直高涨的攻势，申花一筹莫展，第77分钟进球再次来到，马辛斯基和尤里前场配合，尤里面对两名队员防守选择横拨，马辛斯基跟上轻推远角，3比0，贵州队再次扩大比分
80'杨昊换下马辛斯基                   77'面对贵州队一直高涨的攻势，申花一筹莫展，第77分钟进球再次来到，马辛斯基和尤里前场配合，尤里面对两名队员防守选择横拨，马辛斯基跟上轻推远角，3比0，贵州队再次扩大比分
80'F岁月无声 :第九。求会员--先上个墙吧  嘿嘿                   77'面对贵州队一直高涨的攻势，申花一筹莫展，第77分钟进球再次来到，马辛斯基和尤里前场配合，尤里面对两名队员防守选择横拨，马辛斯基跟上轻推远角，3比0，贵州队再次扩大比分
80'马辛斯基梅开二度                   77'面对贵州队一直高涨的攻势，申花一筹莫展，第77分钟进球再次来到，马辛斯基和尤里前场配合，尤里面对两名队员防守选择横拨，马辛斯基跟上轻推远角，3比0，贵州队再次扩大比分
80'杨昊换下马辛斯基                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
80'F岁月无声 :第九。求会员--先上个墙吧  嘿嘿                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
80'马辛斯基梅开二度                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
81'莫雷诺凭借个人能力一脚低射打了近角，但张烈早有防备，没有什么威胁                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
81'孙继海火气太大，直接将陈国良推倒在地                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
82'孙继海为此领到一张黄牌                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
82'杨陵高新区 :不是说换下了吗杂进球的--进了球之后被换下的                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
83'苏东坡上吃草 :贵州真是神奇的球队啊，比分预计3：1--这个预测还是很实在的                   80'申花现在得分点其实只有莫雷诺和徐亮两人，第80分钟莫雷诺强行射门打的太正
83'苏东坡上吃草 :贵州真是神奇的球队啊，比分预计3：1--这个预测还是很实在的                   83'第83分钟范云龙冲撞高迪犯规，但高迪起身后效仿孙继海也去猛推范云龙，结果也吃到黄牌
84'徐亮开出任意球到点球点附近，保罗争到皮球，但却顶偏了                   83'第83分钟范云龙冲撞高迪犯规，但高迪起身后效仿孙继海也去猛推范云龙，结果也吃到黄牌
85'青岛小笨虎 :黄牌，太轻了---红牌也不为过啊                   83'第83分钟范云龙冲撞高迪犯规，但高迪起身后效仿孙继海也去猛推范云龙，结果也吃到黄牌
85'青岛小笨虎 :黄牌，太轻了---红牌也不为过啊                   85'第85分钟贵州人和用穆斯利换下米西莫维奇
87'穆斯利换下米西莫维奇                   85'第85分钟贵州人和用穆斯利换下米西莫维奇
88'大家可以积极预测比分，比赛结束后琪琪将从答对的同学中随机抽取3名会员送出哦                   85'第85分钟贵州人和用穆斯利换下米西莫维奇
88'[qiangda]贵州人和目前排名第几？                   85'第85分钟贵州人和用穆斯利换下米西莫维奇
91'常规时间马上打满。                   90'第90分钟申花左后卫范凌江阻挡尤里吃到黄牌
92'全场补时3分钟                   90'第90分钟申花左后卫范凌江阻挡尤里吃到黄牌
92'尤里右路传中，第一点被申花后卫轻松解围                   90'第90分钟申花左后卫范凌江阻挡尤里吃到黄牌
