11'瓜林任意球进禁区，被顶出来                   11'第11分钟，比埃拉禁区内趟球突破时顺势向前摔倒，主裁判马宁没有理会
35'登巴巴射门的一瞬间，被于洋推倒                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
35'腰落地了                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
35'申花换人，蒋圣龙换下丛震                   32'第32分钟，国安利用点球机会扩大比分：池忠国外围劲射造成邱盛炯脱手，巴坎布抢点补射时朱辰杰有隐蔽的拉拽动作，裁判判定点球并向朱辰杰出示黄牌，巴坎布操刀破门，将比分扩大为2-0
47'瓜林中场分出去，李运秋右路拿一个边线球                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
48'蒋圣龙接右路起球，顶高了                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
48'上半场比赛结束                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
47'朴成右路起球，刘若钒头球解围，角球                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
47'张稀哲角球开出，中路被解围                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
47'曹赟定斜传找登巴巴，落点不好                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
48'申花进球了！！！                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
48'国安自己的失误                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
48'于洋回传门将，郭全博配合失误，直接入网                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
49'申花追回一个，2-1                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
50'朴成右路回接，被艾迪铲倒                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
50'裁判黄牌警告艾迪                   47'下半场开始2分钟后比赛突发意外情况：申花在前场展开整体逼抢，于洋在莫雷诺并没有近身时回传门将失误，郭全博虽奋力封堵仍未阻止皮球越过门线，申花将比分追为1-2
50'朴成右路回接，被艾迪铲倒                   50'第50分钟，艾迪因侵犯朴成领到黄牌
50'裁判黄牌警告艾迪                   50'第50分钟，艾迪因侵犯朴成领到黄牌
51'国安右路配合进禁区，李运秋解围，角球                   50'第50分钟，艾迪因侵犯朴成领到黄牌
51'奥古斯托传远门柱，被头球解围                   50'第50分钟，艾迪因侵犯朴成领到黄牌
52'张稀哲左路断球，横敲队友                   50'第50分钟，艾迪因侵犯朴成领到黄牌
52'比埃拉肋部斜传禁区，被顶出                   50'第50分钟，艾迪因侵犯朴成领到黄牌
53'莫雷诺中场反击分右路，被放倒                   50'第50分钟，艾迪因侵犯朴成领到黄牌
62'曹赟定左路拿球，推进                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
62'传入禁区，莫雷诺抢点回带，没有正面机会                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
62'奥古斯托右路起球，没有过顶                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
63'莫雷诺接应斜传，左路进禁区                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
63'被包夹了，没有起脚机会                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
63'比埃拉和队友踢墙配合进禁区，倒地了                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
64'裁判没有吹罚                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
65'国安后场横向倒脚                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
65'比埃拉拿球分左路，奥古斯托                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
65'内切，直塞朴成                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
65'国安进球！！                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
65'巴坎布！                   62'第62分钟，申花反击中莫雷诺带球突入国安禁区左侧，但在国安双人“关门防守”下倒地，裁判没有理会
65'国安后场横向倒脚                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
65'比埃拉拿球分左路，奥古斯托                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
65'内切，直塞朴成                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
65'国安进球！！                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
65'巴坎布！                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
66'右路池忠国传中，巴坎布前点头球破门                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
66'国安3-1领先申花                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
67'登巴巴中场回接，敲回去                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
68'比埃拉中场摆脱，被栗鹏绊倒                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
68'曹赟定禁区前绊倒比埃拉，任意球                   65'第65分钟，国安再度将比分扩大：刘欢左路传中直接来到右翼，池忠国再度传中，巴坎布头球攻破球门近角，比分扩大为3-1
69'奥古斯托任意球直接打门，被邱胜炯扑住                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
69'比埃拉禁区前传直塞，李运秋解围，角球                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
70'登巴巴中场反击，被于大宝扑倒                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
70'双方都要换人                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
70'国安换人，朴成被金泰延换下                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
70'申花用朱建荣换下登巴巴                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
71'任意球进禁区，头球摆渡                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
71'二点球蒋圣龙没争到                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
72'曹赟定禁区前推人，有利球                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
72'传中进禁区被李运秋解围，角球                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
72'裁判给曹赟定补了一张黄牌                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
72'角球前点被解围                   69'第69分钟，申花反击中登巴巴被于大宝放倒，裁判对于大宝进行了口头警告
46'上半场补时2分钟                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
46'任意球到中路，瓜林顶出                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
47'瓜林中场分出去，李运秋右路拿一个边线球                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
48'蒋圣龙接右路起球，顶高了                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
48'上半场比赛结束                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
46'下半场比赛开始                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
46'申花开球                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
47'朴成右路起球，刘若钒头球解围，角球                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
47'张稀哲角球开出，中路被解围                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
47'曹赟定斜传找登巴巴，落点不好                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
48'申花进球了！！！                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
48'国安自己的失误                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
48'于洋回传门将，郭全博配合失误，直接入网                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
49'申花追回一个，2-1                   46'1分钟后国安渗透中比埃拉被曹赟定撞倒，裁判向曹赟定出示黄牌
