2'上海申花球员柏佳俊拼抢犯规,对手获得控球权.                   2'开场第2分钟积施利突破制造任意球机会，马里尼奥重炮轰出界外
36'长春亚泰球员伊格哈罗拼抢犯规,对手获得控球权.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
36'长春亚泰球员伊格哈罗拼抢犯规,对手获得控球权.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
39'上海申花球员李帅犯规,致使对方获得点球.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
39'上海申花球员李帅犯规,致使对方获得点球.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
39'点球,伊格哈罗在禁区内被侵犯,长春亚泰获得点球.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
39'点球,伊格哈罗在禁区内被侵犯,长春亚泰获得点球.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
40'进球啦！！！长春亚泰球员伊格哈罗右脚射门,球从左下角飞进球门,球进了! 长春亚泰 1-1 上海申花.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
40'进球啦！！！长春亚泰球员伊格哈罗右脚射门,球从左下角飞进球门,球进了! 长春亚泰 1-1 上海申花.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
41'瓜林为上海申花在左路,赢得一个任意球.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
41'瓜林为上海申花在左路,赢得一个任意球.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
41'长春亚泰球员张笑飞拼抢犯规,对手获得控球权.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
41'长春亚泰球员张笑飞拼抢犯规,对手获得控球权.                   38'第38分钟李建滨判断皮球落点失误，伊哈洛在右路拿球杀入禁区，接着连续扣球把李建滨和陶金全部过掉，李帅出击把伊哈洛扑倒，点球
41'瓜林为上海申花在左路,赢得一个任意球.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
41'瓜林为上海申花在左路,赢得一个任意球.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
41'长春亚泰球员张笑飞拼抢犯规,对手获得控球权.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
41'长春亚泰球员张笑飞拼抢犯规,对手获得控球权.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
42'黄牌！长春亚泰球员张笑飞因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
42'黄牌！长春亚泰球员张笑飞因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
44'上海申花球员莫雷诺大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是孙世林.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
44'上海申花球员莫雷诺大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是孙世林.                   41'第41分钟瓜林从左路带球，张笑非从侧把瓜林撞倒，张笑非吃到黄牌
44'上海申花球员莫雷诺大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是孙世林.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
44'上海申花球员莫雷诺大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是孙世林.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'长春亚泰球员范晓冬一脚直塞球给马里尼奥,但是边裁举旗显示后者已经越位.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'长春亚泰球员范晓冬一脚直塞球给马里尼奥,但是边裁举旗显示后者已经越位.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+1'长春亚泰球员何超一脚直塞球给范晓冬,但是边裁举旗显示后者已经越位.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+1'长春亚泰球员何超一脚直塞球给范晓冬,但是边裁举旗显示后者已经越位.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+1'孙世林为上海申花在左路,赢得一个任意球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+1'孙世林为上海申花在左路,赢得一个任意球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+1'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+1'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+2'上海申花球员曹赟定一脚直塞球给莫雷诺,但是边裁举旗显示后者已经越位.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+2'上海申花球员曹赟定一脚直塞球给莫雷诺,但是边裁举旗显示后者已经越位.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+2'李建滨为上海申花赢得一个任意球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+2'李建滨为上海申花赢得一个任意球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+2'长春亚泰球员伊格哈罗拼抢犯规,对手获得控球权.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+2'长春亚泰球员伊格哈罗拼抢犯规,对手获得控球权.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+4'上半场结束,长春亚泰 1-1 上海申花,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
45'+4'上半场结束,长春亚泰 1-1 上海申花,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
46'瓜林为上海申花在对方半场,赢得一个任意球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
46'瓜林为上海申花在对方半场,赢得一个任意球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
46'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
46'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
46'上海申花球员瓜林右脚射门,被防守球员封堵.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
46'上海申花球员瓜林右脚射门,被防守球员封堵.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
47'李建滨将球处理出底线,长春亚泰获得角球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
47'李建滨将球处理出底线,长春亚泰获得角球.                   44'第44分钟申花中路送球，莫雷诺高难度左脚凌空射门偏出
47'李建滨将球处理出底线,长春亚泰获得角球.                   47'第47分钟何超带球中路狂冲，陶金上前把何超狠狠撞翻，陶金吃到黄牌
47'李建滨将球处理出底线,长春亚泰获得角球.                   47'第47分钟何超带球中路狂冲，陶金上前把何超狠狠撞翻，陶金吃到黄牌
48'黄牌！上海申花球员陶金因为恶意犯规,被主裁判出示黄牌.                   47'第47分钟何超带球中路狂冲，陶金上前把何超狠狠撞翻，陶金吃到黄牌
48'黄牌！上海申花球员陶金因为恶意犯规,被主裁判出示黄牌.                   47'第47分钟何超带球中路狂冲，陶金上前把何超狠狠撞翻，陶金吃到黄牌
50'进球啦！！！长春亚泰球员伊格哈罗大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是马里尼奥. 长春亚泰 2-1 上海申花.                   47'第47分钟何超带球中路狂冲，陶金上前把何超狠狠撞翻，陶金吃到黄牌
50'进球啦！！！长春亚泰球员伊格哈罗大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是马里尼奥. 长春亚泰 2-1 上海申花.                   47'第47分钟何超带球中路狂冲，陶金上前把何超狠狠撞翻，陶金吃到黄牌
53'长春亚泰球员伊格哈罗大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   53'第53分钟申花用毛剑卿换下徐骏敏
53'长春亚泰球员伊格哈罗大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   53'第53分钟申花用毛剑卿换下徐骏敏
54'范晓冬将球处理出底线,上海申花获得角球.                   53'第53分钟申花用毛剑卿换下徐骏敏
54'范晓冬将球处理出底线,上海申花获得角球.                   53'第53分钟申花用毛剑卿换下徐骏敏
54'上海申花换人,毛剑卿换下徐骏敏                   53'第53分钟申花用毛剑卿换下徐骏敏
54'上海申花换人,毛剑卿换下徐骏敏                   53'第53分钟申花用毛剑卿换下徐骏敏
54'上海申花球员瓜林小禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是曹赟定.                   53'第53分钟申花用毛剑卿换下徐骏敏
54'上海申花球员瓜林小禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是曹赟定.                   53'第53分钟申花用毛剑卿换下徐骏敏
55'长春亚泰球员马里尼奥大禁区外右脚射门,被防守球员封堵.                   53'第53分钟申花用毛剑卿换下徐骏敏
55'长春亚泰球员马里尼奥大禁区外右脚射门,被防守球员封堵.                   53'第53分钟申花用毛剑卿换下徐骏敏
56'瓜林为上海申花赢得一个任意球.                   53'第53分钟申花用毛剑卿换下徐骏敏
56'瓜林为上海申花赢得一个任意球.                   53'第53分钟申花用毛剑卿换下徐骏敏
56'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   53'第53分钟申花用毛剑卿换下徐骏敏
56'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   53'第53分钟申花用毛剑卿换下徐骏敏
56'瓜林为上海申花赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
56'瓜林为上海申花赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
56'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
56'长春亚泰球员积施利拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
57'莫雷诺为上海申花在右路,赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
57'莫雷诺为上海申花在右路,赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
57'长春亚泰球员郭亮拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
57'长春亚泰球员郭亮拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'上海申花球员毛剑卿大禁区左侧左脚射门,被防守球员封堵.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'上海申花球员毛剑卿大禁区左侧左脚射门,被防守球员封堵.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'上海申花球员毛剑卿一脚直塞球给马丁斯,但是边裁举旗显示后者已经越位.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'上海申花球员毛剑卿一脚直塞球给马丁斯,但是边裁举旗显示后者已经越位.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'上海申花球员毛剑卿拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'上海申花球员毛剑卿拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'马里尼奥为长春亚泰在对方半场,赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
58'马里尼奥为长春亚泰在对方半场,赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
59'上海申花球员陶金拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
59'上海申花球员陶金拼抢犯规,对手获得控球权.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
59'伊格哈罗为长春亚泰在对方半场,赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
59'伊格哈罗为长春亚泰在对方半场,赢得一个任意球.                   56'第56分钟瓜林任意球开入禁区，毛剑卿左侧打平球射门，祎凡没扑住球，马丁斯在禁区上把球补进，裁判判罚马丁斯越位在先
62'陶金为上海申花赢得一个任意球.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
62'陶金为上海申花赢得一个任意球.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
62'长春亚泰球员伊格哈罗拼抢犯规,对手获得控球权.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
62'长春亚泰球员伊格哈罗拼抢犯规,对手获得控球权.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
63'毛剑卿为上海申花在右路,赢得一个任意球.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
63'毛剑卿为上海申花在右路,赢得一个任意球.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
63'长春亚泰球员Yan Shipeng拼抢犯规,对手获得控球权.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
63'长春亚泰球员Yan Shipeng拼抢犯规,对手获得控球权.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
64'上海申花球员孙世林手球犯规,对手获得球权.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
64'上海申花球员孙世林手球犯规,对手获得球权.                   62'第62分钟闫世鹏在和毛剑卿拼抢时，衣服脱线开口，闫退到场外换衣服，但队务迟迟没找到衣服，好在申花11打10这段没找到进攻机会
69'瓜林为上海申花赢得一个任意球.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
69'瓜林为上海申花赢得一个任意球.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
69'长春亚泰球员何超拼抢犯规,对手获得控球权.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
69'长春亚泰球员何超拼抢犯规,对手获得控球权.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'上海申花球员王林拼抢犯规,对手获得控球权.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'上海申花球员王林拼抢犯规,对手获得控球权.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'伊格哈罗为长春亚泰赢得一个任意球.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'伊格哈罗为长春亚泰赢得一个任意球.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'黄牌！上海申花球员王林因为恶意犯规,被主裁判出示黄牌.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'黄牌！上海申花球员王林因为恶意犯规,被主裁判出示黄牌.                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'长春亚泰伊格哈罗受伤倒地,比赛暂停                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
70'长春亚泰伊格哈罗受伤倒地,比赛暂停                   67'第67分钟瓜林在右路连续策动几次进攻，但可惜最后射门环节都没把握好
72'瓜林为上海申花在右路,赢得一个任意球.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
72'瓜林为上海申花在右路,赢得一个任意球.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
72'长春亚泰球员胡斯蒂拼抢犯规,对手获得控球权.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
72'长春亚泰球员胡斯蒂拼抢犯规,对手获得控球权.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
73'长春亚泰范晓冬受伤倒地,比赛暂停                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
73'长春亚泰范晓冬受伤倒地,比赛暂停                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
73'长春亚泰换人,杜震宇上,伊格哈罗因伤下场.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
73'长春亚泰换人,杜震宇上,伊格哈罗因伤下场.                   72'第72分钟范晓冬和马丁斯拼抢时也受伤倒地不起
