4'萨尼亚在右路的传中球，传到远端没有球员拿到。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
78'女王公园右路的传中球，萨莫拉没有争到，但晃了后边的德米凯利斯一下。                   78'第78分钟，巴顿头球回传被阿圭罗拦截，阿根廷人晃过格林后在禁区右侧射空门被邓恩挡出
78'阿奎罗也获得一个好机会！女王公园的球员头球回顶正好顶到他脚下，但过了格林之后的角度太小了，打门被回来的后卫挡了出去。                   78'第78分钟，巴顿头球回传被阿圭罗拦截，阿根廷人晃过格林后在禁区右侧射空门被邓恩挡出
80'QPR又在禁区前获得位置很好的任意球，但是菲尔的打门被人墙挡了出去。                   78'第78分钟，巴顿头球回传被阿圭罗拦截，阿根廷人晃过格林后在禁区右侧射空门被邓恩挡出
80'比赛还有10分钟了，看看曼城场上的球员有什么办法吧。                   78'第78分钟，巴顿头球回传被阿圭罗拦截，阿根廷人晃过格林后在禁区右侧射空门被邓恩挡出
81'亚亚图雷禁区内打门！被格林用身体挡出。                   78'第78分钟，巴顿头球回传被阿圭罗拦截，阿根廷人晃过格林后在禁区右侧射空门被邓恩挡出
81'亚亚图雷禁区内打门！被格林用身体挡出。                   81'第81分钟，纳瓦斯传中，米尔纳头球攻门被考尔克门线前解围
82'萨尼亚右路在禁区内过掉尹锡荣，横传米尔纳打门被后卫挡了一下，角球。                   81'第81分钟，纳瓦斯传中，米尔纳头球攻门被考尔克门线前解围
82'角球开出来被顶到外围，萨尼亚远射！还是偏了啊。                   81'第81分钟，纳瓦斯传中，米尔纳头球攻门被考尔克门线前解围
83'曼城扳平了，又是阿奎罗！                   81'第81分钟，纳瓦斯传中，米尔纳头球攻门被考尔克门线前解围
84'阿奎罗接长传晃过门将轻松打空门得手！真是神将啊！                   81'第81分钟，纳瓦斯传中，米尔纳头球攻门被考尔克门线前解围
84'[此时此刻值得来杯嘉士伯]                   81'第81分钟，纳瓦斯传中，米尔纳头球攻门被考尔克门线前解围
46'上半场最后阶段女王公园获得一个任意球机会但是被人墙挡出了。                   46'1分钟后，萨尼亚右路禁区边缘外劲射稍稍偏出远角
46'好的，上半场比赛结束了！最终双方战成了1比1，我们稍事休息，下半场比赛再见！                   46'1分钟后，萨尼亚右路禁区边缘外劲射稍稍偏出远角
46'好的，下半场比赛开始了！                   46'1分钟后，萨尼亚右路禁区边缘外劲射稍稍偏出远角
46'下半场比赛一上来纳瓦斯就是一个快速的突破。                   46'1分钟后，萨尼亚右路禁区边缘外劲射稍稍偏出远角
47'今天曼城上半场一开始后卫的表现相当差，但是后半段有了一些好转。                   46'1分钟后，萨尼亚右路禁区边缘外劲射稍稍偏出远角
48'女王公园的进攻，在曼城禁区前的配合，最后还是被后卫挡出。                   46'1分钟后，萨尼亚右路禁区边缘外劲射稍稍偏出远角
49'这边曼城的反击特别犀利，但是阿奎罗的下底横传图雷竟让没有碰到皮球，碰到就进啊！                   46'1分钟后，萨尼亚右路禁区边缘外劲射稍稍偏出远角
90'比赛的90分钟时间马上就要到了，应该会补时3到4分钟吧。                   89'第89分钟，瓦尔加斯传中，奥斯丁头球攻门偏出
91'下半场比赛补时4分钟！                   89'第89分钟，瓦尔加斯传中，奥斯丁头球攻门偏出
91'最后的4分钟机会，看看双方还能否再进球啊。                   89'第89分钟，瓦尔加斯传中，奥斯丁头球攻门偏出
91'阿奎罗外围直接打门！被后卫封堵了出来。                   89'第89分钟，瓦尔加斯传中，奥斯丁头球攻门偏出
92'角球开出来之后德米凯利斯顶到一点，之后被格林直接拿到。                   89'第89分钟，瓦尔加斯传中，奥斯丁头球攻门偏出
