2'艾贝尔拿球面对佩佩的防守强突禁区，卡西利亚斯出击将球没收                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
59'zidane:卡列洪左后卫？纳乔也没什么错误啊（银河战舰要的是3分，进攻是第一）                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
59'巴拉多利德的进攻赢得左侧角球机会                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
59'角球开出，第一点被皇马球员解围                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
59'巴拉多利德球员得到第二落点，过度给到禁区右边的奥马尔                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
60'奥马尔拿球，禁区线上的抽射，球打偏了                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
60'奥斯卡禁区外的远射卡西利亚斯奋力扑出                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
61'佩佩再在补射的马努乔之前将球解围出底线                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
61'巴拉多利德左侧角球机会，并没威胁                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
61'现在双方的进攻节奏又起来了，很快哦                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
61'奥斯卡中场拿球横传找右边路的队友，卡列洪将球断掉                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
62'皇马再次换人：莫德里奇换下阿韦罗亚                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
62'魔力鸟这是啥意思啊，把首发的两个边后卫全部换下啦                   59'第59分钟，瓦里恩特角球混战中头球摆渡，奥斯卡禁区右侧12码处射门偏出近角
62'皇马再次换人：莫德里奇换下阿韦罗亚                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
62'魔力鸟这是啥意思啊，把首发的两个边后卫全部换下啦                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
63'看来魔力鸟要拼了，3后卫，强攻吧                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
64'佩佩的后场直传球被巴拉多利德球员拦截                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
64'皇马中场又反断回来，打反击                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
64'迪马利亚禁区内的打门，埃尔南德斯出击将球一扑滚向球门，后卫回防将球解围                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
65'巴拉多利德的进攻再次获得角球                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
65'不过皇马现在防角球时有了心得，轻松化解                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
65'皇马的反击，C罗禁区线上的打门被后卫挡出底线                   62'第62分钟，摩德里奇换下阿韦罗亚加强进攻
69'C罗前场拿球，被巴拉多利德两名球员前后夹击中球丢啦                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
70'C罗对这个判罚不满，向蒙特罗大声抗议                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
70'结果只能有一个，C罗被蒙特罗赏了一张黄牌                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
71'下半场比赛已经来到了25分钟，比分还是2-2                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
71'本泽马禁区外背身拿球，塞雷诺上抢踢倒了本泽马                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
71'皇马获得了禁区外的任意球机会                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
72'位置就在禁区弧的右侧一点点，距离球门20米左右                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
72'进球啦                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
72'厄齐尔左脚任意球攻门，球绕过人墙，直挂球门右上死角，埃尔南德斯毫无办法                   69'第69分钟，C-罗纳尔多不满判罚怒吼裁判被黄牌警告
73'巴拉多利德那边马努乔梅开二度，皇马这边厄齐尔也是紧随其后，给力啊                   73'第73分钟，瓦拉内换下本泽马进入战略防守
73'皇马换人：瓦拉内换下本泽马                   73'第73分钟，瓦拉内换下本泽马进入战略防守
74'领先后，魔力鸟换上后卫，换下前锋，目的明确啊                   73'第73分钟，瓦拉内换下本泽马进入战略防守
75'皇马三个换人名额已经用完，而巴拉多利德这边还有2个，看看他们怎么调整吧                   73'第73分钟，瓦拉内换下本泽马进入战略防守
76'我们一起来看看上半场结束前厄齐尔打进扳平比分一球GIF图，非常漂亮                   73'第73分钟，瓦拉内换下本泽马进入战略防守
76'巴拉多利德右路的进攻赢得角球机会                   73'第73分钟，瓦拉内换下本泽马进入战略防守
76'角球开出到禁区，皇马球员将球解围                   73'第73分钟，瓦拉内换下本泽马进入战略防守
82'皇马中场传球失误，巴拉多利德的反击                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
82'巴伦齐亚加左路拿球下底，厄齐尔回防放铲，将前者铲倒在地                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
83'厄齐尔被裁判出示黄牌警告                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
83'巴拉多利德获得前场左侧任意球机会                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
83'奥斯卡任意球开到禁区，哈维-古埃拉的攻门顶偏了                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
84'奥斯卡中场和阿隆索的争抢中明显蹬踏动作，亮鞋底啦                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
84'奥斯卡被裁判出示黄牌警告                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
84'莫德里奇前场拿球，巴拉多利德球员上抢背后推倒了莫德里奇，犯规                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
85'阿隆索任意球开到门前，C罗的头球攻门，埃尔南德斯单拳将球扑出底线                   82'第82分钟，厄齐尔边路回防铲倒贝伦齐亚加被罚黄牌
92'C罗前场拿球强突，维克多又被吹罚了阻挡犯规                   92'第92分钟，C-罗纳尔多30码处任意球射门被挡出
92'皇马前场任意球机会，又是C罗的射门里程内                   92'第92分钟，C-罗纳尔多30码处任意球射门被挡出
92'C罗任意球打门，击中人墙弹出底线                   92'第92分钟，C-罗纳尔多30码处任意球射门被挡出
93'皇马右侧角球机会，厄齐尔和莫德里奇战术角球，控制时间了                   92'第92分钟，C-罗纳尔多30码处任意球射门被挡出
93'补时已经进入倒数了                   92'第92分钟，C-罗纳尔多30码处任意球射门被挡出
93'皇马还是获得了右侧角球机会，继续战术角球                   92'第92分钟，C-罗纳尔多30码处任意球射门被挡出
