1'泰达vs上港中超21轮比赛上半场开始                   1'第1分钟，瓦伦西亚右路突破后挑传中央，上港队后卫奋力将球顶出
56'惠佳康左路再次形成突破，从两名球员之间把球传出                   53'第53分钟，巴雷接直传球形成突破，李运秋将其撞倒
60'上港换人 卡贝萨斯换下伊赛                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
60'今天伊赛在前场作用不大，还有过一次门前补射空门，脚下打滑的表现                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
61'王新欣、安德烈齐尼奥和巴雷在前场的连续空中一脚传球                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
61'安德烈齐尼奥突入禁区接巴雷传球后倒地，这次裁判没有表示                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
61'惠佳康中场丢球                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
62'上港队传到前面的卡贝萨斯                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
62'卡贝萨斯接球的时候故意手球，被出示黄牌                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
63'李本舰左路传中直接到后点，瓦伦西亚把球拿到                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
63'再回给安德烈齐尼奥的时候传球失误了                   60'第60分钟，烈鸟、王新欣、巴雷连续一脚传球，安德烈奇尼奥进入禁区被伊班铲断
65'惠佳康左路接应安德烈齐尼奥球的时候先出边线了                   65'第65分钟，武磊形成单刀机会，但李玮峰全速回防将球破坏
66'武磊右路形成突破高速带球突入禁区！！！斜刺里李玮峰杀出大步流星上来补防把球解围出去！！                   65'第65分钟，武磊形成单刀机会，但李玮峰全速回防将球破坏
67'泰达队要到一个角球的机会                   65'第65分钟，武磊形成单刀机会，但李玮峰全速回防将球破坏
68'安德烈齐尼奥角球给到中路，李玮峰抢到落点打门被阻                   65'第65分钟，武磊形成单刀机会，但李玮峰全速回防将球破坏
70'曹阳突然助攻上来，中路带球被蔡慧康拉倒                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
70'蔡慧康吃到一张黄牌                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
71'安德烈齐尼奥传到后点，裁判吹了泰达球员的进攻犯规                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
71'比赛进行到70分钟                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
71'比分还是2比2                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
71'麦克布雷恩左路传中                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
72'李玮峰把球挡出了底线                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
72'上港的角球机会                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
72'角球打到后点                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
72'还是先出底线了                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
72'上港队今天出现两次角球先出界的情况了                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
73'巴雷争抢高空球的时候被吹了犯规                   70'第70分钟，曹阳突然带球冲过中场杀向腹地，蔡慧康将其放倒吃到黄牌
78'卡贝萨斯和麦克布雷恩的撞墙配合被周海滨断下                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
78'武磊帽子戏法！！！！！！！                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
79'3比2了！！！！！武磊今天太神了！！！                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
80'王燊超禁区外送出挑传，武磊后插上面对出击的门将直接凌空外脚背垫射破门！！！                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
80'这球有点皮耶罗尤文成名作的感觉啊                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
80'周海滨外围远射稍稍偏出门柱                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
81'惠佳康左路的一脚传球不着边际了                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
81'下半场上港队几乎没什么机会的，但是武磊最后时刻再次天神下凡了                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
81'泰达换人，周燎换下安德烈齐尼奥                   78'第78分钟，王龀突然挑传禁区，武磊及时插上，右脚外脚背凌空轻巧一拨，皮球越过杨启鹏再次破网
80'王燊超禁区外送出挑传，武磊后插上面对出击的门将直接凌空外脚背垫射破门！！！                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
80'这球有点皮耶罗尤文成名作的感觉啊                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
80'周海滨外围远射稍稍偏出门柱                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
81'惠佳康左路的一脚传球不着边际了                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
81'下半场上港队几乎没什么机会的，但是武磊最后时刻再次天神下凡了                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
81'泰达换人，周燎换下安德烈齐尼奥                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
82'惠佳康左路传中被伊班头球顶出底线，角球                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
83'战术角球配合，惠佳康再传向后点                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
83'继续角球                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
83'李本舰角球给到门前，门将把球打出禁区                   80'第80分钟，安德烈奇尼奥横传受阻，周海滨外围低射稍稍偏出
87'留给泰达队的时间不多了                   87'第87分钟，惠家康右路传中，皮球直接传到孙乐怀里
87'王新欣正面直接起高球，还是传到了无人地带                   87'第87分钟，惠家康右路传中，皮球直接传到孙乐怀里
88'泰达队右路的机会，惠佳康传中直接给到门将怀里                   87'第87分钟，惠家康右路传中，皮球直接传到孙乐怀里
89'传的真心准啊                   87'第87分钟，惠家康右路传中，皮球直接传到孙乐怀里
89'泰达队前场右路的边线球                   87'第87分钟，惠家康右路传中，皮球直接传到孙乐怀里
89'周海滨右路起球没能过顶                   87'第87分钟，惠家康右路传中，皮球直接传到孙乐怀里
91'换到左路李本舰的传中还是没能找到队友的头上                   90'第90分钟，孙乐出击没有将球打远，瓦伦西亚胸部停球后凌空勾射，可惜皮球贴着门柱出了底线
91'下半场补时3分钟                   90'第90分钟，孙乐出击没有将球打远，瓦伦西亚胸部停球后凌空勾射，可惜皮球贴着门柱出了底线
92'上港队门将出击把球打出禁区，周海滨外围直接把球扫向禁区，点球点位置瓦伦西亚停球倒钩打门稍稍偏出门柱！！！                   90'第90分钟，孙乐出击没有将球打远，瓦伦西亚胸部停球后凌空勾射，可惜皮球贴着门柱出了底线
92'差了一点点啊                   90'第90分钟，孙乐出击没有将球打远，瓦伦西亚胸部停球后凌空勾射，可惜皮球贴着门柱出了底线
93'傅欢换下了上演帽子戏法的武磊                   90'第90分钟，孙乐出击没有将球打远，瓦伦西亚胸部停球后凌空勾射，可惜皮球贴着门柱出了底线
93'瓦伦西亚中场拼抢犯规                   90'第90分钟，孙乐出击没有将球打远，瓦伦西亚胸部停球后凌空勾射，可惜皮球贴着门柱出了底线
