1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
63'苏亚雷斯前场拿球一人过五关斩六将到了禁区里，面对门将推射破门！！                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
63'个人能力的体现啊                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
65'巴萨赢球应该没什么大问题了                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
65'贝蒂斯中场拿球                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
65'观察了一下没有办法往前打                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
66'贝蒂斯前场拿球走中路                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
66'没有渗透过去                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
66'巴萨右路进攻上来                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
66'塞梅多带球到了禁区                   63'巴萨第63分钟锁定胜局，皮克传球，苏亚雷斯连过3人10码处单刀推射入左下角，3-0
82'1-3！！                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
82'贝蒂斯扳回一球                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
83'前场拿球送左路，特略将球给到禁区，莱内斯后点接球回敲，莫隆迎球推射破门！！                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
83'全场比赛已经来到了尾声                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
83'巴萨获得角球                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
83'角球送后点                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
84'后卫头球顶出底线                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
85'1-4！！                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
85'梅西！！                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
85'帽子戏法了                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
85'梅西禁区弧顶接队友回传球，吊射一脚，打在横梁下沿入网！！                   82'贝蒂斯第82分钟扳回一城，阿尔巴滑倒未能解围，莱内斯传球，同样替补出场的莫农禁区边缘射入右上角，1-3
85'1-4！！                   85'第85分钟，拉基蒂奇传球，梅西禁区边缘内左脚吊射，皮球吊过保-洛佩斯击中横梁下沿入网，4-1
85'梅西！！                   85'第85分钟，拉基蒂奇传球，梅西禁区边缘内左脚吊射，皮球吊过保-洛佩斯击中横梁下沿入网，4-1
85'帽子戏法了                   85'第85分钟，拉基蒂奇传球，梅西禁区边缘内左脚吊射，皮球吊过保-洛佩斯击中横梁下沿入网，4-1
85'梅西禁区弧顶接队友回传球，吊射一脚，打在横梁下沿入网！！                   85'第85分钟，拉基蒂奇传球，梅西禁区边缘内左脚吊射，皮球吊过保-洛佩斯击中横梁下沿入网，4-1
86'这球打得太棒了                   85'第85分钟，拉基蒂奇传球，梅西禁区边缘内左脚吊射，皮球吊过保-洛佩斯击中横梁下沿入网，4-1
