7'席尔瓦传中到后点，米楚头球解围                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
18'根本就是没有人防守的情况下                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
18'这打门水准太臭了                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
19'斯旺西卷土重来                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
19'米楚挑给后排插上的队友                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
19'还好最后是纳斯里的回防，干扰了对方前锋                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
19'斯旺西的角球                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
19'传中并没有形成威胁                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
20'米楚！门前绝好的机会                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
20'队友的传中让他处在了没人防守的状态                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
20'可惜门前的垫射打偏了                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
20'如此之近的射门，斯旺西浪费了两次机会                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
20'米楚！门前绝好的机会                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
20'队友的传中让他处在了没人防守的状态                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
20'可惜门前的垫射打偏了                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
20'如此之近的射门，斯旺西浪费了两次机会                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
21'曼城如果不提起精神，恐怕要丢球哇                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
21'图雷远射！被威廉姆斯伸腿挡了一下                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
21'曼城现在传接球失误较多                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
22'很难在前场形成有效的攻势                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
22'裁判吹哨了                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
22'斯旺西又是长传进攻                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
22'纳斯塔西奇在身后踢倒了埃尔南德斯                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
23'曼城也要用控球来主导场上局势                   20'斯旺西第20分钟险些破门，代尔右路传中，无人防守的米楚远点小禁区边缘射门打偏
32'这根本就不是英超球队，明显是西甲球队                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
32'传中差一点就过了孔帕尼头顶，被顶了出去                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
32'曼城完全被压制在了自己的半场                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
32'埃尔南德斯！又浪费了一个机会                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
33'已经反越位形成了单刀，一扣后卫扑上来！再打已经没角度了                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
33'奇科打了一脚远射！球擦着左侧立柱飞出底线                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
33'斯旺西越打越来劲                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
34'挥戈10:球心，白天播完NBA，晚上还要播足球，真辛苦哈---？我今天白天没播NBA吧                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
34'红魔逆转是传统: 校队前锋---你好毒，埃尔南德斯还入选过西班牙国家队呢                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
34'游戏人生2710:很久没看见米楚哥哥啦---在场上失踪了                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
35'纳斯里好机会！                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
35'巴里的挑传，恰好越过后卫头顶                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
35'纳斯里转身就打！没能抽上力量                   32'第32分钟，劳特利奇直传，巴勃罗-埃尔南德斯禁区左肋14码处低射偏出近角
35'纳斯里好机会！                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
35'巴里的挑传，恰好越过后卫头顶                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
35'纳斯里转身就打！没能抽上力量                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
36'门将站位也很稳，将球接住了                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
36'曼奇尼嚼着口香糖，一脸的轻松模样                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
36'西超联赛: 曼城还有杯赛的任务吗？  ---足总杯算吗？                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
36'曾德康:比赛打成这个样子！看看能不能上墙找找乐子！！！---呵呵，这想法不错                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
37'阿奎罗脚下有些粘球了                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
38'斯旺西禁区内的混战！                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
38'曼城渗透到了对方禁区，纳斯里打门！被后卫封堵                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
38'西超联赛: 哦 还有足总杯 踢谁啊---维冈                   35'第35分钟，巴里挑传，纳斯里小禁区边缘凌空扫射正入沃姆下怀
43'曼城连续打门！                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
43'又是一场混战，两次都被挡了出去                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
43'米尔纳下底传中，裁判鸣哨了                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
43'禁区内是曼城的球员犯规                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
44'天才郭奉孝:多特曼城去年欧冠同样没出线，今年多特决赛，曼城连欧联杯都打不上---你的意思是曼城小姐身子丫鬟命？                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
45'z凌寒煦暖k:我们的大席尔瓦隐身了吗！！！---曼城整体打得不好啊                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
45'上半场就快结束了，估计是没进球的                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
45'曼城往回传的时间比往前传更多                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
46'威廉姆斯身后给了阿奎罗一脚                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
46'裁判给了曼城前场定位球机会                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
46'距离稍微有些远                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
46'上半场要补时1分钟                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
46'图雷的定位球传球被后卫解围                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
46'两队的下半场比赛开始！                   43'第43分钟，阿圭罗传球，席尔瓦12码处射门偏转后被沃姆扑出，后者又及时出击扑出了席尔瓦的近距离补射
64'埃尔南德斯！上半场他的射门机会不错                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
64'刚才又是他的打门！稍稍高出横梁                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
64'斯旺西换人了                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
64'奥古斯丁换下了劳特里奇                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
65'麦迪之神524:点球？？？？？？？？---疑似点球没吹                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
65'每次都是很接近进球了，球员不是踢偏就是不射                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
65'看起来两队打得还挺默契                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
66'代尔回传球失误！                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
66'纳斯里被后卫一撞之后失去了对球的控制                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
66'游客7014: 曼城是什么颜色 ---斯旺西白色                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
67'米尔纳断球，长传转移了一下                   64'第64分钟，代尔传球，巴勃罗-埃尔南德斯左路禁区边缘劲射高出
77'年轻就是资本1985:晚上好!球心!求露脸---晚上好啊                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
78'德古斯曼一脚打门！踢高了                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
78'好了，特维斯终于要上了                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
78'曼城不甘心一个0比0？                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
78'会换下阿奎罗吗？                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
79'果然是换下卡劳                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
79'阿奎罗                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
79'特维斯上场，换掉阿奎罗                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
79'手机用户2284149587:球心，如果老穆来曼城，能进四强不---穆尼尼奥不可能去曼城                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
80'埃尔南德斯踢倒了萨巴莱塔                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
80'曼城获得了一个边路定位球                   77'第77分钟，孔帕尼禁区边缘外撞倒代尔，德-古兹曼20码处任意球直接射门高出
83'特维斯被奥古斯丁给放倒了                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
83'奥古斯丁对于裁判这次吹罚有些不满                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
83'曼城快速开出定位球                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
83'纳斯里被对方围抢，将球踢出了边线                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
84'空门！                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
84'哲科居然空门不进                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
84'特维斯直塞给了萨巴莱塔！传中打在了后卫身上变线                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
84'变成了极佳的门前机会，哲科无人盯防下的近距离推射，居然打偏了                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
84'这球怎么说呢                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
85'打出去比打进更难                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
85'曼城又制造了杀机                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
85'哲科打门被后卫挡了一下                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
85'插上的席尔瓦！迎球推射！可惜还是打偏了                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
86'曼城这边用罗德维尔换下席尔瓦                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
86'斯旺西也做出人员调整，代尔被蒂恩达利换下                   83'曼城第83分钟错失良机，特维斯直传，萨巴莱塔禁区右侧下底传中，无人防守的哲科小禁区边缘垫射偏出
