5'卢多戈雷茨这边退防的很快                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
43'这球点传的非常不错，门将要出不能出的一个位置                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
43'卢多戈雷茨边路进攻上来                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
43'防守中又是漏人了                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
43'禁区内的传球被后卫挡出                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
43'卢多戈雷茨的角球机会                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
44'角球送前点                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
44'乱战中没有起脚的机会                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
44'阿森纳这边组织反击的机会                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
44'中场直接被断抢                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
44'右路的拿球没有控制好                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
45'扎卡前场拼抢犯规                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
87'阿森纳中场拿球送直塞                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
87'厄齐尔接球的时候越位                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
87'阿森纳这边换人                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
87'扎卡下，埃尔内尼上！                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
88'2-3！！！！                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
88'厄齐尔！！！                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
89'阿森纳中场断球下来直接长传打到前场，厄齐尔接球形成反越位，面对出击的门将挑了过去，这时后卫已经回防，厄齐尔面对两名后卫的防守很冷静的晃了过去，最后推射空门得分！！                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
89'几乎是绝杀了                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
89'看看卢多戈雷茨这边还有机会么                   87'阿森纳第87分钟逆转绝杀，刚刚替换扎卡出场的埃尔内尼送出长传，反越位成功的厄齐尔挑过出击的门将后又晃倒2人射入空门，3-2
