1'比赛开始，曼城开球                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
56'南安普敦中场获得一个定位球                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
57'戴维斯给到禁区右侧，被解围出去                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
57'克拉西外围拿球，在转移一下，被斯通斯头球解围                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
57'斯特林疾驰反击，大禁区外围一记直塞                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
57'中路禁区内席尔瓦拿球，在分旁边的阿圭罗                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
57'范迪克把球破坏                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
58'克拉西中路拿球，孔帕尼上抢犯规了                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
58'下半场节奏更快了                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
58'伊赫纳乔回敲费尔南迪尼奥，右侧转移给斯特林                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
58'中路过渡给席尔瓦，在给京多安                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
58'禁区右侧京多安传中，球被防守队员挡出                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
