8'曼城球员哲科大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是纳斯里.                   8'第8分钟，纳瓦斯20码处劲射被科扎契克扑出底线
55'射门!!!曼城球员阿圭罗大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是纳瓦斯.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
55'科萨希奇将球处理出底线,曼城获得角球.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
56'霍洛瓦为比尔森赢得一个任意球.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
56'曼城球员哲科拼抢犯规,对手获得控球权.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
56'比尔森球员科拉什拼抢犯规,对手获得控球权.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
56'萨巴莱塔为曼城赢得一个任意球.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
55'射门!!!曼城球员阿圭罗大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是纳瓦斯.                   55'第55分钟，纳瓦斯传球，阿圭罗禁区右侧的射门被科扎契克扑出
55'科萨希奇将球处理出底线,曼城获得角球.                   55'第55分钟，纳瓦斯传球，阿圭罗禁区右侧的射门被科扎契克扑出
56'霍洛瓦为比尔森赢得一个任意球.                   55'第55分钟，纳瓦斯传球，阿圭罗禁区右侧的射门被科扎契克扑出
56'曼城球员哲科拼抢犯规,对手获得控球权.                   55'第55分钟，纳瓦斯传球，阿圭罗禁区右侧的射门被科扎契克扑出
56'比尔森球员科拉什拼抢犯规,对手获得控球权.                   55'第55分钟，纳瓦斯传球，阿圭罗禁区右侧的射门被科扎契克扑出
56'萨巴莱塔为曼城赢得一个任意球.                   55'第55分钟，纳瓦斯传球，阿圭罗禁区右侧的射门被科扎契克扑出
58'进球啦！！！曼城球员阿圭罗大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是纳斯里. 比尔森 0-3 曼城.                   55'第55分钟，纳瓦斯传球，阿圭罗禁区右侧的射门被科扎契克扑出
58'进球啦！！！曼城球员阿圭罗大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是纳斯里. 比尔森 0-3 曼城.                   58'巴萨切尔西米兰皆出战]曼城第58分钟锁定胜局，纳斯里传球，阿圭罗拿球回撤摆脱，最后在禁区边缘左脚射入左下角，3-0
59'曼城球员费尔南迪奥一脚直塞球给阿圭罗,但是边裁举旗显示后者已经越位.                   58'巴萨切尔西米兰皆出战]曼城第58分钟锁定胜局，纳斯里传球，阿圭罗拿球回撤摆脱，最后在禁区边缘左脚射入左下角，3-0
61'曼城球员阿圭罗一脚直塞球给纳瓦斯,但是边裁举旗显示后者已经越位.                   58'巴萨切尔西米兰皆出战]曼城第58分钟锁定胜局，纳斯里传球，阿圭罗拿球回撤摆脱，最后在禁区边缘左脚射入左下角，3-0
61'比尔森换人,杜里斯换下科拉什                   58'巴萨切尔西米兰皆出战]曼城第58分钟锁定胜局，纳斯里传球，阿圭罗拿球回撤摆脱，最后在禁区边缘左脚射入左下角，3-0
66'曼城球员亚亚-图雷大禁区外尝试右脚射门,可惜皮球高出球门.                   66'第66分钟，亚亚-图雷20码处任意球直接射门高出
67'比尔森换人,胡布尼克换下海世达                   66'第66分钟，亚亚-图雷20码处任意球直接射门高出
67'曼城换人,米尔纳换下纳瓦斯                   66'第66分钟，亚亚-图雷20码处任意球直接射门高出
68'曼城球员阿圭罗大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是科拉罗夫.                   66'第66分钟，亚亚-图雷20码处任意球直接射门高出
68'曼城球员阿圭罗大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是科拉罗夫.                   68'第68分钟，科拉罗夫传中，阿圭罗头球攻门稍稍高出
88'射门!!!曼城球员阿圭罗大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是孔帕尼.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
88'纳斯塔西奇将球处理出底线,比尔森获得角球.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
88'比尔森球员霍洛瓦大禁区中央右脚射门,命中门柱横梁.给他传球的是霍瓦特.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
89'比尔森球员霍洛瓦拼抢犯规,对手获得控球权.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
89'米尔纳为曼城在对方半场,赢得一个任意球.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
90'曼城球员阿圭罗大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是内格雷多.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
90'+1'孔帕尼将球处理出底线,比尔森获得角球.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
90'+1'萨巴莱塔将球处理出底线,比尔森获得角球.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
90'+2'比尔森球员林贝尔斯基一脚直塞球给杜里斯,但是边裁举旗显示后者已经越位.                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
90'+2'下半场结束,比尔森 0-3 曼城                   88'第88分钟，阿圭罗禁区右侧的劲射被扑出
