2'施特雷勒拉到右路拿球，送一记直传，冈萨雷斯斜插没有拿到球                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
83'巴塞尔作用第二个人员调整，21号迪亚兹替下了33号埃尔内尼                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
84'洛夫伦长传右肋部，斯特林传中打在后卫身上出了底线                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
84'杰拉德角球送门前，在窜已经出界了                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
86'巴塞尔界外球掷进来                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
87'祖菲分边，萨哈卡小角度打飞了                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
87'莫雷诺左路传中，斯科特尔头球攻门顶在后卫身上改变方向                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
87'不过力量不足，瓦茨利克将球摁在身下                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
88'巴塞尔换人，6号萨穆埃尔替下7号祖菲                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
88'利物浦左路的角球                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
88'第一点没有顶着，后点亨德森再传球打在后卫身上出了底线                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
88'库蒂尼奥右路发角球，第一点被苏希头球解围                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
89'杰拉德禁区外凌空抽射，球没有压住，打飞了                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
89'加什左路突进到禁区左侧，小角度打门被米尼奥莱封堵出来                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
89'下半场比赛补时4分钟                   86'第86分钟，莫雷诺传中，亨德森头球攻门偏出
