46'鲁能泰山队左路角球                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
58'长春亚泰队换人：杜震上场，换下周大地                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
58'张笑飞强突，金敬道奋力追赶！球出界                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
59'这次吹了金敬道犯规！长春亚泰队左路任意球                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
59'任意球发到禁区内！被破坏出来                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
59'前场长春亚泰队得球，谭龙得球右路横传，被吉尔破坏                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
59'角球发到禁区内，鲁能泰山队破坏出来                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
60'谭龙右路带球进攻，吴兴涵回防抢球犯规                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
53'鲁能泰山队换人：李松益换下李海龙                   52'比赛开始后，山东鲁能积极前压，第7分钟，王彤边路扣过防守队员后，斜塞入禁区，西塞得球小角度劲射，球被门将吴亚轲挡出底线
54'鲁能泰山队左路长传球，出边线                   52'比赛开始后，山东鲁能积极前压，第7分钟，王彤边路扣过防守队员后，斜塞入禁区，西塞得球小角度劲射，球被门将吴亚轲挡出底线
54'后场鲁能泰山队断球，长传前场！横传右路出边线                   52'比赛开始后，山东鲁能积极前压，第7分钟，王彤边路扣过防守队员后，斜塞入禁区，西塞得球小角度劲射，球被门将吴亚轲挡出底线
63'吴兴涵抢球犯规                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
63'任意球发到禁区内，被对方破坏出来                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
63'长春亚泰队在前场抢球犯规，王大雷来罚后场任意球                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
63'任意球发出来，鲁能泰山队把球转移到右路，对方破坏出边线                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
64'界外球发出来，长春亚泰队断球反击                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
65'长春亚泰队右路进攻，逼得角球机会                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
65'胡兹蒂发角球到禁区内后点，队友顶了一下，被吉尔顶出                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
66'塔尔德利右路突破下底！横传门前，西塞抢点打空门！居然高出！！                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
66'这球打不进比打进更难啊！！                   63'第18分钟，山东鲁能打出默契配合，张弛连续过人后分给金敬道，后者将球回做给塔尔德利，巴西9号虚晃一枪后右脚兜射远角，球擦着立柱偏出
72'4号是于睿                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
72'吴兴涵前场得球左路突破斜传，西塞越位啦～～                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
73'长春亚泰队长传前场！主裁判哨响！                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
73'胡兹蒂传球时姜嘉俊犯规啦                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
74'胡兹蒂发任意球到禁区内被挡出来，谭龙再传被破坏出来                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
74'鲁能泰山队长传进攻！！                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
74'好机会啊，塔尔德利和西塞二打一啦！！                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
74'塔尔德利右路横传球！西塞面对门将直接远射！被扑出                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
74'角球发到禁区内，长春亚泰队断球反击                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
75'马加特对西塞的这脚处理球方法极度不满！！眼里冒着火呢！                   72'第27分钟，山东鲁能差点破门，王彤中路送出斜塞，郑铮底线附近弧线球传中，西塞跟进扫射稍稍偏出
79'长春亚泰队右路配合传中，被吉尔挡出来                   78'第33分钟，范晓冬阻挡犯规，吃到黄牌
79'胡兹蒂在前场抢球犯规！吃到了黄牌                   78'第33分钟，范晓冬阻挡犯规，吃到黄牌
79'他将王彤按住抱摔！                   78'第33分钟，范晓冬阻挡犯规，吃到黄牌
81'长春亚泰队进球啦！伊格哈罗！2-3                   78'第33分钟，范晓冬阻挡犯规，吃到黄牌
81'长春亚泰队左路下底横传，谭龙顶了一下！伊格哈罗脚下活不错，转身打门球进！                   78'第33分钟，范晓冬阻挡犯规，吃到黄牌
89'蒋哲前场突破，吴兴涵上抢，两人对脚！！                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
89'吹给了长春亚泰队前场任意球机会                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
89'杜震宇发任意球给到门前！插上队员头球顶门！好悬，被王大雷摘下来！                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
90'长春亚泰队长传禁区！王大雷出击没收                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
90'下半场要补时4分钟                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
91'吴兴涵带球快速进攻！于睿防守犯规                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
91'吴兴涵受伤倒在地上！                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
91'主裁判示意吴兴涵到场外治疗                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
91'吉尔发任意球到前场，西塞左路强突交给塔尔德利                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
92'吴兴涵左路下底横传，西塞已经到位！                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
92'吴亚轲出击把球没收                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
92'伊格哈罗左路带球突破，被卡住了位置！                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
92'球出边线，鲁能泰山队后场球                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
92'胡兹蒂在场边坐着，打不了了                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
92'伊格哈罗裁判吹给鲁能泰山队后场边线球非常不满意                   89'第44分钟，山东鲁能再次打出默契配合，塔尔德利拿球反击，金敬道中路将球分边，张弛得球后内切劲射，球打在防守队员身上后偏出
57'鲁能泰山队进球啦！！塔尔德利！3-1                   57'第57分钟，山东鲁能再次扩大比分
57'西塞在前场断球，分到左路，吴兴涵横传禁区！塔尔德利抢到点转身打门球进                   57'第57分钟，山东鲁能再次扩大比分
58'这一粒进球来得及时！能领先两球，可以稳定军心                   57'第57分钟，山东鲁能再次扩大比分
58'长春亚泰队换人：杜震上场，换下周大地                   57'第57分钟，山东鲁能再次扩大比分
58'张笑飞强突，金敬道奋力追赶！球出界                   57'第57分钟，山东鲁能再次扩大比分
59'这次吹了金敬道犯规！长春亚泰队左路任意球                   57'第57分钟，山东鲁能再次扩大比分
59'任意球发到禁区内！被破坏出来                   57'第57分钟，山东鲁能再次扩大比分
59'前场长春亚泰队得球，谭龙得球右路横传，被吉尔破坏                   57'第57分钟，山东鲁能再次扩大比分
59'角球发到禁区内，鲁能泰山队破坏出来                   57'第57分钟，山东鲁能再次扩大比分
60'谭龙右路带球进攻，吴兴涵回防抢球犯规                   57'第57分钟，山东鲁能再次扩大比分
67'西塞在球门线外不远的地方打空门！居然打飞！                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
68'长春亚泰队传球到禁区内，吉尔头球点了一下                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
68'后场长春亚泰队得球，走左路长传进攻                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
68'伊格哈罗禁区内拿，被破坏出来                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
69'吴兴涵带球突破直传，塔尔德利左中和横传，皮球到另一侧，金敬道头球顶门！击中立柱！！                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
69'鲁能泰山队又错失扩大比分的机会                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
70'吴兴涵传球到禁区内，塔尔德利抢点打门被挡出                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
70'助理裁判已经举旗！示意在吴兴涵传球时塔尔德利越位                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
70'杜震宇挑传禁区！戴琳解围出来                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
70'杜震宇前场控球，王彤上抢犯规                   67'第67分钟，山东鲁能错失机会，塔尔德利送出妙传，西塞面对空门将球打高
74'胡兹蒂发任意球到禁区内被挡出来，谭龙再传被破坏出来                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
74'鲁能泰山队长传进攻！！                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
74'好机会啊，塔尔德利和西塞二打一啦！！                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
74'塔尔德利右路横传球！西塞面对门将直接远射！被扑出                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
74'角球发到禁区内，长春亚泰队断球反击                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
75'马加特对西塞的这脚处理球方法极度不满！！眼里冒着火呢！                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
76'胡兹蒂在前场得球，又被侵犯！任意球                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
76'胡兹蒂发任意球到禁区内，吉尔头球解围                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
76'外围长春亚泰队一脚大力远射！被王大雷扑住                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
77'前场胡兹蒂断球，右路斜传禁区！杜震宇抢点打门，没能打好                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
77'中场鲁能泰山队长传球！西塞越位                   74'第74分钟，塔尔德利反击中送出妙传，西塞单刀射门被吴亚轲扑出
77'前场胡兹蒂断球，右路斜传禁区！杜震宇抢点打门，没能打好                   77'第77分钟，胡斯蒂禁区外凌空抽射，球被王大雷飞身侧扑没收
77'中场鲁能泰山队长传球！西塞越位                   77'第77分钟，胡斯蒂禁区外凌空抽射，球被王大雷飞身侧扑没收
79'长春亚泰队右路配合传中，被吉尔挡出来                   77'第77分钟，胡斯蒂禁区外凌空抽射，球被王大雷飞身侧扑没收
79'胡兹蒂在前场抢球犯规！吃到了黄牌                   77'第77分钟，胡斯蒂禁区外凌空抽射，球被王大雷飞身侧扑没收
79'他将王彤按住抱摔！                   77'第77分钟，胡斯蒂禁区外凌空抽射，球被王大雷飞身侧扑没收
81'长春亚泰队进球啦！伊格哈罗！2-3                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
81'长春亚泰队左路下底横传，谭龙顶了一下！伊格哈罗脚下活不错，转身打门球进！                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
82'西塞浪费了两次机会！让伊格哈罗扳回一球！比赛又有了悬念                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
82'鲁能泰山队换人：李微上场，换下了姜嘉俊                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
82'长春亚泰队也换人调整，加强进攻！                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
83'长春亚泰队左路横传禁区！戴琳漏球！还好吉尔及时解围                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
83'角球发到禁区内，被破坏出来                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
84'鲁能泰山队快速反击！李微在等啊，再分球想给塔尔德利，力量小了！                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
84'塔尔德利有点延误时间的意思，吃到了黄牌                   81'第81分钟，长春亚泰发出界外球，杜震宇下底传中，谭龙头球摆渡，伊哈洛靠住吉尔转身低射得手，伊哈洛打入个人本赛季第8个进球
