1'上半场比赛开始！！                   1'双方第1分钟对抗激烈
68'慢镜头回放显示，这个球的犯规看不出来在哪里啊！！！                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
67'伊斯科前场左路拿球，直塞给到贝尔                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
67'贝尔强突，横传禁区再给伊斯科                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
67'伊斯科不注意，被身后上来的波尔蒂略将球解围出底线                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
67'皇马获得了左侧角球机会！！                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
68'伊斯科战术角球开出给到马塞洛，马塞洛斜传到后点                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
68'C罗前点顶进，可惜被吹犯规在先，无效！！                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
68'慢镜头回放显示，这个球的犯规看不出来在哪里啊！！！                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
69'C罗很不满，但也无能为力哦                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
69'皇马前场再攻，C罗禁区右侧拿球                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
69'调整一下，起脚打门                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
69'被挡出，本泽马再补                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
69'踢茨了，球碰到防守球员出界                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
69'皇马的左侧角球，没能形成威胁！！                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
70'本泽马之前的门前垫射，近在咫尺，被马丁内斯封堵了                   67'第67分钟，马塞洛左路传中，C罗远点近距离头球破门，但被判犯规在先，进球无效
69'C罗很不满，但也无能为力哦                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
69'皇马前场再攻，C罗禁区右侧拿球                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
69'调整一下，起脚打门                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
69'被挡出，本泽马再补                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
69'踢茨了，球碰到防守球员出界                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
69'皇马的左侧角球，没能形成威胁！！                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
70'本泽马之前的门前垫射，近在咫尺，被马丁内斯封堵了                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
71'贝尔中场右路拿球，分球卡塞米罗                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
71'回传贝尔，横切过来，再给略伦特                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
71'分球左侧给到马塞洛                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
72'马塞洛的强突，挑球过人                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
72'球被补防的杰内破坏出边线                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
72'马塞洛左路拿球，强突内切                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
72'传中到前点，杰内回防，抢先将球破坏出底线                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
72'皇马获得了左侧角球机会，没能形成威胁！！                   69'第69分钟，卡瓦哈尔禁区右侧传中，C罗近距离射门被马丁内斯神勇扑出
