1'主裁判哨响，上半场开始了                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
9'右侧盖坦拿球，交给身前卡拉斯科                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
9'一个短传配合，给到朱挺                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
10'大步流星的推进，右侧池忠国放铲犯规了                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
10'铲翻了盖坦                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
10'铲翻的是朱挺                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
10'禁区外右侧定位球机会                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
10'卡拉斯科主罚，，右脚给进来                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
10'兜到门前，，，争顶                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'冯特跃起，甩头攻门                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'哇塞，，击中横梁，弹出底线啊                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'这球，，顶的相当刁钻                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'侯森大脚开起来                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'中圈附近的拼抢，卡拉斯科拿球                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'遭遇逼抢，，卡拉斯科球丢了，反抢犯规                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'国安定位球，直接吊入禁区                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
11'门将出击，张翀把球打出                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
12'但是裁判哨响，有球员争顶时候倒地受伤                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
12'是韦世豪刚才争顶和出击的张翀相撞，受伤倒地了                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
12'裁判吹了点球啊                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
14'大连头球中梁，马上又遭遇点球打击，真是冰火两重天啊                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
14'比赛继续，左侧卡拉斯科拿球，突破行进                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
14'在分中路盖坦，连续传递                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
14'大禁区前沿卡拉斯科背身拿球，回敲                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
14'盖坦拿球，一记直塞                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
15'禁区右肋朱挺插上来了                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
15'是汪晋贤                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
15'汪晋贤斜对球门，小角度爆杆                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
15'球势大力沉，挂在边网                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
15'侯森大脚开起来                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
15'中圈附近国安把球拿到                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'挑传向前，朴成的传球，给大了                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'张翀出来把球没收                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'手抛球给到右侧盖坦                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'一个直传，向前给汪晋贤                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'中路观察，，斜传到左侧                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'禁区左肋盖坦插上                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'面对姜涛，一扣，，闪出空当了                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'抽射，，球被姜涛倒地封堵                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
17'外围在吊进来，，被门将没收                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
17'中圈附近拼抢，裁判吹了奥古斯托的犯规                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
17'镜头一闪，球权回到了北京脚下                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
17'国安右侧给到姜涛，斜45度起球                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
17'禁区后点韦世豪摆渡，给到朴成                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
17'朴成跟上，右脚推射，太正了啊                   14'一方迅速加强攻势，第14分钟，朱挺将球塞入禁区，汪晋贤小角度抽射打偏在边网上
16'挑传向前，朴成的传球，给大了                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
16'张翀出来把球没收                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
16'手抛球给到右侧盖坦                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
16'一个直传，向前给汪晋贤                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
16'中路观察，，斜传到左侧                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
16'禁区左肋盖坦插上                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
16'面对姜涛，一扣，，闪出空当了                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
16'抽射，，球被姜涛倒地封堵                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
17'外围在吊进来，，被门将没收                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
17'中圈附近拼抢，裁判吹了奥古斯托的犯规                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
17'镜头一闪，球权回到了北京脚下                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
17'国安右侧给到姜涛，斜45度起球                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
17'禁区后点韦世豪摆渡，给到朴成                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
17'朴成跟上，右脚推射，太正了啊                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'这球打的缺少狠劲啊                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'张翀大脚开起来                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'中圈附近比埃拉拿球                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'横向的转移，右侧前场找到姜涛                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'分出来给身前奥古斯托                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'横向转移，左侧给李磊                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'一记直传，身前给到韦世豪                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'冯特过来拦截                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'大脚破坏出来                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'中圈附近拼抢，国安断球                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
18'给池忠国，脚后跟一磕                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'中路找到比埃拉，一个连续的配合                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'分前场左侧，奥古斯托拿球，横敲                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'中路朴成拿球，分左路李磊                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'在给到中路朴成，转移右侧给奥古斯托                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'回敲给后面的于洋                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'低球向前，奥古斯托继续组织                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'分朴成，向前给比埃拉，连续传递                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
19'一记直塞，，禁区右侧索里亚诺前插                   16'第16分钟，姜涛斜传一方禁区，韦世豪争顶回摆，无人防守的朴成在禁区线附近推射被门将拦截
24'中圈附近争顶，，后场回到姜涛脚下                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'挑传，，中圈附近比埃拉拿球，带球疾驰                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'横敲左侧给李磊                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'分身前韦世豪，摆脱方硕                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'防守                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'和同伴打一个配合，身后在给李磊                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'一记直传，，奥古斯托脚后跟一磕                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'身后比埃拉拿球，在给奥古斯托                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
24'在分左侧韦世豪                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
25'禁区左侧面对张翀，，冷静的兜射远角                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
25'球划一个美妙的弧线，入了远角                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
25'韦世豪破门，扩大战果                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
25'韦世豪连续2轮进球了啊，不愧是U23的招牌                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
26'国安禁区外连续配合传递，奥古斯托脚后跟一磕，给到禁区内左侧插上的韦世豪，盘带之后右脚一兜直接钻进了远角                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
26'中路卡拉斯科拿球，被包围，利用个人能力                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'杀入禁区右侧，被解围出去                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'中路拼抢，，国安把球断下来                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'池忠国，分身前奥古斯托                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'横敲左侧李磊，分后面的池忠国                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'给身前的朴成，低球向前，左侧给比埃拉                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'回敲身后给李磊，分右侧的比埃拉                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'遭遇逼抢，，被放倒了                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'金强背后拉拽比埃拉犯规                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
27'后场池忠国接球，横敲到中圈附近                   24'第24分钟，国安将比分扩大为2-0：国安在左路打出流畅配合，奥古斯托将球塞入禁区左侧，顺势前插的韦世豪以弧线球攻破球门后角
37'国安今天中场梳理的非常顺，所以进攻打起来也从容                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
37'大连换人了，孙铂替下汪晋贤                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
38'定位球开起来，禁区前沿拼抢                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
38'大连解围出来，外围国安拿回来                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
38'右侧给到姜涛，直塞向前                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
38'韦世豪边路插上，回敲身后                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
38'在给到韦世豪，横敲比埃拉，在传，空间太小了                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
38'禁区外围中路拼抢，国安拿回来，在塞入禁区                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
38'禁区右侧索里亚诺插上，调整一步，怒射打偏                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
39'刚才大连的换人没有完成，，这会儿刚刚完成                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
39'大连中前场很轻易的把球传丢啊                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
39'比埃拉中路拿球，推进向前被冯特拦截                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
39'一个过顶长传，前场中路找卡拉斯科                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
40'给大了，直接被侯森没收                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
40'分左侧给到于洋，在分李磊                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
40'带球向前，，遭遇逼抢，裁判哨响                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
40'孙铂对李磊的犯规                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
40'池忠国前场拿球，斜传远端                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
40'右侧给到朴成，回敲被对手拦截                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
40'拼抢之后出界，大连球权                   37'在奥古斯托与比埃拉相继尝试远射后，国安又连续打出快速渗透，第37分钟，比埃拉将球塞入禁区右侧，索里亚诺低射打偏
43'直传向前给中路卡拉斯科                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
43'遭遇逼抢，球丢了                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
43'国安的反击，，中路交给比埃拉                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
43'背身回敲，身后是奥古斯托，带球向前                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
43'被防守队员解围                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
43'中圈附近拼抢，国安再次断球，给到韦世豪                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
43'带球推进，禁区右侧低传                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
43'防守队员把球拦截                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
44'禁区外右侧拼抢，有球员受伤倒地                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
44'王亮和姜涛双双受伤倒地                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
44'姜涛率先站起来，拉狄克给了姜涛一张黄牌                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
44'这边王亮迟迟没有起来                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
45'大连后场开出定位球                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
45'过顶长传，到了左侧，被挡出边线                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
45'界外球再给出                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'王亮问题不大，回来发界外球了                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'国安上抢断下，长传反击                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'韦世豪右路前插，，越位了                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'上半场补时1分钟                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'后场于洋拿球，分身前，，在给中间韦世豪                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
46'前场一个灵巧的转身，，启动，，大禁区前沿                   43'第43分钟，姜涛前场争顶时与身后起跳的王亮相撞，两人均倒地不起，裁判向姜涛出示黄牌
