2'中圈热刺开球！上半场比赛开始了！                   1'赛前为阿斯托里默哀1分钟
14'特里皮尔发球给到右路的戴尔！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
14'回传中圈左侧维尔通亨！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
14'维尔通亨分给身前孙兴慜！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
14'球被赫迪拉踢出了边线！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
14'戴维斯发球给到前场左路凯恩！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
14'凯恩直传球给到左侧底线附近孙兴慜！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
15'孙兴慜的球被巴尔扎利踢出底线！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
15'热刺的左侧角球！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
15'戴维斯开出角球到禁区内后点！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
15'被基耶利尼解围出去！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
15'禁区外双方拼抢！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
15'特里皮尔给后场中路的登贝莱！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
15'登贝莱回传禁区门将洛里！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
16'洛里大脚开球到前场左侧！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
16'皮球被贝纳蒂亚抢断！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
17'贝纳蒂亚挑传球给中场左侧！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'球被孙兴慜反抢回去！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'孙兴慜左路带球推进！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'贝纳蒂亚上来将球破坏出底线！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'发球被基耶利尼直接抢断！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'基耶利尼带球往前走！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'皮球又被登贝莱反抢回去！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'登贝莱直塞球找禁区内凯恩！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
17'凯恩单刀面对布冯！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
18'晃出打门路线！低平球直接推射！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
18'这球稍稍偏出了底线！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
19'布冯大脚开球给前场左路迪巴拉！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
19'迪巴拉被上抢的特里皮尔放倒！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
19'特里皮尔的犯规！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
19'桑德罗开出定位球给中圈贝纳蒂亚！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
19'贝纳蒂亚向前挑球！直接给到了门将洛里！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
19'洛里开球给后场右侧桑切斯！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
19'低平球推传给右路的特里皮尔！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'特里皮尔回给桑切斯！再回敲禁区内的洛里！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'洛里大脚开球给前场左侧！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'巴尔扎利头球顶出了边线！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'戴维斯接应发球，边路起球传中！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'被禁区内的桑德罗解围出去！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'后场左侧皮亚尼奇把球得到！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'皮亚尼奇斜长传给到前场右路！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
20'科斯塔得球右路推进！被维尔通亨绊倒！                   17'尤文第17分钟也几乎获得点球，道格拉斯-科斯塔右路转身摆脱维尔通亨之后突入禁区，被维尔通亨铲倒在地，马齐尼亚克还是没判
39'皮球被马图伊迪破坏出来！                   39'热刺第39分钟取得领先
39'桑德罗后场左侧得球！长传给前场中路！                   39'热刺第39分钟取得领先
39'戴尔后场把球控制！                   39'热刺第39分钟取得领先
39'戴尔回给门将洛里！                   39'热刺第39分钟取得领先
41'洛里开球给后场右侧戴维斯！                   39'热刺第39分钟取得领先
41'戴维斯分到前场右路！找到特里皮尔！                   39'热刺第39分钟取得领先
41'特里皮尔右边路弧线球传中！                   39'热刺第39分钟取得领先
41'布冯把球挡出来！                   39'热刺第39分钟取得领先
41'孙兴慜策马插上！！                   39'热刺第39分钟取得领先
41'布冯还没站起身来！                   39'热刺第39分钟取得领先
41'孙兴慜直接一脚挑射攻门！！！                   39'热刺第39分钟取得领先
42'GOOOOOOOOOOOOOOOOAL！！！                   39'热刺第39分钟取得领先
42'热刺主场1-0领先尤文图斯！                   39'热刺第39分钟取得领先
64'巴尔扎利分球向前被戴维斯拦截！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
64'戴维斯过渡给身边的埃里克森！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
64'埃里克森接球就被皮亚尼奇推倒！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
64'埃里克森开球吊向禁区！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
64' 禁区后点！凯恩凌空打门！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
64'皮球被布冯没收！大脚开到前场中路！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
64'迪巴拉拼抢得球！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'给前场左路跟上的桑德罗！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'桑德罗横传给禁区外弧顶！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'巴尔扎利！再分球右边路科斯塔！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'低平球给禁区右侧利希施泰纳！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'利希施泰纳右边路传中进来！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'皮球落到禁区内后点！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'赫迪拉头球摆渡给身边伊瓜因！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
65'伊瓜因插上一脚捅射！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
66'GOOOOOOOOOOOOOOOOOAL！！！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
66'戴维斯左路带球推进！被赫迪拉抢断！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
67'赫迪拉分球中场皮亚尼奇！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
67'皮亚尼奇给左路的阿萨莫阿！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
67'把球传回给后场左侧基耶利尼！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
67'基耶利尼横敲给身边的巴尔扎利！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
67'再给基耶利尼！一脚直塞球找禁区内！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
67'迪巴拉！单刀面对洛里！                   64'第64分钟，迪巴拉右肋传球，利希施泰纳反越位传中，赫迪拉前点甩头顶向后门柱，伊瓜因在门前3米处外脚背凌空垫射入右下角，1比1
48'洛里大脚开球出来！双方争抢！                   48'仅过3分钟，尤文反超比分
48'直传球给底线附近戴维斯                   48'仅过3分钟，尤文反超比分
48'戴维斯的球被贝纳蒂亚解围出去！                   48'仅过3分钟，尤文反超比分
48'热刺后场！登贝莱回来带球！                   48'仅过3分钟，尤文反超比分
48'登贝莱回横敲给右路的桑切斯！                   48'仅过3分钟，尤文反超比分
48'桑切斯挑传球给中场孙兴慜！                   48'仅过3分钟，尤文反超比分
48'孙兴慜带球推进！左边路起球传真！                   48'仅过3分钟，尤文反超比分
48'传中！到禁区内！被贝纳蒂亚顶出了边线！                   48'仅过3分钟，尤文反超比分
48' 热刺前场左侧的边线球！                   48'仅过3分钟，尤文反超比分
49'戴维斯发球给左路接应的埃里克森！                   48'仅过3分钟，尤文反超比分
49'埃里克森回敲给身后孙兴慜！                   48'仅过3分钟，尤文反超比分
49'分给中圈左侧的维尔通亨！                   48'仅过3分钟，尤文反超比分
50'回传后场禁区门将洛里！                   48'仅过3分钟，尤文反超比分
50'洛里大脚开球给中圈！                   48'仅过3分钟，尤文反超比分
50'皮球被赫迪拉抢下来！                   48'仅过3分钟，尤文反超比分
50'挑传找前场马图伊迪！                   48'仅过3分钟，尤文反超比分
50'皮球先被登贝莱断下！                   48'仅过3分钟，尤文反超比分
50'马图伊迪这边放倒了戴维斯！                   48'仅过3分钟，尤文反超比分
51'热刺中场左侧的定位球！                   48'仅过3分钟，尤文反超比分
51'维尔通亨开球长传前场右侧！                   48'仅过3分钟，尤文反超比分
51'马图伊迪把球停出了边线！                   48'仅过3分钟，尤文反超比分
90'拉梅拉分球到禁区外左侧的戴维斯！                   90'热刺第90分钟险些追平
90'戴维斯回敲分球给登贝莱！                   90'热刺第90分钟险些追平
90'登贝莱再给右侧拉梅拉！                   90'热刺第90分钟险些追平
90'拉梅拉分给禁区外中路的埃里克森！                   90'热刺第90分钟险些追平
90'埃里克森一脚直传球给到禁区内！                   90'热刺第90分钟险些追平
90'皮球被阿萨莫阿解围出去！                   90'热刺第90分钟险些追平
90'皮球来到热刺后场！                   90'热刺第90分钟险些追平
90'.桑切斯把球抢下来！                   90'热刺第90分钟险些追平
90'回给门将洛里！                   90'热刺第90分钟险些追平
91'洛里开球给右路特里皮尔！                   90'热刺第90分钟险些追平
91'特里皮尔带球推进到前场！                   90'热刺第90分钟险些追平
91' 横敲给身边的登贝莱！                   90'热刺第90分钟险些追平
91'登贝莱分到中圈左侧给维尔通亨！                   90'热刺第90分钟险些追平
91'维尔通亨低平球斜传被巴尔扎利解围！                   90'热刺第90分钟险些追平
91'维尔通亨前场争抢犯规了！                   90'热刺第90分钟险些追平
92'下半场补时3分钟！所剩无几！                   90'热刺第90分钟险些追平
93'迪巴拉给到前场右侧的利希施泰纳！                   90'热刺第90分钟险些追平
93'利希施泰纳推传给身边科斯塔！                   90'热刺第90分钟险些追平
93'科斯塔给右路下底的利希施泰纳！                   90'热刺第90分钟险些追平
93'利希施泰纳给到禁区内右侧的斯图拉罗！                   90'热刺第90分钟险些追平
93'斯图拉罗左脚低射！                   90'热刺第90分钟险些追平
93'皮球被洛里没收！                   90'热刺第90分钟险些追平
93'洛里大脚开球给中圈左侧！                   90'热刺第90分钟险些追平
