6'莫雷诺中场顶防犯规了                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
15'克里希左路下底，传中被斯科特尔顶出                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
15'外围亚亚图雷停球，搓射远角被米尼奥莱扑住！                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
16'约翰逊右路内切被破坏，杰拉德外围远射打偏                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
16'利物浦有角球机会，球蹭在后卫身上出底线                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
16'库蒂尼奥角球去后点，哈特把球托出另一侧底线，继续角球                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
17'角球再进禁区，落点不佳                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
17'约维蒂奇左路过人不成功，利物浦外围继续组织                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
17'球到禁区前，乔艾伦的射门被孔帕尼舍身封堵                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
18'萨巴莱塔右路横敲亚亚图雷，后场的直传没有过去                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
18'萨巴莱塔右路再下底，被莫雷诺挡出边线                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
29'裁判黄牌警告了亚亚图雷                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
29'杰拉德任意球去后点，斯特林右路再传中被顶出                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
30'斯特林右路拿球被克里希绊到，任意球                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
30'杰拉德任意球去门前，还是被哈特先打出来                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
31'亨德森斜插禁区接应斯特林的传球，转身再给门前被顶出                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
31'哲科前场拼抢被吹了犯规                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
31'莫雷诺左路横向带球，还是先把球给掉                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
32'斯图里奇禁区内接应右路传中， 晃开角度射门被哈特挡出                   29'第29分钟，亚亚-图雷对库迪尼奥犯规被罚黄牌
33'哲科回撤拿球，挑传禁区没有找到队友                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
33'亨德森直塞找斯特林，后者没有插上                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
34'席尔瓦斜传左路，约翰逊把球拦截                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
35'杰拉德中场断球，给到右路队友                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
35'斯特林带球有些多，被克里希破坏出边线                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
36'互动话题：谁会率先打破场上僵局呢？[qiangda]                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
36'斯特林右侧肋部转身突破，没有过掉包夹                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
36'斯特林反抢亚亚图雷犯规了                   33'第33分钟，斯特林斜传，斯图里奇禁区左侧晃过孔帕尼后12码处劲射被乔-哈特挡出近角
50'斯图里奇禁区内接应破门，但是越位在先                   49'第49分钟，格伦-约翰逊右路传中，孔帕尼头球解围落空，斯图里奇推射破门因越位在先被判无效
50'萨巴莱塔右路挑传被洛夫伦破坏出底线，角球                   49'第49分钟，格伦-约翰逊右路传中，孔帕尼头球解围落空，斯图里奇推射破门因越位在先被判无效
51'角球开出，约维蒂奇头球顶高                   49'第49分钟，格伦-约翰逊右路传中，孔帕尼头球解围落空，斯图里奇推射破门因越位在先被判无效
52'哲科右路和莫雷诺争抢二分之一球                   49'第49分钟，格伦-约翰逊右路传中，孔帕尼头球解围落空，斯图里奇推射破门因越位在先被判无效
52'洛夫伦回来夹击，把球断下                   49'第49分钟，格伦-约翰逊右路传中，孔帕尼头球解围落空，斯图里奇推射破门因越位在先被判无效
52'斯特林禁区前突破被费尔南多绊倒，任意球                   49'第49分钟，格伦-约翰逊右路传中，孔帕尼头球解围落空，斯图里奇推射破门因越位在先被判无效
55'亚亚图雷右路拿球横敲                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
55'曼城又进球了！！！                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
55'还是约维蒂奇！！！                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
56'约维蒂奇禁区前脚后跟做球，纳斯里进禁区再横敲，约维蒂奇跟上的推射破门！                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
56'曼城2-0领先利物浦！                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
56'约维蒂奇拿球反击，分左路席尔瓦                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
57'哲科左路底线前倒三角传中回来，两点包抄漏过                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
58'哲科左路接应，斯科特尔先倒地把球铲出边线                   55'曼城第55分钟扩大比分，席尔瓦传球，约维蒂奇脚后跟妙传，纳斯里禁区右侧回传，无人防守的约维蒂奇12码处左脚劲射破门，2-0
65'斯特林禁区前做球，斯图里奇领球进禁区，趟开角度斜射被哈特挡出！                   65'第65分钟，斯特林传球，斯图里奇禁区右侧小角度射门被乔-哈特扑出
65'曼城换人，席尔瓦被纳瓦斯换下                   65'第65分钟，斯特林传球，斯图里奇禁区右侧小角度射门被乔-哈特扑出
66'莫雷诺左路拿球传中，斯图里奇抢点没有顶正部位                   65'第65分钟，斯特林传球，斯图里奇禁区右侧小角度射门被乔-哈特扑出
67'哲科争抢头球时受伤倒地                   65'第65分钟，斯特林传球，斯图里奇禁区右侧小角度射门被乔-哈特扑出
67'大腿被斯科特尔的鞋底带了一下，有道血痕                   65'第65分钟，斯特林传球，斯图里奇禁区右侧小角度射门被乔-哈特扑出
68'曼城换人，哲科被阿圭罗换下                   65'第65分钟，斯特林传球，斯图里奇禁区右侧小角度射门被乔-哈特扑出
69'曼城进球了！！！                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
69'刚刚上场的阿圭罗！！第一次触球就破门！！！                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
69'纳瓦斯右路直传身后，阿圭罗插上单刀推射近角破门！                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
69'曼城3-0领先利物浦！                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
70'斯图里奇禁区前做球，德米凯利斯抢先拦截                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
72'斯特林右路拿球下底，回敲                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
72'约翰逊传中被解围，右路还是斯特林拿球                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
72'杰拉德传中去后点，没有队友在点上                   69'曼城第69分钟锁定胜局，纳瓦斯直传，刚刚换下哲科仅23秒的阿圭罗第一次触球就在禁区右侧12码处单刀低射近角入网，3-0
83'兰伯特！！！                   83'利物浦第83分钟扳回一城，斯图里奇右路摆脱德米凯利斯后传中远点，兰伯特小禁区左侧头球攻门被乔-哈特扑出，但皮球却被萨巴莱塔挡入自家大门，1-3
83'斯图里奇本来带球带丢了，德米凯利斯拿球被他反抢回来，传中去后点，兰伯特头球冲顶被哈特挡出，兰伯特跟上补射破门！                   83'利物浦第83分钟扳回一城，斯图里奇右路摆脱德米凯利斯后传中远点，兰伯特小禁区左侧头球攻门被乔-哈特扑出，但皮球却被萨巴莱塔挡入自家大门，1-3
83'曼城3-1利物浦！                   83'利物浦第83分钟扳回一城，斯图里奇右路摆脱德米凯利斯后传中远点，兰伯特小禁区左侧头球攻门被乔-哈特扑出，但皮球却被萨巴莱塔挡入自家大门，1-3
84'利物浦再来，远端兰伯特拿球没有选择自己射门，横扫门前被孔帕尼解围                   83'利物浦第83分钟扳回一城，斯图里奇右路摆脱德米凯利斯后传中远点，兰伯特小禁区左侧头球攻门被乔-哈特扑出，但皮球却被萨巴莱塔挡入自家大门，1-3
84'约翰逊受伤，示意无法坚持                   83'利物浦第83分钟扳回一城，斯图里奇右路摆脱德米凯利斯后传中远点，兰伯特小禁区左侧头球攻门被乔-哈特扑出，但皮球却被萨巴莱塔挡入自家大门，1-3
85'约翰逊下场了，利物浦换人名额已经用完，少一人作战                   83'利物浦第83分钟扳回一城，斯图里奇右路摆脱德米凯利斯后传中远点，兰伯特小禁区左侧头球攻门被乔-哈特扑出，但皮球却被萨巴莱塔挡入自家大门，1-3
86'斯图里奇左路转移另一侧，被克里希拦截                   83'利物浦第83分钟扳回一城，斯图里奇右路摆脱德米凯利斯后传中远点，兰伯特小禁区左侧头球攻门被乔-哈特扑出，但皮球却被萨巴莱塔挡入自家大门，1-3
95'战术角球开出                   95'第95分钟，费尔南迪尼奥传球，阿圭罗禁区右侧小角度射门偏出近角
95'全场比赛结束！                   95'第95分钟，费尔南迪尼奥传球，阿圭罗禁区右侧小角度射门偏出近角
