4'战术角球发出来，鲁能泰山队右路横传，郑铮抢点劲射，被颜骏凌扑出！！                   4'开场4分钟，客场作战的山东鲁能获得良机
27'麦克格文没能防住伊比尼-伊赛，杜威漏球，给了麦克布雷恩机会，可惜打高                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
27'上海上港队左路传球，杜威大脚破坏出边线                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
28'安塔尔中场断球，横传球郑铮没想到传给他，失误啦，球出边线                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
28'伊比尼-伊赛左路横传后前插，麦克布雷恩再回传打在了伊比尼-伊赛身上                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
29'上海上港队左路横传，球出边线                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
29'界外球发出来，上海上港队断球，伊比尼-伊赛左路突破被麦克格文铲出边线                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
30'王燊超发出界外球，金敬道断掉                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
30'金敬道传球没能过去，上海上港队断球横传右路交给朱峥嵘                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
30'朱峥嵘直传球，李运秋越位                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
30'四名队员都处于越位位置，助理裁判的眼睛是雪亮的                   27'第27分钟，伊比尼边路强力突破麦克格文后弧线球传中，门前前点杜威解围失误，跟进的麦克布林将球踢飞
35'杨程大脚开球过中场，武磊断球反击                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
35'上海上港队挑传禁区，杨程轻松没收                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
36'洛夫中场左路接球，蔡慧康抢球犯规                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
36'任意球发出来，鲁能泰山队走右路进攻，斜传禁区时杨旭被挡在身后                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
36'伊比尼-伊赛左路传球，脚下拌蒜，自己碰出边线                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
37'鲁能泰山队长传前场右路，王燊超头球破坏出边线                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
37'洛夫中路突破到禁区！！伊班背后将洛夫放倒！！这个动作太大                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
38'鲁能泰山队得到大禁区外的任意球机会                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
38'这是个吃黄牌的动作啊！！！洛夫也在向裁判示意掏牌                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
38'不过主裁判没有掏牌的意思                   35'第35分钟，杨旭传球被断球，麦克布林边路弧线球传中，前点球员突然漏过，中路的武磊外脚背弹射稍稍偏出
44'界外球发出来，蒿俊闵得球要打快速反击，蔡慧康的飞铲将其放倒，这次牌吃定了                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
44'主裁判出示了黄牌                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
44'郑铮左路带球进攻，武磊把球挡出边线                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
46'鲁能泰山队右路突破到禁区，对方把球破坏                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
46'角球发到禁区内，对方抢点头球解围                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
46'上半场比赛结束，双方均无建树，战成0-0                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
46'下半场开始                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
46'场地内进入两条飘带，是否会影响比赛呢？                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
47'王刚右路突破成功，横传门前，颜骏凌出击没收                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
47'王刚传球还是慢了，他抬头看了一眼，颜骏凌就准备好了                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
47'中场鲁能泰山队断球，转移到左路进攻                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
47'郑铮回带横传，麦克格文直传球                   44'第44分钟，蒿俊闵带球反击被蔡慧康放倒，后者吃到黄牌
50'上海上港队挑传禁区，麦克布雷恩突破没能接好                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
50'蒿俊闵中路带球突破，被汪佳捷抱住啦！！！黄牌没商量                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
50'王彤右路带球又被放倒                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
51'任意球发出来，王刚横传，洛夫从两人中间强突，被断                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
51'麦克布雷恩中路挑传被断，中场上海上港队断球左路传球出边线                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
51'上海上港队换人：卡贝萨斯上场换下伊比尼-伊赛                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
52'麦克格文大脚长传找洛夫，被对方抢断                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
52'麦克布雷恩中场拿球，传到左路交给卡贝萨斯                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
52'卡贝萨斯再分边，麦克布雷恩突破被王刚把球破坏，主裁判吹了王刚犯规                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
52'这个犯规判罚有些勉强                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
53'李运秋发任意球到禁区后点，杨程判断不错，把球摘下                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
53'杨程大脚开球，蔡慧康破坏出边线                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
53'界外球发出来，鲁能泰山队左路进攻，汪佳捷犯规                   50'下半场易边再战，第50分钟，麦克格文从后场开始连过3人分球，蒿俊闵快速得球反击，汪佳捷拉人犯规吃到黄牌
56'鲁能泰山队换人：罗森文上场换下王刚                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
56'鲁能泰山队进球啦，杜威，1-0                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
57'角球发到禁区内，杜威抢点高高跳起头球顶门，泰山压项啊！皮球应声入网！                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
57'这一粒进球，杜威打破了场上的俩局                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
58'打破了场上的僵局！                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
58'上海上港队大脚长传，王彤把球破坏出边线                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
58'主裁判吹了角球？？王彤示意这应该是个界外球啊                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
58'比赛进行到56分钟，杜威破门得分，客场作战的鲁能泰山队1-0领先                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
59'角球发出来，太靠后了，罗森文接球                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
59'上海上港队在前场抢球出界                   56'第56分钟，山东鲁能打出快速反击，安塔尔抢断成功，蒿俊闵得球送出直塞，洛维禁区内拿球轻巧晃过阿多后小角度劲射，颜俊凌飞身将球挡出
61'阿多右路带球突破，罗森文抢球犯规                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
61'主裁判给罗森文出示了黄牌                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
61'目前主裁判出示了四枚黄牌，双方各一枚                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
61'双方各两张黄牌                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
62'任意球发到禁区内，中路队员头球过渡，伊班越位                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
62'后场上海上港队断球，鲁能泰山队在前场就地逼抢                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
63'上海上港队大脚长传前场右路，郑铮护住球，卡贝萨斯紧逼抢球，郑铮传球打在卡贝萨斯腿旧出边线                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
63'界外球发出来，洛夫控球，对方三人围抢，蔡慧康犯规                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
64'安塔尔大脚长传前场右路，蒿俊闵争抢被吹了犯规                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
64'杨旭在中场抢球又被吹犯规，上海上港队发出任意球走左路进攻，前传球被挡回来                   61'第61分钟，替补登场的罗森文在防守时犯规吃到黄牌，上港任意球传中，卡贝萨斯头球摆渡，但是伊班拿球时越位
70'洛夫前场接球转身右脚远射，打高                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
70'刘彬彬在场外准备，看来鲁能泰山队要换上他                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
70'上海上港队在前场三角配合，麦克布雷恩突破到禁区，被挡在身后                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
70'麦克布雷恩倒在地上，麦克格文是无辜的                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
71'吹给了鲁能泰山队门球                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
71'洛夫前场左路拿球回带，险结被放倒                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
72'王彤直传球，伊班又把给放倒！！伊班的犯规多了点啊                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
72'鲁能泰山队得到前场右翼任意球机会                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
72'蒿俊闵发任意球到禁区内，点真不错！！杨旭抢点顶门，皮球弹地偏出！                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
73'上海上港队传禁区，杨程出击没收                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
73'中场上海上港队断球，右路下底下底回传，再挑传球被顶出来                   70'第70分钟，山东鲁能后场长传，洛维禁区前沿将球控制下来后突然一脚远射，但是球打高了
