2'马夏尔右路拿球，内切遭遇逼抢，回传费莱尼                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
15'马夏尔右路拿球，强突后传中禁区，被解围                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
15'体育迷更是足球迷 2016-09-18 19:14:07 枫浪你是哪队球迷（中国队球迷）                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
15'佩雷拉中场拿球，费莱尼上抢拉人犯规！                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
15'贝赫拉米中场拿球，分球给中间的伊格哈洛                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
16'伊格哈洛过顶斜传到左路找卡普埃，出界啦                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
16'伊格哈洛前场中路拿球，分球右侧给扬迈特                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
21'拉什福德右路拿球，强突后横传到禁区                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
21'太靠近门将，被戈麦斯出击揽入怀中                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
21'曼联中场抢断，鲁尼拿球，分球给右侧的拉什福德                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
22'拉什福德反击强突，进入禁区，横传球打在霍莱巴斯腿上变向                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
22'到了后点，伊布插上左脚推射，打在了边网上                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
24'博格巴中场拿球，分球左侧给卢克-肖                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
24'卢克-肖回传博格巴，博格巴过顶球到禁区                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
24'伊布插上，头球回顶，可惜马夏尔没能跟上啊                   21'曼联第21分钟险些破门，拉什福德右路传中偏转，伊布远点小禁区边缘的射门却打在边网
31'曼联前场再攻，鲁尼拿球，斜传右路给瓦伦西亚                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
31'瓦伦西亚右路起球到禁区，伊布头球弧顶给鲁尼                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
31'鲁尼凌空左脚抽射，踢茨啦，球被后卫解围                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
32'博格巴之前的远射，击中横梁，戈麦斯在门前毫无反应，可惜啦                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
32'曼联前场进攻，赢得右侧角球机会！！                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
32'鲁尼角球开出到前点，斯莫林的头球，顶偏！                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
33'沃特福德前场进攻，赢得中路的任意球机会                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
33'任意球搓传到禁区，迪尼背身拿球，转身时球被斯莫林出脚解围                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
33'1-0！！！                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
34'沃特福德的进球！！                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
34'卡普埃中路抽射打进！                   31'曼联第31分钟再与进球擦肩，费莱尼传球，博格巴30码处远射憾中横梁弹回，戈麦斯毫无反应
34'沃特福德的进球！！                   34'沃特福德第34分钟取得领先，马夏尔后场被布里托斯抢断，扬马特禁区右侧回传，卡普埃14码处劲射打在德赫亚腿上偏转入网
34'卡普埃中路抽射打进！                   34'沃特福德第34分钟取得领先，马夏尔后场被布里托斯抢断，扬马特禁区右侧回传，卡普埃14码处劲射打在德赫亚腿上偏转入网
36'沃特福德任意球斜传禁区，第一点被曼联球员解围，马夏尔左路拿球，布里托斯上抢和马夏尔相撞双双倒地，扬迈特上来拿球，强突下底，倒三角回传中路，卡普埃插上，点球点附近的抽射打进！                   34'沃特福德第34分钟取得领先，马夏尔后场被布里托斯抢断，扬马特禁区右侧回传，卡普埃14码处劲射打在德赫亚腿上偏转入网
36'马夏尔这次被布里托斯撞的有点晕了，队医搀扶离场，马夏尔摸着脑袋，有点晕哦                   34'沃特福德第34分钟取得领先，马夏尔后场被布里托斯抢断，扬马特禁区右侧回传，卡普埃14码处劲射打在德赫亚腿上偏转入网
37'刚刚卡普埃中路插上，身边竟然没有曼联球员防守                   34'沃特福德第34分钟取得领先，马夏尔后场被布里托斯抢断，扬马特禁区右侧回传，卡普埃14码处劲射打在德赫亚腿上偏转入网
37'不过马夏尔和布里托斯相撞倒地，后者有犯规嫌疑，镜头也是给到了主裁判                   34'沃特福德第34分钟取得领先，马夏尔后场被布里托斯抢断，扬马特禁区右侧回传，卡普埃14码处劲射打在德赫亚腿上偏转入网
62'鲁尼的边路传中到禁区，没什么威胁啊！！                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
62'曼联换人：8号马塔上，换下了25号瓦伦西亚！                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
63'曼联吹响反攻的号角啦！！                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
63'曼联进球，1-1！！！                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
63'拉什福德的捅射！！                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
64'曼联中场抢断，斜传左侧给伊布，伊布强突起球到门前，混战中球打在布里托斯肩膀上落地，刚好到了拉什福德的脚下，近距离捅射，破门！                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
65'久攻不下，伊布作为了控球传中者，取得了意外收获啊                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
65'斯莫林中圈拿球，横传左侧给卢克-肖                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
65'失球后，沃特福德全队退回后场防守，铁桶阵啊                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
65'伊布前场左路背身拿球，阿姆拉巴特身后上抢，犯规！                   62'曼联第62分钟扳平比分，伊布同拉什福德踢墙配合后禁区左侧传中，拉什福德冒顶，但皮球打在贝赫拉米胸口偏转，拉什福德小禁区左侧近距离捅射近角入网，1-1
83'沃特福德换人：18号苏尼加上，换下29号卡普埃！                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
83'费莱尼中场争抢犯规啦！！                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
83'2-1！！！                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
84'刚刚登场的苏尼加，第一脚触球，破门啦！！                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
85'阿姆拉巴特右路拿球内切，斜传给插上的佩雷拉，佩雷拉下底倒三角回传中路，苏尼加跟进抽射打进！                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
85'曼联换人：7号德佩上，换下23号卢克-肖                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
86'马塔前场中路拿球，强突被迪尼放翻在地！                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
86'迪尼被主裁判出示了黄牌警告！！                   83'沃特福德第83分钟再度超出，佩雷拉禁区右侧回传，刚刚替补出场的祖尼加12码处第一时间推射远角入网，2-1
95'3-1，大力抽射中路，打进！！                   95'第95分钟，费莱尼禁区内对祖尼加犯规，迪尼点球命中，3-1
95'比赛彻底丧失了悬念！！                   95'第95分钟，费莱尼禁区内对祖尼加犯规，迪尼点球命中，3-1
96'曼联中圈开球，主裁判鸣哨啦！                   95'第95分钟，费莱尼禁区内对祖尼加犯规，迪尼点球命中，3-1
