14'布雷斯特球员坎塔里拼抢犯规,对手获得控球权.                   14'开场14分钟，拉维奇赢得任意球，伊布主罚高出横梁
43'射门!!!巴黎圣日耳曼球员伊布大禁区外右脚射门,被对方守门员横身扑出.                   41'第41分钟，梅内被放倒，伊布任意球险些破门，但泰伯在球门线上封出
43'蒂鲍克斯将球处理出底线,巴黎圣日耳曼获得角球.                   41'第41分钟，梅内被放倒，伊布任意球险些破门，但泰伯在球门线上封出
47'射门!!!巴黎圣日耳曼球员加列特大禁区右侧右脚射门,被对方守门员横身扑出.                   47'下半时开始2分钟，雅莱抽射又迫使泰伯作出精彩扑救
48'巴黎圣日耳曼球员伊布大禁区中央右脚射门,被防守球员封堵.                   47'下半时开始2分钟，雅莱抽射又迫使泰伯作出精彩扑救
49'巴黎圣日耳曼球员帕斯托雷大禁区外右脚射门,被防守球员封堵.给他传球的是莫塔.                   47'下半时开始2分钟，雅莱抽射又迫使泰伯作出精彩扑救
55'进球啦！！！巴黎圣日耳曼球员伊布球门线跟前左脚射门,球从右下角飞进球门,球进了!助攻的是加列特. 布雷斯特 0-1 巴黎圣日耳曼.                   55'巴黎第55分钟打破僵局，蒂亚戈-席尔瓦助攻到前场分球，雅莱右路低传，伊布抢前点距门5米处左脚推射得手，1比0
56'巴黎圣日耳曼球员拉维齐大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.                   55'巴黎第55分钟打破僵局，蒂亚戈-席尔瓦助攻到前场分球，雅莱右路低传，伊布抢前点距门5米处左脚推射得手，1比0
57'拜塞将球处理出底线,巴黎圣日耳曼获得角球.                   55'巴黎第55分钟打破僵局，蒂亚戈-席尔瓦助攻到前场分球，雅莱右路低传，伊布抢前点距门5米处左脚推射得手，1比0
58'巴黎圣日耳曼球员蒂亚戈-席尔瓦大禁区外右脚射门,被防守球员封堵.给他传球的是梅内斯.                   55'巴黎第55分钟打破僵局，蒂亚戈-席尔瓦助攻到前场分球，雅莱右路低传，伊布抢前点距门5米处左脚推射得手，1比0
58'巴黎圣日耳曼球员蒂亚戈-席尔瓦一脚直塞球给拉维齐,但是边裁举旗显示后者已经越位.                   55'巴黎第55分钟打破僵局，蒂亚戈-席尔瓦助攻到前场分球，雅莱右路低传，伊布抢前点距门5米处左脚推射得手，1比0
58'布雷斯特换人,利奇卡换下I-特拉奥雷                   55'巴黎第55分钟打破僵局，蒂亚戈-席尔瓦助攻到前场分球，雅莱右路低传，伊布抢前点距门5米处左脚推射得手，1比0
66'射门!!!巴黎圣日耳曼球员伊布大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是拉维齐.                   65'第65分钟，伊布与帕斯托雷踢墙配合吊射近角，泰伯将球扑出后拿到
66'布雷斯特球员门迪大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是利奇卡.                   65'第65分钟，伊布与帕斯托雷踢墙配合吊射近角，泰伯将球扑出后拿到
67'巴黎圣日耳曼球员西里古被主裁判出示了一张黄牌.                   65'第65分钟，伊布与帕斯托雷踢墙配合吊射近角，泰伯将球扑出后拿到
68'巴黎圣日耳曼球员伊布大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是加列特.                   65'第65分钟，伊布与帕斯托雷踢墙配合吊射近角，泰伯将球扑出后拿到
68'巴黎圣日耳曼球员伊布大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是加列特.                   68'伊布第68分钟几乎再次奉献神作，雅莱右路传中，伊布在门前7米处飞身右脚外脚背蝎勾偏出远门柱
70'巴黎圣日耳曼球员加列特大禁区右侧右脚射门,被防守球员封堵.给他传球的是帕斯托雷.                   68'伊布第68分钟几乎再次奉献神作，雅莱右路传中，伊布在门前7米处飞身右脚外脚背蝎勾偏出远门柱
70'巴黎圣日耳曼球员帕斯托雷大禁区中央尝试左脚射门,可惜皮球偏出球门.                   68'伊布第68分钟几乎再次奉献神作，雅莱右路传中，伊布在门前7米处飞身右脚外脚背蝎勾偏出远门柱
71'巴黎圣日耳曼换人,加梅罗换下梅内斯                   68'伊布第68分钟几乎再次奉献神作，雅莱右路传中，伊布在门前7米处飞身右脚外脚背蝎勾偏出远门柱
76'巴黎圣日耳曼球员莫塔一脚直塞球给加梅罗,但是边裁举旗显示后者已经越位.                   74'第74分钟，帕斯托雷任意球横拨，莫塔左脚射门被泰伯封出，加梅罗补射入网，2比0，这是他本赛季联赛第5球，由于他冬季转会窗可能离队，这也可能是他在巴黎最后1球
89'布雷斯特球员坎塔里大禁区中央头球,被防守球员封堵.给他传球的是格洛基.                   89'第89分钟，主队多哥前锋阿伊特接应角球头槌攻门，蒂亚戈-席尔瓦门线上顶出
89'蒂亚戈-席尔瓦将球处理出底线,布雷斯特获得角球.                   89'第89分钟，主队多哥前锋阿伊特接应角球头槌攻门，蒂亚戈-席尔瓦门线上顶出
90'巴黎圣日耳曼换人,卡马拉换下马克斯维尔                   89'第89分钟，主队多哥前锋阿伊特接应角球头槌攻门，蒂亚戈-席尔瓦门线上顶出
90'+1'布雷斯特球员德尼斯大禁区外左脚射门,被防守球员封堵.给他传球的是格洛基.                   89'第89分钟，主队多哥前锋阿伊特接应角球头槌攻门，蒂亚戈-席尔瓦门线上顶出
90'+2'布雷斯特球员门迪自摆乌龙,布雷斯特 0-3 巴黎圣日耳曼                   89'第89分钟，主队多哥前锋阿伊特接应角球头槌攻门，蒂亚戈-席尔瓦门线上顶出
90'+3'下半场结束,布雷斯特 0-3 巴黎圣日耳曼                   89'第89分钟，主队多哥前锋阿伊特接应角球头槌攻门，蒂亚戈-席尔瓦门线上顶出
