13'都灵球员贝罗莫犯规,致使对方获得点球.                   13'第13分钟，梅尔滕斯禁区内挑球过人被贝洛莫绊倒，点球
30'那不勒斯球员费尔南德斯大禁区中央右脚射门,被防守球员封堵.                   30'第30分钟出现争议，费德里科-费尔南德斯禁区内凌空补射击中格利克肘部，主裁判德马尔科在底线裁判马佐莱尼提醒下吹罚点球，都灵队员围住马佐莱尼抗议，认为格利克与对方距离太近，但点球无法改变，伊瓜因再次主罚骗过帕代利推进右下角，2比0，这是他代表那不勒斯首次梅开二度，也是今年3月(皇马对阵马洛卡)以来首次联赛梅开二度
30'都灵球员格里克手球,致使对方获得点球.                   30'第30分钟出现争议，费德里科-费尔南德斯禁区内凌空补射击中格利克肘部，主裁判德马尔科在底线裁判马佐莱尼提醒下吹罚点球，都灵队员围住马佐莱尼抗议，认为格利克与对方距离太近，但点球无法改变，伊瓜因再次主罚骗过帕代利推进右下角，2比0，这是他代表那不勒斯首次梅开二度，也是今年3月(皇马对阵马洛卡)以来首次联赛梅开二度
32'进球啦！！！那不勒斯球员伊瓜因右脚射门,球从右下角飞进球门,球进了! 那不勒斯 2-0 都灵.                   30'第30分钟出现争议，费德里科-费尔南德斯禁区内凌空补射击中格利克肘部，主裁判德马尔科在底线裁判马佐莱尼提醒下吹罚点球，都灵队员围住马佐莱尼抗议，认为格利克与对方距离太近，但点球无法改变，伊瓜因再次主罚骗过帕代利推进右下角，2比0，这是他代表那不勒斯首次梅开二度，也是今年3月(皇马对阵马洛卡)以来首次联赛梅开二度
49'那不勒斯球员哈姆西克大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅尔滕斯.                   49'第49分钟，梅尔滕斯前场抢断格利克断球直塞，哈姆西克禁区右侧斜射偏出
51'那不勒斯球员哈姆西克一脚直塞球给因西涅,但是边裁举旗显示后者已经越位.                   49'第49分钟，梅尔滕斯前场抢断格利克断球直塞，哈姆西克禁区右侧斜射偏出
80'都灵球员维维斯拼抢犯规,对手获得控球权.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
80'泽马伊利为那不勒斯在对方半场,赢得一个任意球.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
81'那不勒斯换人,Duván Zapata换下哈姆西克                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
82'那不勒斯球员Duván Zapata大禁区外右脚射门,被防守球员封堵.给他传球的是费尔南德斯.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
82'S-马谢洛为都灵赢得一个任意球.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
82'那不勒斯球员Duván Zapata拼抢犯规,对手获得控球权.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
83'梅吉奥里尼为都灵在对方半场,赢得一个任意球.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
83'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
83'都灵球员马希莫维奇大禁区中央尝试头球,可惜皮球高出球门.给他传球的是贝罗莫.                   80'第80分钟，哈姆西克反击直传，卡列洪单刀突入禁区距门13米处推射被帕代利托出左门柱
86'马乔将球处理出底线,都灵获得角球.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
86'潘德夫为那不勒斯在对方半场,赢得一个任意球.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
86'都灵球员巴沙拼抢犯规,对手获得控球权.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
86'裁判将都灵的巴沙直接红牌罚下.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
88'那不勒斯球员泽马伊利大禁区外右脚射门,被防守球员封堵.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
88'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
88'达尔米安为都灵赢得一个任意球.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
89'射门!!!都灵球员梅吉奥里尼大禁区外左脚射门,被对方守门员横身扑出.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
89'那不勒斯球员因勒大禁区外尝试左脚射门,可惜皮球偏出球门.                   86'第86分钟，巴沙背后拉倒潘德夫，被红牌罚下
