8'阿森纳后场倒脚！                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
31'阿森纳前场倒三角传球，莱尔马拍马赶到，飞起一脚推射，球直钻球网！                   30'阿森纳第30分钟打破僵局，科拉希纳茨禁区左侧传中，莱尔马15码处铲球解围不慎自摆乌龙
32'伯恩茅斯这球真是运气不佳！太倒霉了！                   30'阿森纳第30分钟打破僵局，科拉希纳茨禁区左侧传中，莱尔马15码处铲球解围不慎自摆乌龙
32'阿森纳再次前场进攻                   30'阿森纳第30分钟打破僵局，科拉希纳茨禁区左侧传中，莱尔马15码处铲球解围不慎自摆乌龙
33'伯恩茅斯赢得右路角球机会                   30'阿森纳第30分钟打破僵局，科拉希纳茨禁区左侧传中，莱尔马15码处铲球解围不慎自摆乌龙
33'角球开出来，没有形成好机会                   30'阿森纳第30分钟打破僵局，科拉希纳茨禁区左侧传中，莱尔马15码处铲球解围不慎自摆乌龙
67'进球了！！！奥巴梅扬！                   67'阿森纳第67分钟再次超出，伊沃比直传，科拉希纳茨禁区左侧传中，无人防守的奥巴梅扬5码处铲射入网，2-1
68'科拉希纳茨左侧肋部接到了伊沃比的传球，低平球传到禁区，奥巴梅扬轻松推射得分！                   67'阿森纳第67分钟再次超出，伊沃比直传，科拉希纳茨禁区左侧传中，无人防守的奥巴梅扬5码处铲射入网，2-1
69'奥巴梅扬一路反击，斜传给前面的姆希塔良，后者第一下没有控制住，再扣时没有扣起来                   67'阿森纳第67分钟再次超出，伊沃比直传，科拉希纳茨禁区左侧传中，无人防守的奥巴梅扬5码处铲射入网，2-1
70'阿森纳前场断球，左路小禁区内做动作，姆希塔良射门被后卫挡出边线                   67'阿森纳第67分钟再次超出，伊沃比直传，科拉希纳茨禁区左侧传中，无人防守的奥巴梅扬5码处铲射入网，2-1
70'阿森纳这段时间牢牢把球控制在自己脚下                   67'阿森纳第67分钟再次超出，伊沃比直传，科拉希纳茨禁区左侧传中，无人防守的奥巴梅扬5码处铲射入网，2-1
85'伯恩茅斯右路进攻！！莱尔马超远距离一脚抽射，打在了门柱上！                   85'第85分钟，斯坦尼斯拉斯传球，莱尔马25码处射出反弹球击中左侧立柱
85'莱尔马险些再来一个世界波，之前他已经进了乌龙球                   85'第85分钟，斯坦尼斯拉斯传球，莱尔马25码处射出反弹球击中左侧立柱
86'斯坦尼斯拉斯右路插上，接球抽射被后卫挡住，莱诺扑球时也与对手撞在一起                   85'第85分钟，斯坦尼斯拉斯传球，莱尔马25码处射出反弹球击中左侧立柱
87'阿森纳右路进攻，没有机会，再回到中路                   85'第85分钟，斯坦尼斯拉斯传球，莱尔马25码处射出反弹球击中左侧立柱
88'姆希塔良左脚的横扫，直接被对方打出来                   85'第85分钟，斯坦尼斯拉斯传球，莱尔马25码处射出反弹球击中左侧立柱
