1'比赛开始了，阿森纳开球                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
43'这是阿森纳上半场的最好机会了                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
44'上半场接近尾声了                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
44'水晶宫前场的进攻，右路找到庞琼                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
44'突破带球，摔倒在地。裁判吹了防守犯规                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
45'水晶宫前场右侧定位球，卡巴耶处理                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
45'卡巴耶给到禁区内，落点很好啊                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
45'威克姆力压加布里埃尔，中路头球攻门，高了                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
45'上半场补时2分钟                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
46'272中路分球给到维尔贝克，在回敲给后排的同伴                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
46'阿森纳进球了                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
46'维尔贝克送出助攻，374的破门                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
46'下半场开始了，水晶宫开球                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
46'刚才萨科登场前，阿德巴约跟他说了几句悄悄话，阿德巴约作为前阿森纳球员也是充当卧底啦                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
58'374突破到禁区前沿，面对苏瓦雷                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
58'莱德利回追放倒了374，领到黄牌                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
58'这次位置不错，272和374，谁来                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
58'任意球，272直接攻门                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
59'弧线球绕开人墙，直奔上角啊，球是稍稍偏了一些                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
59'水晶宫的进攻，弧顶附近被科奎林上抢断下                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
59'右路贝莱林快速推进反击                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
59'前场塞直线，没有了                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
60'水晶宫长传，前面威克姆争顶                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
60'身后的加布里埃尔争顶撞到威克姆，但裁判并没有给犯规                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
61'威克姆受伤倒地，裁判叫停比赛                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
61'没什么大碍，硬伤                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
61'坠球恢复比赛                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
61'科奎林和威克姆争抢，威克姆下脚更快，争到了坠下的球                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
61'阿森纳后场抢断，反击到前面                   58'阿森纳第58分钟险些扩大比分，厄齐尔任意球直接射门稍稍偏出右侧立柱
81'科奎林直塞给到了374，回敲给身后蒙雷亚尔                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
81'传中进去，吉鲁头球一点，左侧底线还有                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
81'横敲到门前，没给好                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
81'水晶宫进球了                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
82'博拉西耶的外围远射，击穿了切赫的大门                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
82'此时此刻值得来杯嘉士伯                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
82'博拉西耶左侧接应，禁区外自己内切远射，势大力沉，贴地箭直钻死角，切赫倒地碰到了，但还是未能阻止皮球入网                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
83'这仅仅是水晶宫下半场的第二脚打门                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
83'一直处于被动的水晶宫顽强扳平了                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
83'算上补时，留给阿森纳的时间大概还有10分钟                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
83'埃尔内尼中路直塞，没有穿过去                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
84'水晶宫左路边线找博拉西耶                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
84'体力很好啊，还能奔袭                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
84'球被贝莱林挡出边线                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
84'埃尔内尼下场，小老虎沃尔科特上来                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
84'莱德利有点受伤，接受一下治疗                   81'水晶宫第81分钟扳平比分，阿德巴约传球，博拉西耶左路内切后25码处射入左下死角，1-1
87'阿德巴约禁区外拿球没传出去                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
87'阿森纳反抢下来，阿德巴约拼抢犯规                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
87'定位球272搓入禁区内                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
87'加布里埃尔抢到第一点，头球攻门                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
88'亨内西稳稳把球摘下                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
88'萨科前场得球，转身尝试远射，打高                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
88'科奎林中场带球，被对方拼抢撞翻                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
89'裁判没吹，博拉西耶右路快速推进                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
89'还好蒙雷亚尔回防很快，捅了一下，延缓对手                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
89'蒙雷亚尔也是连滚带爬啊，比较狼狈                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
89'博拉西耶底线附近把球救回，传中，科斯切尔尼第一点挡出来                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
90'272后场拿球，给到加布里埃尔                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
90'起长传，找吉鲁，胸部一停，在做球，没有了                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
90'阿德巴约中场左侧拿球，被身后的科斯切尔尼放倒                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
90'下半场补时4分钟                   87'阿森纳第87分钟又错过机会，厄齐尔任意球传入禁区，但加布里埃尔10码处冲顶正入亨尼西下怀
