1'利物浦开出皮球                   1'利物浦第1分钟占据主动，水晶宫回收防守
27'扎哈后场带球，被放翻                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
34'米尔纳后场的长传大脚，开出了界外                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
34'麦克阿瑟后场分球出来                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
34'扎哈左路突破下底倒三角了                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
34'中路的汤森低射破门                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
34'利物浦0-1落后水晶宫                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
36'利物浦长传给到右路                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
36'米尔纳内切到了禁区，捅一脚被挡出                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
37'罗伯逊左路45度传中，范戴克顶偏                   34'水晶宫第34分钟打破僵局，范安霍尔特传球，扎哈强突禁区左侧传中，无人贴防的汤森德10码处抢在法比尼奥封铲之前第一时间扫射入网
46'上半场补时2分钟                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
46'斯佩罗尼大脚给中圈弧附近！                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
46' 球被范迪克顶出来！                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
46'亨德森给底线附近的米尔纳！                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
47'米尔纳横敲中间！球被斯佩罗尼得到！                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
47'米尔纳给禁区里面！这球出了底线！                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
47'半场结束！                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
46'下半场比赛开始了                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
46'水晶宫开出皮球                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
46'后场的长传被法比尼奥拦截                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
46'亨德森外围传中，被汤姆金斯解围                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
47'米尔纳右路低平球传禁区，还是解围                    46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
47'利物浦扳平了啊                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
47'萨拉赫                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
47'外围亨德森横传，范戴克外围中路抽射被防守球员一挡，小禁区前萨拉赫捅进球门                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
48'亨德森前场上抢断球，给到范戴克                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
48'马蒂普走上来，直传被踢出去                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
48'法比尼奥中圈分右侧米尔纳                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
49'萨拉赫右路内切和马内撞墙，失误了                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
49'马内随后也是被撞倒                   46'利物浦下半场开场不到1分钟扳平，范戴克远射被封挡偏转，反越位成功的萨拉赫小禁区前左脚外脚背凌空弹射入网，1-1
53'马内右路压到禁区内，大力抽一脚，挡出去                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
53'米尔纳右路传中球，被顶了出去                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
53'外围分到了左路凯塔                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
53'给到禁区内菲尔米诺，拉开角度的慢悠悠抽射啊，进了                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
53'利物浦反超了                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
54'菲尔米诺禁区内的射门，有一个变向                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
54'打在了库亚特腿上                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
55'汤森右路内切给到禁区，直接被阿利森没收                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
56'范戴克长传到右路                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
56'萨拉赫得球回给亨德森                   53'利物浦第53分钟反超比分，凯塔传球，菲尔米诺禁区左侧15码处射入远角，2-1
66'水晶宫扳平了                   65'水晶宫第65分钟扳平，米利沃耶维奇开出角球至远点，汤姆金斯小禁区边缘头球破门，2-2
66'左侧角球开出来，汤姆金斯后点头球破门                   65'水晶宫第65分钟扳平，米利沃耶维奇开出角球至远点，汤姆金斯小禁区边缘头球破门，2-2
66'利物浦2-2水晶宫                   65'水晶宫第65分钟扳平，米利沃耶维奇开出角球至远点，汤姆金斯小禁区边缘头球破门，2-2
68'米利沃耶维奇左侧角球开出来                   65'水晶宫第65分钟扳平，米利沃耶维奇开出角球至远点，汤姆金斯小禁区边缘头球破门，2-2
68'阿利松直接拿到了                   65'水晶宫第65分钟扳平，米利沃耶维奇开出角球至远点，汤姆金斯小禁区边缘头球破门，2-2
75'范戴克中场得球，给到中圈内                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
75'法比尼奥分到了左路                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
75'法比尼奥长传给到禁区右侧，米尔纳插上垫一脚，斯佩罗尼扑球脱手                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
76'跟进的萨拉赫门线上踹进球门                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
76'利物浦再度领先                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
76'这个到底是算乌龙还是萨拉赫进球呢                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
77'应该是萨拉赫踹进的                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
78'水晶宫换人，施卢普替下库亚特                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
78'阿利松后场出击控制                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
78'法比尼奥后场找到马蒂普                   75'利物浦第75分钟再次超出，米尔纳禁区右侧传中，斯佩罗尼单手扑挡失误令皮球偏转向球门，萨拉赫门线上捅射入网，3-2
89'米尔纳反抢犯规，吃到了第二张黄牌                   89'第89分钟，米尔纳累计两张黄牌被罚下
89'亨德森的传球力量小了啊                   89'第89分钟，米尔纳累计两张黄牌被罚下
90'水晶宫任意球开到禁区前                   89'第89分钟，米尔纳累计两张黄牌被罚下
90'球先被顶出去                   89'第89分钟，米尔纳累计两张黄牌被罚下
90'利物浦反击推进，马内衔枚疾走                   89'第89分钟，米尔纳累计两张黄牌被罚下
90'禁区前突破一步，抽射打偏                   89'第89分钟，米尔纳累计两张黄牌被罚下
91'下半场补时5分钟                   89'第89分钟，米尔纳累计两张黄牌被罚下
91'拉拉纳后场带球被放倒                   89'第89分钟，米尔纳累计两张黄牌被罚下
92'亨德森外围挑传球，出了底线                   89'第89分钟，米尔纳累计两张黄牌被罚下
92'萨科后场长传球，先被解围掉                   89'第89分钟，米尔纳累计两张黄牌被罚下
93'阿利松后场得球，消耗一下时间                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
93'手抛球给到左路                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
93'罗伯逊分身前，马内内切到禁区内，斜射破门                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
93'这下利物浦应该稳了                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
94'利物浦换人，萨拉赫下，卡马乔上                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
95'迈尔禁区内的大力抽射，这球进了                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
95'来自维克汉姆的助攻                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
96'菲尔米诺左路内切，被破坏了                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
96'马内前场反抢犯规                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
96'水晶宫后场大脚，汤森右路反击                   93'利物浦第93分钟锁定胜局，罗伯逊边线附近铲回皮球，马内切入小禁区左上角外小角度射入远角，4-2
95'迈尔禁区内的大力抽射，这球进了                   95'水晶宫第95分钟拉近差距，维克汉姆回停，迈尔禁区边缘内劲射入网，3-4
95'来自维克汉姆的助攻                   95'水晶宫第95分钟拉近差距，维克汉姆回停，迈尔禁区边缘内劲射入网，3-4
96'菲尔米诺左路内切，被破坏了                   95'水晶宫第95分钟拉近差距，维克汉姆回停，迈尔禁区边缘内劲射入网，3-4
96'马内前场反抢犯规                   95'水晶宫第95分钟拉近差距，维克汉姆回停，迈尔禁区边缘内劲射入网，3-4
96'水晶宫后场大脚，汤森右路反击                   95'水晶宫第95分钟拉近差距，维克汉姆回停，迈尔禁区边缘内劲射入网，3-4
97'长传到禁区内，扎哈得球给外围                   95'水晶宫第95分钟拉近差距，维克汉姆回停，迈尔禁区边缘内劲射入网，3-4
97'范安霍尔特射门打飞                   95'水晶宫第95分钟拉近差距，维克汉姆回停，迈尔禁区边缘内劲射入网，3-4
