6'罗马受伤倒地,比赛暂停                   5'开场5分钟，球场部分照明出现故障，主裁判罗基暂停比赛，并与双方队长商议
52'托蒂为罗马在对方半场,赢得一个任意球.                   50'第50分钟，埃尔纳内斯左侧距门19米处左脚抽射击中布尔迪索变线，戈伊科切亚迅速反应托出近门柱
52'拉齐奥球员比亚瓦拼抢犯规,对手获得控球权.                   50'第50分钟，埃尔纳内斯左侧距门19米处左脚抽射击中布尔迪索变线，戈伊科切亚迅速反应托出近门柱
63'射门!!!拉齐奥球员坎德雷瓦大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是毛里.                   63'第63分钟，坎德雷瓦禁区内低射被戈伊科切亚没收
66'冈萨雷斯将球处理出底线,罗马获得角球.                   63'第63分钟，坎德雷瓦禁区内低射被戈伊科切亚没收
66'罗马球员奥斯瓦尔多大禁区中央尝试头球,可惜皮球高出球门.给他传球的是托蒂.                   63'第63分钟，坎德雷瓦禁区内低射被戈伊科切亚没收
68'射门!!!拉齐奥球员埃尔纳内斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是坎德雷瓦.                   68'第68分钟，埃尔纳内斯左路内切距门20米处抽射被戈伊科切亚倒地封出
68'戈伊孔切亚将球处理出底线,拉齐奥获得角球.                   68'第68分钟，埃尔纳内斯左路内切距门20米处抽射被戈伊科切亚倒地封出
71'罗马换人,皮亚尼奇换下托蒂                   68'第68分钟，埃尔纳内斯左路内切距门20米处抽射被戈伊科切亚倒地封出
71'罗马球员马基尼奥大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是皮亚尼奇.                   68'第68分钟，埃尔纳内斯左路内切距门20米处抽射被戈伊科切亚倒地封出
71'罗马换人,皮亚尼奇换下托蒂                   71'第71分钟，马基尼奥在门前22米处左脚弧线球高出
71'罗马球员马基尼奥大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是皮亚尼奇.                   71'第71分钟，马基尼奥在门前22米处左脚弧线球高出
73'迪亚斯将球处理出底线,罗马获得角球.                   71'第71分钟，马基尼奥在门前22米处左脚弧线球高出
74'拉齐奥球员埃尔纳内斯拼抢犯规,对手获得控球权.                   71'第71分钟，马基尼奥在门前22米处左脚弧线球高出
74'皮里斯为罗马在右路,赢得一个任意球.                   71'第71分钟，马基尼奥在门前22米处左脚弧线球高出
81'射门!!!罗马球员马基尼奥大禁区外左脚射门,被对方守门员横身扑出.给他传球的是马基尼奥斯.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
83'拉齐奥球员克洛泽拼抢犯规,对手获得控球权.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
83'布尔迪索为罗马在对方半场,赢得一个任意球.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
83'拉齐奥换人,卡纳上,坎德雷瓦因伤下场.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
83'莱德斯马为拉齐奥赢得一个任意球.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
83'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
84'布罗基为拉齐奥赢得一个任意球.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
84'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
84'拉齐奥球员莱德斯马一脚直塞球给冈萨雷斯,但是边裁举旗显示后者已经越位.                   81'第81分钟，马基尼奥禁区前沿左脚抽射太正，被马尔凯蒂得到
85'拉齐奥球员毛里手球犯规,对手获得球权.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
85'拉齐奥球员毛里因为故意手球,被裁判出示了第二张黄牌.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
86'进球啦！！！罗马球员皮亚尼奇右脚射门,球从中路偏上飞进球门,球进了! 拉齐奥 3-2 罗马.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
87'克洛泽为拉齐奥在对方半场,赢得一个任意球.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
87'罗马球员布尔迪索拼抢犯规,对手获得控球权.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
87'拉齐奥球员孔科大禁区外右脚射门,被防守球员封堵.给他传球的是莱德斯马.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
88'拉齐奥球员迪亚斯拼抢犯规,对手获得控球权.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
88'皮里斯为罗马赢得一个任意球.                   85'第85分钟，毛里手球吃到第2张黄牌被罚下
50'射门!!!拉齐奥球员埃尔纳内斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是冈萨雷斯.                   49'罗马补时第4分钟几乎扳平，布拉德利右路斜传，奥斯瓦尔多后点距门8米处凌空垫射偏出近门柱
50'戈伊孔切亚将球处理出底线,拉齐奥获得角球.                   49'罗马补时第4分钟几乎扳平，布拉德利右路斜传，奥斯瓦尔多后点距门8米处凌空垫射偏出近门柱
50'戈伊孔切亚将球处理出底线,拉齐奥获得角球.                   49'罗马补时第4分钟几乎扳平，布拉德利右路斜传，奥斯瓦尔多后点距门8米处凌空垫射偏出近门柱
51'射门!!!拉齐奥球员埃尔纳内斯大禁区外左脚射门,被对方守门员横身扑出.                   49'罗马补时第4分钟几乎扳平，布拉德利右路斜传，奥斯瓦尔多后点距门8米处凌空垫射偏出近门柱
52'拉齐奥球员毛里一脚直塞球给克洛泽,但是边裁举旗显示后者已经越位.                   49'罗马补时第4分钟几乎扳平，布拉德利右路斜传，奥斯瓦尔多后点距门8米处凌空垫射偏出近门柱
52'托蒂为罗马在对方半场,赢得一个任意球.                   49'罗马补时第4分钟几乎扳平，布拉德利右路斜传，奥斯瓦尔多后点距门8米处凌空垫射偏出近门柱
52'拉齐奥球员比亚瓦拼抢犯规,对手获得控球权.                   49'罗马补时第4分钟几乎扳平，布拉德利右路斜传，奥斯瓦尔多后点距门8米处凌空垫射偏出近门柱
