2'西汉姆联球员瓦斯特大禁区外尝试右脚射门,可惜皮球高出球门.                   2'第2分钟，路易斯后场对卡罗尔犯规，瓦兹特30码处任意球射门直接送上看台
30'切尔西拉米雷斯受伤倒地,比赛暂停                   28'第28分钟，迪亚梅禁区前对兰帕德犯规，路易斯25码处任意球低射右下角被雅斯克莱宁扑出
31'暂停结束,球员们重新开始比赛.                   28'第28分钟，迪亚梅禁区前对兰帕德犯规，路易斯25码处任意球低射右下角被雅斯克莱宁扑出
37'切尔西球员摩西大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿兹皮里库塔.                   37'第37分钟，阿斯皮利奎塔右路传中，摩西14码处抽射偏出
38'切尔西球员马塔大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿扎尔.                   37'第37分钟，阿斯皮利奎塔右路传中，摩西14码处抽射偏出
39'西汉姆联球员德梅尔拼抢犯规,对手获得控球权.                   37'第37分钟，阿斯皮利奎塔右路传中，摩西14码处抽射偏出
39'阿扎尔为切尔西在左路,赢得一个任意球.                   37'第37分钟，阿斯皮利奎塔右路传中，摩西14码处抽射偏出
40'切尔西球员大卫-路易斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   37'第37分钟，阿斯皮利奎塔右路传中，摩西14码处抽射偏出
40'切尔西球员大卫-路易斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   40'第40分钟，路易斯禁区边缘的左脚凌空抽射偏出右侧立柱
41'西汉姆联球员迪亚姆大禁区中央右脚射门,被防守球员封堵.                   40'第40分钟，路易斯禁区边缘的左脚凌空抽射偏出右侧立柱
42'射门!!!切尔西球员登巴-巴大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是摩西.                   40'第40分钟，路易斯禁区边缘的左脚凌空抽射偏出右侧立柱
42'切尔西球员兰帕德大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   40'第40分钟，路易斯禁区边缘的左脚凌空抽射偏出右侧立柱
44'射门!!!切尔西球员登巴-巴大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是摩西.                   44'第44分钟，摩西直传，登巴-巴右路禁区边缘的低射又被雅斯克莱宁没收
45'瓦斯特将球处理出底线,切尔西获得角球.                   44'第44分钟，摩西直传，登巴-巴右路禁区边缘的低射又被雅斯克莱宁没收
45'+1'射门!!!西汉姆联球员瓦斯特大禁区外右脚射门,被对方守门员横身扑出.给他传球的是奥尼尔.                   44'第44分钟，摩西直传，登巴-巴右路禁区边缘的低射又被雅斯克莱宁没收
45'+2'切尔西球员兰帕德一脚直塞球给登巴-巴,但是边裁举旗显示后者已经越位.                   44'第44分钟，摩西直传，登巴-巴右路禁区边缘的低射又被雅斯克莱宁没收
45'+3'上半场结束,切尔西 1-0 西汉姆联,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，摩西直传，登巴-巴右路禁区边缘的低射又被雅斯克莱宁没收
45'西汉姆联换人,马修-泰勒上,迪亚姆因伤下场.                   44'第44分钟，摩西直传，登巴-巴右路禁区边缘的低射又被雅斯克莱宁没收
50'进球啦！！！切尔西球员阿扎尔大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是马塔. 切尔西 2-0 西汉姆联.                   50'切尔西第50分钟扩大比分，阿扎尔右路同马塔踢墙配合后切入禁区，最后在15码处左脚劲射右下角入网，2-0
52'切尔西球员兰帕德大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是阿兹皮里库塔.                   50'切尔西第50分钟扩大比分，阿扎尔右路同马塔踢墙配合后切入禁区，最后在15码处左脚劲射右下角入网，2-0
53'射门!!!西汉姆联球员科里森大禁区外右脚射门,被对方守门员横身扑出.给他传球的是瓦斯特.                   50'切尔西第50分钟扩大比分，阿扎尔右路同马塔踢墙配合后切入禁区，最后在15码处左脚劲射右下角入网，2-0
53'射门!!!切尔西球员马塔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是摩西.                   50'切尔西第50分钟扩大比分，阿扎尔右路同马塔踢墙配合后切入禁区，最后在15码处左脚劲射右下角入网，2-0
52'切尔西球员兰帕德大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是阿兹皮里库塔.                   52'第52分钟，阿斯皮利奎塔传球，兰帕德禁区内射门偏出
53'射门!!!西汉姆联球员科里森大禁区外右脚射门,被对方守门员横身扑出.给他传球的是瓦斯特.                   52'第52分钟，阿斯皮利奎塔传球，兰帕德禁区内射门偏出
53'射门!!!切尔西球员马塔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是摩西.                   52'第52分钟，阿斯皮利奎塔传球，兰帕德禁区内射门偏出
53'射门!!!西汉姆联球员科里森大禁区外右脚射门,被对方守门员横身扑出.给他传球的是瓦斯特.                   53'切尔西第53分钟又险些破门，登巴-巴传球，马塔拿球突入禁区左侧10码处的射门被雅斯克莱宁神勇扑出
53'射门!!!切尔西球员马塔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是摩西.                   53'切尔西第53分钟又险些破门，登巴-巴传球，马塔拿球突入禁区左侧10码处的射门被雅斯克莱宁神勇扑出
56'射门!!!西汉姆联球员安迪-卡罗尔大禁区外左脚射门,被对方守门员横身扑出.给他传球的是奥尼尔.                   53'切尔西第53分钟又险些破门，登巴-巴传球，马塔拿球突入禁区左侧10码处的射门被雅斯克莱宁神勇扑出
50'进球啦！！！切尔西球员阿扎尔大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是马塔. 切尔西 2-0 西汉姆联.                   47'2分钟后，贾维斯左路传中，但卡罗尔远点头球攻门高出
71'西汉姆联球员雷德拼抢犯规,对手获得控球权.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
71'马塔为切尔西在对方半场,赢得一个任意球.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
71'黄牌！西汉姆联球员雷德因为恶意犯规,被主裁判出示黄牌.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
72'射门!!!切尔西球员兰帕德大禁区外右脚射门,被对方守门员横身扑出.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
72'安迪-卡罗尔为西汉姆联在对方半场,赢得一个任意球.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
72'切尔西球员卡希尔拼抢犯规,对手获得控球权.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
73'西汉姆联球员德梅尔拼抢犯规,对手获得控球权.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
73'阿扎尔为切尔西在对方半场,赢得一个任意球.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
73'黄牌！西汉姆联球员德梅尔因为恶意犯规,被主裁判出示黄牌.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
73'切尔西球员大卫-路易斯大禁区外尝试右脚射门,可惜皮球高出球门.                   71'第71分钟，里德对马塔犯规被罚黄牌，兰帕德30码处任意球直接射门被雅斯克莱宁摘下
76'切尔西球员阿扎尔大禁区中央左脚射门,被防守球员封堵.给他传球的是马塔.                   76'第76分钟，马塔传球，阿扎尔小禁区前的射门被奥布莱恩挡出
77'贾维斯为西汉姆联赢得一个任意球.                   76'第76分钟，马塔传球，阿扎尔小禁区前的射门被奥布莱恩挡出
77'切尔西球员阿兹皮里库塔拼抢犯规,对手获得控球权.                   76'第76分钟，马塔传球，阿扎尔小禁区前的射门被奥布莱恩挡出
78'切尔西换人,特里上,大卫-路易斯因伤下场.                   76'第76分钟，马塔传球，阿扎尔小禁区前的射门被奥布莱恩挡出
79'切尔西球员登巴-巴大禁区右侧右脚射门,被防守球员封堵.给他传球的是阿扎尔.                   76'第76分钟，马塔传球，阿扎尔小禁区前的射门被奥布莱恩挡出
79'切尔西球员登巴-巴大禁区右侧右脚射门,被防守球员封堵.给他传球的是阿扎尔.                   79'第79分钟，阿扎尔直传，登巴-巴禁区右侧10码处射门偏出近角
80'卡希尔将球处理出底线,西汉姆联获得角球.                   79'第79分钟，阿扎尔直传，登巴-巴禁区右侧10码处射门偏出近角
80'西汉姆联换人,查尔顿-科尔换下瓦斯特                   79'第79分钟，阿扎尔直传，登巴-巴禁区右侧10码处射门偏出近角
81'德梅尔将球处理出底线,切尔西获得角球.                   79'第79分钟，阿扎尔直传，登巴-巴禁区右侧10码处射门偏出近角
81'射门!!!切尔西球员卡希尔大禁区中央头球,被对方守门员横身扑出.给他传球的是马塔.                   79'第79分钟，阿扎尔直传，登巴-巴禁区右侧10码处射门偏出近角
82'切尔西球员马塔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥斯卡.                   79'第79分钟，阿扎尔直传，登巴-巴禁区右侧10码处射门偏出近角
82'切尔西球员马塔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥斯卡.                   82'第82分钟，奥斯卡传球，马塔禁区内射门偏出
84'射门!!!西汉姆联球员查尔顿-科尔大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是贾维斯.                   82'第82分钟，奥斯卡传球，马塔禁区内射门偏出
85'西汉姆联球员查尔顿-科尔手球犯规,对手获得球权.                   82'第82分钟，奥斯卡传球，马塔禁区内射门偏出
86'切尔西换人,米克尔换下马塔                   86'切尔西第86分钟仍有机会改写比分，奥斯卡右路传中，兰帕德12码处扫射高出
86'切尔西球员兰帕德大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是奥斯卡.                   86'切尔西第86分钟仍有机会改写比分，奥斯卡右路传中，兰帕德12码处扫射高出
88'西汉姆联球员科里森大禁区外右脚射门,被防守球员封堵.                   86'切尔西第86分钟仍有机会改写比分，奥斯卡右路传中，兰帕德12码处扫射高出
88'西汉姆联球员汤姆金斯拼抢犯规,对手获得控球权.                   86'切尔西第86分钟仍有机会改写比分，奥斯卡右路传中，兰帕德12码处扫射高出
88'登巴-巴为切尔西赢得一个任意球.                   86'切尔西第86分钟仍有机会改写比分，奥斯卡右路传中，兰帕德12码处扫射高出
89'切尔西球员兰帕德大禁区外右脚射门,被防守球员封堵.给他传球的是阿兹皮里库塔.                   86'切尔西第86分钟仍有机会改写比分，奥斯卡右路传中，兰帕德12码处扫射高出
89'射门!!!切尔西球员阿扎尔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是兰帕德.                   86'切尔西第86分钟仍有机会改写比分，奥斯卡右路传中，兰帕德12码处扫射高出
90'阿兹皮里库塔将球处理出底线,西汉姆联获得角球.                   90'西汉姆第90分钟也错过进球机会，贾维斯开出角球，卡罗尔小禁区边缘头球攻门稍稍高出横梁
90'西汉姆联球员安迪-卡罗尔大禁区中央尝试头球,可惜皮球高出球门.给他传球的是贾维斯.                   90'西汉姆第90分钟也错过进球机会，贾维斯开出角球，卡罗尔小禁区边缘头球攻门稍稍高出横梁
90'+4'下半场结束,切尔西 2-0 西汉姆联                   90'西汉姆第90分钟也错过进球机会，贾维斯开出角球，卡罗尔小禁区边缘头球攻门稍稍高出横梁
