2'郑铮右路横传                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
19'虽然传球时他向回走，但马上转身参与进攻                   19'第19分钟，郑智禁区中路连续突破，斜塞左路空挡埃尔克森得球形成单刀
20'吕征右路下底横传禁区，黄博文控到球打反击！                   19'第19分钟，郑智禁区中路连续突破，斜塞左路空挡埃尔克森得球形成单刀
20'黄博文前场直传！埃尔克森插上抢点横传！助理裁判示意越位！                   19'第19分钟，郑智禁区中路连续突破，斜塞左路空挡埃尔克森得球形成单刀
21'郑智在中场被放倒，广州恒大队任意球！                   19'第19分钟，郑智禁区中路连续突破，斜塞左路空挡埃尔克森得球形成单刀
21'黄博文右路突破横传门将，埃尔克森抢点垫射险些破门啊！                   19'第19分钟，郑智禁区中路连续突破，斜塞左路空挡埃尔克森得球形成单刀
22'鲁能泰山队得球长传找吕征，又传大了，直接出边线                   19'第19分钟，郑智禁区中路连续突破，斜塞左路空挡埃尔克森得球形成单刀
22'孔卡挑传禁区！穆里奇已经杀到！说时迟那时快，麦克格文回防到位！                   19'第19分钟，郑智禁区中路连续突破，斜塞左路空挡埃尔克森得球形成单刀
20'吕征右路下底横传禁区，黄博文控到球打反击！                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
20'黄博文前场直传！埃尔克森插上抢点横传！助理裁判示意越位！                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
21'郑智在中场被放倒，广州恒大队任意球！                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
21'黄博文右路突破横传门将，埃尔克森抢点垫射险些破门啊！                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
22'鲁能泰山队得球长传找吕征，又传大了，直接出边线                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
22'孔卡挑传禁区！穆里奇已经杀到！说时迟那时快，麦克格文回防到位！                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
23'麦克格文真是一道铁闸！                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
23'穆里奇左路突破！对方两人关门把球抢断下来                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
23'王彤中后场得球就是大脚长传！吕征越位                   20'第20分钟，广州恒大右路策动进攻，冯俊彦高速插上第一时间低平球到球门前点，埃尔克森跟进推射可惜在麦克格文紧逼下没有能够射正偏出立柱
27'鲁能泰山队中路进攻，对方犯规！！                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
27'快速发出任意球，韩鹏跑动把球留下，到了对方脚下                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
27'广州恒大队长传球，穆里奇再次越位                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
28'广州恒大队直传！埃尔克森带球到禁区啦！！！耿晓锋出击扑球，扑倒了埃尔克森！点球                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
28'耿晓锋确实没有扑到球！                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
29'孔卡罚点球！！！被耿晓锋扑出来！！！！！                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
29'孔卡也是紧张啊！！                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
29'耿晓锋扑倒后用脚把球挡出来的啊！                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
30'耿晓锋立大功了                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
30'穆里奇左路带球突破到禁区，安塔尔把球破坏出边线                   27'第27分钟，广州恒大中场孔卡直塞禁区中路空挡，埃尔克森高速插上摆脱摆脱守门员防守，耿晓锋不得不将球扑倒
31'孔卡直塞球！孙祥已经越位啦，还是完成了射门                   31'第31分钟，孔卡中场右路空挡球，一记巧妙斜塞禁区中路空挡，穆里奇高速插上可惜没有能够控制下球
31'孙祥受到口头警告！                   31'第31分钟，孔卡中场右路空挡球，一记巧妙斜塞禁区中路空挡，穆里奇高速插上可惜没有能够控制下球
32'孙祥后场控球！韩鹏上前逼抢                   31'第31分钟，孔卡中场右路空挡球，一记巧妙斜塞禁区中路空挡，穆里奇高速插上可惜没有能够控制下球
33'穆里奇突破中看到耿晓锋出击，捅射！还是被耿晓锋没收！                   31'第31分钟，孔卡中场右路空挡球，一记巧妙斜塞禁区中路空挡，穆里奇高速插上可惜没有能够控制下球
33'吕征右路斜传禁区，打在了孙祥身上出底线！角球                   31'第31分钟，孔卡中场右路空挡球，一记巧妙斜塞禁区中路空挡，穆里奇高速插上可惜没有能够控制下球
34'吕征发角球到后点，球在空中已经出底线！                   31'第31分钟，孔卡中场右路空挡球，一记巧妙斜塞禁区中路空挡，穆里奇高速插上可惜没有能够控制下球
34'安帅对球队这段时间的表现不是很满意！                   31'第31分钟，孔卡中场右路空挡球，一记巧妙斜塞禁区中路空挡，穆里奇高速插上可惜没有能够控制下球
35'孙祥左路突破横传，被挡出                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
35'孔卡直传球，孙祥左路再横传被吕征捅出底线                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
35'广州恒大队的角球机会                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
36'黄博文发角球到禁区内！被对方头球解围                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
36'黄博文横传，对方挡出来，冯潇霆传球到禁区，埃尔克森抢点底线横传被耿晓锋扑在身下！                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
37'今天耿晓锋表现可卷可点！                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
37'相比之下，鲁能泰山队今天有威胁的打门少了些！                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
37'吕征中路突破被放倒啊！没有吹！                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
38'孔卡长传球，穆里奇插上已经形成了单刀！！麦克格文危险之处显身手，背后从穆里奇脚下把球破坏！！！                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
38'麦克格文麦克格文！！                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
38'如果不是麦克格文回防及时处理，十有八九要进球了！                   35'第35分钟，埃尔克森禁区前沿与金英权二过一配合，左路小角度劲射耿晓锋一个侧扑将球控制在身下
39'冯俊彦右路突破横传，郑铮挡出来碰到冯俊彦出边线！                   39'第39分钟，广州恒大中场控制球，郑智将球转移到右路空挡，孔卡得球稍作调整起左脚劲射，耿晓锋倒地将球控制在身下
40'孔卡在前场得球，外围大力远射！耿晓锋一个侧扑把球扑住！                   39'第39分钟，广州恒大中场控制球，郑智将球转移到右路空挡，孔卡得球稍作调整起左脚劲射，耿晓锋倒地将球控制在身下
41'穆里奇左路突破斜传禁区！安塔尔把球顶出                   39'第39分钟，广州恒大中场控制球，郑智将球转移到右路空挡，孔卡得球稍作调整起左脚劲射，耿晓锋倒地将球控制在身下
42'穆里奇直传球，孔卡下底横传！！埃尔克森没碰到球啊！！刘金东解打门一样的解围出横梁！！有点悬！                   39'第39分钟，广州恒大中场控制球，郑智将球转移到右路空挡，孔卡得球稍作调整起左脚劲射，耿晓锋倒地将球控制在身下
42'角球发门前，耿晓锋把球打出来！                   39'第39分钟，广州恒大中场控制球，郑智将球转移到右路空挡，孔卡得球稍作调整起左脚劲射，耿晓锋倒地将球控制在身下
42'崔鹏受伤倒在禁区！腰部受伤了！                   39'第39分钟，广州恒大中场控制球，郑智将球转移到右路空挡，孔卡得球稍作调整起左脚劲射，耿晓锋倒地将球控制在身下
45'穆里奇横向突破传球，孔卡打门太正了！正中耿晓锋下怀！                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'上半场要补时 1 分钟                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'冯俊彦右睡带球突破！对方做出了铲球动作，但没碰到球！                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'球出边线，鲁能泰山队界外球                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'王永珀在前场左路得球，横带后一脚远射高出！                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
47'另一侧吕征已经到位了啊                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
47'上半场比赛结束，双方都没能进球，战成0-0                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'下半场比赛开始                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'广州恒大队后卫失误！金英权底线回传球到了韩鹏脚下！！打门！                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'被挡出                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
47'鲁能泰山队发角球到禁区内后噗，麦克格文头球过渡！对方把球破坏出来                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
47'郑铮外围打门！象是解围，破坏了对方的快速反击                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
48'后场广州恒大队大脚长传！                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
48'球出边线！                   45'第45分钟，山东鲁能前场左路策动进攻，韩鹏头球摆渡中路王永珀高速插上直接起右脚劲射，球高出了横梁
46'上半场要补时 1 分钟                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
46'冯俊彦右睡带球突破！对方做出了铲球动作，但没碰到球！                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
46'球出边线，鲁能泰山队界外球                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
46'王永珀在前场左路得球，横带后一脚远射高出！                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
47'另一侧吕征已经到位了啊                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
47'上半场比赛结束，双方都没能进球，战成0-0                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
46'下半场比赛开始                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
46'广州恒大队后卫失误！金英权底线回传球到了韩鹏脚下！！打门！                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
46'被挡出                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
47'鲁能泰山队发角球到禁区内后噗，麦克格文头球过渡！对方把球破坏出来                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
47'郑铮外围打门！象是解围，破坏了对方的快速反击                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
48'后场广州恒大队大脚长传！                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
48'球出边线！                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
49'王彤发出界外球，广州恒大队把球抢断下来                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
49'穆里奇传球！孔卡大范围转右路，直接传出边线！                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
49'界外球发出来，张琳芃推倒了郑铮                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
49'鲁能泰山队前场左翼任意球                   46'第46分钟，金英权控球失误，韩鹏上抢横敲右路空挡，王永珀跟进直接劲射，球被后卫挡出底线
51'吕征右路突破直传，王永珀横传球没能传起来                   51'第51分钟，广州恒大发动快速反击，黄博文直塞左路空挡，穆里奇高速突破横敲中路，前点埃尔克森没有碰到皮球，后点郜林在郑铮干扰下推射偏出立柱
51'郜林右路突破下底，郑铮护球出底线                   51'第51分钟，广州恒大发动快速反击，黄博文直塞左路空挡，穆里奇高速突破横敲中路，前点埃尔克森没有碰到皮球，后点郜林在郑铮干扰下推射偏出立柱
51'郜林是在下半场被换上场，换下了冯俊彦                   51'第51分钟，广州恒大发动快速反击，黄博文直塞左路空挡，穆里奇高速突破横敲中路，前点埃尔克森没有碰到皮球，后点郜林在郑铮干扰下推射偏出立柱
53'孔卡直传球，穆里奇左路反越位成功，突破到禁区内横传门前，郜林抢点打门，空门啊，居然打偏！                   51'第51分钟，广州恒大发动快速反击，黄博文直塞左路空挡，穆里奇高速突破横敲中路，前点埃尔克森没有碰到皮球，后点郜林在郑铮干扰下推射偏出立柱
53'鲁能泰山队再逃过一劫！                   51'第51分钟，广州恒大发动快速反击，黄博文直塞左路空挡，穆里奇高速突破横敲中路，前点埃尔克森没有碰到皮球，后点郜林在郑铮干扰下推射偏出立柱
54'刘金东后场拿球，在对方逼抢下回传门将，耿晓锋把球直接开出边线                   51'第51分钟，广州恒大发动快速反击，黄博文直塞左路空挡，穆里奇高速突破横敲中路，前点埃尔克森没有碰到皮球，后点郜林在郑铮干扰下推射偏出立柱
57'吕征右路突破下底，无法横传！                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
57'孙祥把球抢到，吕征再反抢犯规                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
58'安塔尔中场得球，分到左路                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
58'杨旭突破，冯潇霆坚决不让！人过球不过                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
58'崔鹏受伤倒在中场                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
58'他在示意是腰受伤                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
59'经过简单治疗，崔鹏站了起来！                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
59'崔鹏是在抢球时与郑智对脚，腰扭了一下                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
59'镜头给了昔日的队友郑智                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
60'“拚命三郎”无法坚持了，直接到了替补席                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
60'后场广州恒大队大脚长传找埃尔克森，麦克格文回防真快啊！铁闸！                   57'第57分钟，崔鹏在中场与郑智拼抢后有受伤情况，队医入场治疗后无法坚持比赛
63'中场安塔尔把球分到右路                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
64'孔卡左路挑传禁区！汪强头球顶出                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
64'刘金东后场控球反击，郑智把球破坏                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
64'张琳芃右路斜传禁区，汪强破坏！                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
65'吕征右路接球快速突破！孙祥战术犯规，黄牌                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
65'这个阻挡容易伤人啊                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
66'吕征右翼突破到禁区内，小角度直接打门啦！！被曾诚扑出                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
66'广州恒大队推进的速度真快                   63'第63分钟，广州恒大前场左路接连短传配合，穆里奇及时将球转移到右路空挡，张琳M高速插上直接传球，可惜脚法把握不好山东后卫大脚解围
