8'萨格勒布中场拿球                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
23'拜仁这边打得还是很轻松的                   22'第22分钟，本科维奇后场头球解围失误，蒂亚戈断球突入禁区左侧低传，莱万在门前9米处轻松推射入网，2比0
24'3-0！！                   22'第22分钟，本科维奇后场头球解围失误，蒂亚戈断球突入禁区左侧低传，莱万在门前9米处轻松推射入网，2比0
25'爱德华多这边又犯错了                   22'第22分钟，本科维奇后场头球解围失误，蒂亚戈断球突入禁区左侧低传，莱万在门前9米处轻松推射入网，2比0
25'格策！！                   22'第22分钟，本科维奇后场头球解围失误，蒂亚戈断球突入禁区左侧低传，莱万在门前9米处轻松推射入网，2比0
50'诺伊尔这边又是在禁区外围把对方后卫给晃了                   48'又过3分钟，科斯塔左侧开出角球，莱万在门前7米处左脚半凌空扫射，球击中横梁下沿弹过门线，再弹回场内，白俄罗斯主裁判库尔巴科夫判定进球有效，4比0
50'连一个界外球都不给对方                   48'又过3分钟，科斯塔左侧开出角球，莱万在门前7米处左脚半凌空扫射，球击中横梁下沿弹过门线，再弹回场内，白俄罗斯主裁判库尔巴科夫判定进球有效，4比0
51'拜仁前场右路拿球                   48'又过3分钟，科斯塔左侧开出角球，莱万在门前7米处左脚半凌空扫射，球击中横梁下沿弹过门线，再弹回场内，白俄罗斯主裁判库尔巴科夫判定进球有效，4比0
51'还是围攻对手                   48'又过3分钟，科斯塔左侧开出角球，莱万在门前7米处左脚半凌空扫射，球击中横梁下沿弹过门线，再弹回场内，白俄罗斯主裁判库尔巴科夫判定进球有效，4比0
51'萨格勒布还是先将球防了下来                   48'又过3分钟，科斯塔左侧开出角球，莱万在门前7米处左脚半凌空扫射，球击中横梁下沿弹过门线，再弹回场内，白俄罗斯主裁判库尔巴科夫判定进球有效，4比0
28'后卫先将球解围出底线                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
28'拜仁的角球机会                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
28'4-0！！                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
28'莱万多夫斯基！！                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
29'科斯塔角球开出送中路，莱万多夫斯基垫射，球击中横梁下沿后反弹到底线，球的整体已经过线，4-0！                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
29'裁判第一下并没有吹进球，而是过了几秒才判定了进球有效                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
31'拜仁右路下底给到中路                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
31'格策这边停球后有些大                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
31'爱德华多预判后先将球压在身下                   28'欧冠上支前28分钟就4比0领先的球队也是拜仁(2012年11月对阵里尔)
55'拜仁禁区弧顶拿球                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
55'5-0！！                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
55'莱万多夫斯基！！                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
56'拜仁禁区弧顶拿球，蒂亚戈送直塞给到莱万多夫斯基，莱万多夫斯基停球转身后直接打门将球打进！                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
56'萨格勒布这球造越位失误                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
57'莱万多夫斯基这边也是上演了帽子戏法                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
57'阿拉巴禁区前沿停球转身                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
57'这球力量不错，但角度差了点                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
57'拜仁这边换人                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
58'格拉斯-科斯塔下，穆勒上！                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
58'拜仁这边是要将进攻进行到底啊                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
58'安托利奇禁区外围打远射将球打高                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
58'萨格勒布的办法并不多                   55'莱万第55分钟完成帽子戏法，蒂亚戈传球，科斯塔右侧脚后跟一磕，蒂亚戈外脚背直塞，莱万在门前12米处推射入网，5比0
