1'上半场比赛开始！！                   1'双方第1分钟寸土必争，对抗激烈
59'任意球给到后点                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
59'这球给的有些高                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
59'苏巴西奇直接将球摘到                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
75'摩纳哥左路起球送禁区                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
76'法尔考抢在门将之前将球先拿到                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
76'法尔考接球晃开门将后推射                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
76'这球居然是打高了。。。                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
76'摩纳哥险些再进一球啊                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
78'多特蒙德中场拿球给到右路                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
78'皮什切克有进攻上来                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
78'没有什么机会将球回敲                   75'摩纳哥第75分钟错过机会，左路斜传，法尔考禁区左侧晃过比尔基射空门高出
84'2-3！！！                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
85'香川真司！！                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
85'多特蒙德右路起球送进去，香川真司停球后摆脱，面对门将打近角破门！！                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
85'摩纳哥这边换人                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
86'留给多特蒙德的时间不多了                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
87'这边又获得角球机会                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
87'角球送禁区                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
87'摩纳哥头球顶出来                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
87'外围多特再打远射被后卫挡出                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
87'苏巴西奇得到一张黄牌！                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
87'苏巴西奇开门球拖延时间啊                   84'多特蒙德第84分钟再次拉近差距，沙欣右路传中，香川真司突破至小禁区前扣过格利克之后推射破门，2-3
