2'卡利亚里开场不久就险些在边路制造威胁                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
31'Goooooooooooal~~~                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
32'空霸的威力啊                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
32'利希施泰纳右路传中~~~伦伦特点球点头球攻门~~~直飞球门右上角！门将阿丹都傻了                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
33'两队回到同一起跑线，尤文的反击还是犀利的                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
33'andy小卡477322:36 柠檬，莫耶斯来考察谁啊？---据说是马尔基西奥                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
33'布冯立功了~~~                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
33'又是卡利亚里的头球~~~                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
34'球在即将越过门线的一霎那布冯伸腿挡了出去                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
34'还是来自皮尼拉的攻门                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
34'尤文今天的防守有些心不在焉啊                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
42'L-逸铭-ym22:44  啊丹？？？皇马那个吗？---还有其他门将叫阿丹的吗？                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
42'利希施泰纳利用速度突破下底~                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
42'传回到中间~~特维斯在无人盯防下凌空抽射！                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
43'这球打疵了啊                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
43'尤文错过了将比分反超的好机会                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
44'又是一个好机会~                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
44'阿萨莫阿传得不错~                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
44'利希施泰纳无人盯防下左脚迎球推射！                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
44'好高的高射炮                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
44'尤文的进攻越来越犀利了                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
44'可惜球员们把握机会的能力还是差了一点                   42'第42分钟，利希施泰纳右路传中，特维斯前点半凌空扫射打呲
55'科苏报复了比达尔                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
55'球被抢断之后起身就是一脚                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
55'在身后绊倒了比达尔                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
55'裁判果断掏出黄牌                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
56'博格巴的转移球给的提前量太大了                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
56'让利希施泰纳接起来很难受，还是个反弹球                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
56'尤文渗透到禁区前沿                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
56'特维斯看了下门将阿丹的位置后起脚远射~太正了                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
57'尤文卷土重来                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
57'比达尔越位了吧~                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
57'不过裁判没吹                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
58'比达尔横敲回来~特维斯的推射还是打得太正                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
58'没带射门靴啊                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
58'博努奇起高球想过后卫头顶~                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
58'过是过去了，但是特维斯也没接住                   55'下半时开始10分钟，科苏被比达尔放倒后报复铲人，被黄牌警告
47'科苏在中场对特维斯犯规                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
48'阿萨莫阿起高球到禁区                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
48'有人倒地了~~~                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
48'裁判吹了略伦特争抢头球的时候犯规                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
48'罗塞蒂尼跳起来还没略伦特的肩膀高                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
48'空霸跳起来太恐怖了                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
49'andy小卡477323:09  柠檬最近咋不播热火了？文慧说想你了！---呵呵，我平时只有周末才播球了哦                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
49'场上不断有人倒地                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
49'下半场的争抢明显更激烈了一些                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
50'莫耶斯又入了镜头                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
50'博格巴分边~阿萨莫阿跟上一脚抽射！                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
50'打在了后防球员的腿上出了底线                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
50'尤文获得了一个角球机会                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
50'皮尔洛传向禁区外~被对方后卫顶了出去                   47'2分钟后，比达尔右路回敲，特维斯在门前20米处左脚推射被阿丹没收
47'科苏在中场对特维斯犯规                   47'2分钟后，皮尼利亚远射偏出左门柱
48'阿萨莫阿起高球到禁区                   47'2分钟后，皮尼利亚远射偏出左门柱
48'有人倒地了~~~                   47'2分钟后，皮尼利亚远射偏出左门柱
48'裁判吹了略伦特争抢头球的时候犯规                   47'2分钟后，皮尼利亚远射偏出左门柱
48'罗塞蒂尼跳起来还没略伦特的肩膀高                   47'2分钟后，皮尼利亚远射偏出左门柱
48'空霸跳起来太恐怖了                   47'2分钟后，皮尼利亚远射偏出左门柱
49'andy小卡477323:09  柠檬最近咋不播热火了？文慧说想你了！---呵呵，我平时只有周末才播球了哦                   47'2分钟后，皮尼利亚远射偏出左门柱
49'场上不断有人倒地                   47'2分钟后，皮尼利亚远射偏出左门柱
49'下半场的争抢明显更激烈了一些                   47'2分钟后，皮尼利亚远射偏出左门柱
50'莫耶斯又入了镜头                   47'2分钟后，皮尼利亚远射偏出左门柱
50'博格巴分边~阿萨莫阿跟上一脚抽射！                   47'2分钟后，皮尼利亚远射偏出左门柱
50'打在了后防球员的腿上出了底线                   47'2分钟后，皮尼利亚远射偏出左门柱
50'尤文获得了一个角球机会                   47'2分钟后，皮尼利亚远射偏出左门柱
50'皮尔洛传向禁区外~被对方后卫顶了出去                   47'2分钟后，皮尼利亚远射偏出左门柱
73'马尔基西奥很给力啊                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
73'卡利亚里再次做出人员调整                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
73'有些球员已经跑不动了                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
74'又来了~~~略伦特                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
74'Gooooooooooooooooal~~~                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
74'尤文在禁区内打出精彩配合                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
75'利希施泰纳跟比达尔的2过1~~利希斯泰纳低平球传中~~~略伦特面对的是个大空门了                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
75'卡利亚里换上了22号卡布雷拉换下的是14号皮萨诺                   73'第73分钟，基耶利尼左路横敲，马尔基奥距门28米处大力抽射被阿丹一扑还是入近角，2比1
80'特维斯今天发挥得一般了                   80'第80分钟，利希施泰纳传球，略伦特中路突至禁区弧顶低射造成阿丹脱手，利希施泰纳左侧补射推进空门，4比1，德塞纳被黄牌警告
80'尤文还换上了20号帕多因                   80'第80分钟，利希施泰纳传球，略伦特中路突至禁区弧顶低射造成阿丹脱手，利希施泰纳左侧补射推进空门，4比1，德塞纳被黄牌警告
80'撤下的是23号比达尔                   80'第80分钟，利希施泰纳传球，略伦特中路突至禁区弧顶低射造成阿丹脱手，利希施泰纳左侧补射推进空门，4比1，德塞纳被黄牌警告
81'卡利亚里恐怕也失去了斗志                   80'第80分钟，利希施泰纳传球，略伦特中路突至禁区弧顶低射造成阿丹脱手，利希施泰纳左侧补射推进空门，4比1，德塞纳被黄牌警告
81'剩下这10多分钟时间尤文还能进球吗                   80'第80分钟，利希施泰纳传球，略伦特中路突至禁区弧顶低射造成阿丹脱手，利希施泰纳左侧补射推进空门，4比1，德塞纳被黄牌警告
83'卡利亚里的球员体能跟不上了                   80'第80分钟，利希施泰纳传球，略伦特中路突至禁区弧顶低射造成阿丹脱手，利希施泰纳左侧补射推进空门，4比1，德塞纳被黄牌警告
83'动作变形之下失误太多                   80'第80分钟，利希施泰纳传球，略伦特中路突至禁区弧顶低射造成阿丹脱手，利希施泰纳左侧补射推进空门，4比1，德塞纳被黄牌警告
88'下半场补时应该不会很长了                   87'第87分钟，基耶利尼对伊瓦尔沃犯规，皮尼利亚向裁判发泄不满，被红牌罚下
88'裁判只给了2分钟                   87'第87分钟，基耶利尼对伊瓦尔沃犯规，皮尼利亚向裁判发泄不满，被红牌罚下
89'卡利亚里就这么在后场传来传去                   87'第87分钟，基耶利尼对伊瓦尔沃犯规，皮尼利亚向裁判发泄不满，被红牌罚下
89'磨时间到比赛结束吧                   87'第87分钟，基耶利尼对伊瓦尔沃犯规，皮尼利亚向裁判发泄不满，被红牌罚下
90'看起来两队都不想打了                   87'第87分钟，基耶利尼对伊瓦尔沃犯规，皮尼利亚向裁判发泄不满，被红牌罚下
