1'上半场比赛开始了！                   1'双方第1分钟均小心谨慎
48'科洛图雷交给萨科，交给斯图里奇                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
48'斯图里奇的活动范围极大                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
48'菲尔米诺交给克莱恩                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
48'回传，亨德森再传，斯图里奇一漏                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
48'理查兹上抢撞倒了库蒂尼奥                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
49'利物浦前场任意球                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
49'距离球门比较远                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
49'这边阿邦拉霍受伤坐在草坪上                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
49'让人掀心啊                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
50'阿邦拉霍在队医搀扶下走到场边接受治疗                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
51'库蒂尼奥分右路，克莱恩传中被古埃耶顶出底线                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
51'利物浦右路的角球机会                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
51'米尔纳传到门前，莱斯科特头球解围                   48'利物浦连入3球锁定胜局，第58分钟，埃姆雷-詹前场抢断巴库纳，菲尔米诺左路横传，无人防守的埃姆雷-詹禁区弧顶射入左下角，3-0
65'裁判黄牌警告维斯特伍德                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
65'利物浦再进一球！！！                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
65'克莱恩                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
66'亨德森直传，奥里基斜传，克莱恩扦打门被门将扑出不远，奥里基跟进与门将对脚后将球碰了出来，克莱恩再冲上来将球打进空门                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
67'此时此刻值得来杯嘉士伯！                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
67'维拉的主场球迷开始退场了                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
67'利物浦换人，35号斯图尔特换下了10号库蒂尼奥                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
68'阿斯顿维拉也换人，38号莱顿换下了7号巴库纳                   65'第65分钟，菲尔米诺直传，克莱因捅射被扑出，奥里吉抢点补射令维拉防线解围落空，克莱因跟进打入空门，5-0
71'克莱恩右路高速插上，西索科倒地将球铲出底线                   71'第71分钟，亨德森开出角球，图雷10码处头球破门，6-0
71'科洛图雷也开胡了！                   71'第71分钟，亨德森开出角球，图雷10码处头球破门，6-0
72'米尔纳角球传中，科洛图雷抢点头球破网！                   71'第71分钟，亨德森开出角球，图雷10码处头球破门，6-0
72'此时此刻值得来杯嘉士伯！                   71'第71分钟，亨德森开出角球，图雷10码处头球破门，6-0
74'利物浦再换人，9号本特克换下了11号菲尔米诺                   71'第71分钟，亨德森开出角球，图雷10码处头球破门，6-0
80'辛克莱尔左路内切，与冲上来的莱斯科特做二过一，辛克莱尔打门击中了横梁                   80'维拉第80分钟险些破门，莱斯科特脚后跟妙传，辛克莱尔禁区边缘外射门打中右上死角门框弹出
80'莱斯科特也冲到前场不顾自己的位置了                   80'维拉第80分钟险些破门，莱斯科特脚后跟妙传，辛克莱尔禁区边缘外射门打中右上死角门框弹出
83'辛克莱尔左路回做                   80'维拉第80分钟险些破门，莱斯科特脚后跟妙传，辛克莱尔禁区边缘外射门打中右上死角门框弹出
83'维斯特伍德拿球，分左路，西索科内切交给辛克莱尔                   80'维拉第80分钟险些破门，莱斯科特脚后跟妙传，辛克莱尔禁区边缘外射门打中右上死角门框弹出
83'维勒图特起球传到后点，吉尔头球攻门，球没有奔向目标                   80'维拉第80分钟险些破门，莱斯科特脚后跟妙传，辛克莱尔禁区边缘外射门打中右上死角门框弹出
