5'周云右路起球送到后点找萨利赫                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
10'舜天前场斜传直接打到恒大身后                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
10'孙可得球后直接将球回敲到中路                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
10'萨利赫跟上的打门被后卫挡了一下                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
10'禁区外围陆博飞的远射没有打上力量                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
11'穆里奇前场拿球转移到右路                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
12'恒大球员准备往里走被埃雷尔森碰了一下                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
12'球还是在恒大球员脚下                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
12'荣昊左路助攻上来                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
12'边裁举旗，越位了                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
13'恒大长传打到前场                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
13'这球送得有点深，穆里奇没有追到                   10'第10分钟，江苏舜天右翼位置孙可拿球后底线直接横敲禁区中路，萨利赫跟进打门被挡出，后面陆博飞来一脚远射，可惜没有打上力量
13'恒大长传打到前场                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
13'这球送得有点深，穆里奇没有追到                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
14'郑智前场接球后，选择了一脚射门                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
14'这球也是没有吃准部位被埃雷尔森碰了一下                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
14'这段时间双方的节奏稍微放慢了些                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
14'郑智禁区弧顶送直塞，没有过去                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
15'陆博飞前场转移给到了耶夫蒂奇的身后                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
15'孙可45度起球往禁区内送，这球被破坏出来                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
15'禁区弧顶，萨利赫转身的抽射打高了                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
16'孔卡拿球分到边路                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
16'恒大右路的配合出现了失误                   13'第13分钟，孔卡前场控制球横传中路空挡，郑智中路直接选择远射，球打在后卫埃雷尔森身上邓小飞出击将球没收
20'郑智右路拿球到禁区                   20'第20分钟，广州恒大左路策动进攻，穆里奇横敲中路空挡，埃尔克森右脚一控左脚直接劲射，球直挂球门死角，场上比分改写为1比0
20'传球被埃雷尔森挡了一下后反弹回郑智身上出了底线                   20'第20分钟，广州恒大左路策动进攻，穆里奇横敲中路空挡，埃尔克森右脚一控左脚直接劲射，球直挂球门死角，场上比分改写为1比0
21'恒大进球了！！                   20'第20分钟，广州恒大左路策动进攻，穆里奇横敲中路空挡，埃尔克森右脚一控左脚直接劲射，球直挂球门死角，场上比分改写为1比0
21'埃尔克森                   20'第20分钟，广州恒大左路策动进攻，穆里奇横敲中路空挡，埃尔克森右脚一控左脚直接劲射，球直挂球门死角，场上比分改写为1比0
22'穆里奇前场左路横敲给到中路，埃尔克森接球后一扣晃开刘建业的防守，直接远射打门，球进！                   20'第20分钟，广州恒大左路策动进攻，穆里奇横敲中路空挡，埃尔克森右脚一控左脚直接劲射，球直挂球门死角，场上比分改写为1比0
23'恒大右路拿球回敲到中场                   20'第20分钟，广州恒大左路策动进攻，穆里奇横敲中路空挡，埃尔克森右脚一控左脚直接劲射，球直挂球门死角，场上比分改写为1比0
26'穆里奇前场拿球横敲                   25'第25分钟，广州恒大前场角球，黄博文主罚到禁区内，埃尔克森抢点头球攻门，舜天后卫防守球员用身体将球挡出然后大脚解围
26'恒大队在领先一球后并不急于进攻                   25'第25分钟，广州恒大前场角球，黄博文主罚到禁区内，埃尔克森抢点头球攻门，舜天后卫防守球员用身体将球挡出然后大脚解围
27'埃尔克森左路低平球横扫门前                   25'第25分钟，广州恒大前场角球，黄博文主罚到禁区内，埃尔克森抢点头球攻门，舜天后卫防守球员用身体将球挡出然后大脚解围
27'没有队友的接应                   25'第25分钟，广州恒大前场角球，黄博文主罚到禁区内，埃尔克森抢点头球攻门，舜天后卫防守球员用身体将球挡出然后大脚解围
27'舜天队的反击，送球失误了                   25'第25分钟，广州恒大前场角球，黄博文主罚到禁区内，埃尔克森抢点头球攻门，舜天后卫防守球员用身体将球挡出然后大脚解围
36'穆里奇左路带球突破在禁区线上被塔吉耶夫推倒                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
37'裁判判了穆里奇假摔！                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
37'给了穆里奇一张黄牌！                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
37'从慢镜头来看，塔吉耶夫手上是有个动作                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
38'恒大队将球给到右边路                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
38'没有传球的机会                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
38'球再次给到了穆里奇脚下                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
39'禁区前沿，埃尔克森的接球被断                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
39'舜天快速反击打到前场                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
39'萨利赫禁区前沿接球后将球横敲                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
39'耶夫蒂奇在无人看防的情况下远射                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
39'居然打高了                   36'第36分钟，广州恒大右路起球到禁区左路，穆里奇高速插上塔季耶夫拼命往后追，穆里奇倒地了主裁判鸣哨了，主裁判判罚穆里奇假摔出示一张黄牌
59'孙可！！                   59'第59分钟，江苏舜天左路策动进攻，耶夫蒂奇左路拿球一扣从荣昊两腿之间过掉，最后的横敲送到门前，孙可铲射破门得分，场上比分改写为1比1
59'耶夫蒂奇左路拿球一扣从荣昊两腿之间过掉，最后的横敲送到门前，孙可铲射破门得分！                   59'第59分钟，江苏舜天左路策动进攻，耶夫蒂奇左路拿球一扣从荣昊两腿之间过掉，最后的横敲送到门前，孙可铲射破门得分，场上比分改写为1比1
60'黄博文右路拿球到底线                   59'第59分钟，江苏舜天左路策动进攻，耶夫蒂奇左路拿球一扣从荣昊两腿之间过掉，最后的横敲送到门前，孙可铲射破门得分，场上比分改写为1比1
61'低平球送到门前，恒大两点包抄的球员都没有抢到                   59'第59分钟，江苏舜天左路策动进攻，耶夫蒂奇左路拿球一扣从荣昊两腿之间过掉，最后的横敲送到门前，孙可铲射破门得分，场上比分改写为1比1
66'耶夫蒂奇中场带球险些形成单刀                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
66'恒大前场拿球                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
66'舜天全线回撤到后场来防守                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
67'穆里奇拿球给到黄博文                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
67'舜天断球了，长传送的有些深                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
68'埃雷尔森禁区前沿防守穆里奇的时候犯规                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
68'埃雷尔森得到一张黄牌！                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
68'看看恒大的任意球机会                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
69'孔卡低平球被人墙挡了一下                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
69'邓小飞侧扑将球得到                   66'第66分钟，耶夫蒂奇中场带球险些形成单刀，禁区外射门没有发生力量，威胁不大
78'恒大界外球送到禁区内，穆里奇挑传送到后点，郜林停球后一个凌空打门将球打进！                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
80'留给舜天的时间已经不是太多                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
80'这段时间，舜天队的情绪影响还是很大的                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
80'舜天获得角球机会                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
80'角球给到前点，球被恒大顶出底线                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
80'恒大换人，埃尔克森下，赵旭日上！                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
81'角球给到后点                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
81'裁判先吹了攻方的犯规                   78'第78分钟，广州恒大前场右路界外球，穆里奇得球右路下底传中到球面后点，江苏舜天漏人了郜林控制下去直接起凌空劲射破门，场上比分改写为1比2
47'这球埃雷尔森滑铲的时候脚没有离地，也不是对人去的                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
47'舜天前场获得任意球机会                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
47'任意球送到门前，曾诚出击出现了失误                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
47'但舜天队也是没有把握住机会                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
47'舜天后场断球后快攻到了前场                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
47'萨利赫右路起球送到禁区内                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
48'陆博飞的头球顶得有些勉强                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
47'埃雷尔森后场防守孔卡犯规了                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
47'恒大任意球送到禁区内                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
48'乱战中，赵鹏进攻犯规                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
49'达纳拉赫前场边路接球被放倒                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
49'陆博飞任意球送到禁区                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
49'球被恒大先破坏出来                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
50'达纳拉赫在场边也是对球鞋进行了更换                   47'下半场补时2分钟后结束，广州恒大队在客场以2比1战胜江苏舜天队
