45'西汉姆右路起球送禁区                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'西汉姆前场拿球转移到边路                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
47'罗霍这边将球断抢下来                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
47'鲁尼任意球送中路                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
47'第一点被西汉姆联顶了出来                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
49'曼联这边继续获得角球机会                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
49'角球送后点                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
49'队友摆渡下来被解围                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
66'曼联将球打到禁区内                   65'西汉姆第20分钟险些扩大比分，兰奇尼直传，卡罗尔禁区边缘的单刀射门被德赫亚神勇挡出
66'马夏尔磕球给到后点                   65'西汉姆第20分钟险些扩大比分，兰奇尼直传，卡罗尔禁区边缘的单刀射门被德赫亚神勇挡出
66'后点包抄的埃雷拉并没有拿到球                   65'西汉姆第20分钟险些扩大比分，兰奇尼直传，卡罗尔禁区边缘的单刀射门被德赫亚神勇挡出
68'西汉姆联前场左路任意球                   65'西汉姆第20分钟险些扩大比分，兰奇尼直传，卡罗尔禁区边缘的单刀射门被德赫亚神勇挡出
68'任意球给前点                   65'西汉姆第20分钟险些扩大比分，兰奇尼直传，卡罗尔禁区边缘的单刀射门被德赫亚神勇挡出
68'曼联这边拿到第一点                   65'西汉姆第20分钟险些扩大比分，兰奇尼直传，卡罗尔禁区边缘的单刀射门被德赫亚神勇挡出
51'1-1！！！                   51'曼联第51分钟扳平比分，马塔突入禁区右侧下底传中，马夏尔小禁区边缘推射破门
51'马夏尔！！！                   51'曼联第51分钟扳平比分，马塔突入禁区右侧下底传中，马夏尔小禁区边缘推射破门
52'曼联后场开球直接打到中场，拉什福德接球后分边给到马塔，马塔底线传回来，马夏尔中路推射破门！！                   51'曼联第51分钟扳平比分，马塔突入禁区右侧下底传中，马夏尔小禁区边缘推射破门
52'此时此刻值得来杯嘉士伯                   51'曼联第51分钟扳平比分，马塔突入禁区右侧下底传中，马夏尔小禁区边缘推射破门
52'下半场开场不久曼联就将比分扳平了                   51'曼联第51分钟扳平比分，马塔突入禁区右侧下底传中，马夏尔小禁区边缘推射破门
56'西汉姆联前场获得任意球                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
56'任意球给到后点                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
56'萨科无人看防的情况下将球顶高                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
57'这球也是比较有难度                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
57'萨科在顶球的时候是一个反弹球                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
58'裁判这边出牌了                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
58'给了马夏尔！！                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
58'拦截的是故意伸腿                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
58'西汉姆联右路起球送禁区                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
58'德赫亚出击将球摘到                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
59'在上半场比赛中，射门比是，西汉姆10次，曼联1次                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
59'而在制造机会数对比，西汉姆9次，曼联1次                   56'西汉姆第56分钟错失良机，帕耶任意球传中，无人防守的萨科小禁区边缘俯身头球攻门偏出
72'1-2！！！！                   72'曼联第72分钟反超比分，埃雷拉后场抢断，鲁尼和拉什福德反击中传球，马夏尔突入禁区左侧下底后小角度射门入网，2-1
72'马夏尔！！！！                   72'曼联第72分钟反超比分，埃雷拉后场抢断，鲁尼和拉什福德反击中传球，马夏尔突入禁区左侧下底后小角度射门入网，2-1
72'此时此刻值得来杯嘉士伯                   72'曼联第72分钟反超比分，埃雷拉后场抢断，鲁尼和拉什福德反击中传球，马夏尔突入禁区左侧下底后小角度射门入网，2-1
73'曼联中场断抢下来，鲁尼策动反击给到拉什福德，拉什福德拿球再分左路，马夏尔跟进上来到了禁区内，小角度的打门将球打进远角！！                   72'曼联第72分钟反超比分，埃雷拉后场抢断，鲁尼和拉什福德反击中传球，马夏尔突入禁区左侧下底后小角度射门入网，2-1
74'伦道夫这次判断上出现了一定失误                   72'曼联第72分钟反超比分，埃雷拉后场抢断，鲁尼和拉什福德反击中传球，马夏尔突入禁区左侧下底后小角度射门入网，2-1
75'埃雷拉后场拦截犯规                   72'曼联第72分钟反超比分，埃雷拉后场抢断，鲁尼和拉什福德反击中传球，马夏尔突入禁区左侧下底后小角度射门入网，2-1
75'埃雷拉得到一张黄牌！                   72'曼联第72分钟反超比分，埃雷拉后场抢断，鲁尼和拉什福德反击中传球，马夏尔突入禁区左侧下底后小角度射门入网，2-1
76'2-2！！！！                   76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
77'安东尼奥！！！                   76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
77'西汉姆联任意球被人墙挡出，二次进攻再传禁区后点，安东尼奥前插头球攻门顶进近角！！                   76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
77'此时此刻值得来杯嘉士伯                     76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
78'西汉姆联这边也是迅速将比分扳平                   76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
79'曼联中场控球，稍微稳一下                   76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
79'鲁尼中场这边出现失误                   76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
79'埃雷拉想领球也是没领过去                   76'西汉姆第76分钟随即扳平，帕耶任意球射门被人墙挡出后斜传禁区内，无人盯防的安东尼奥10码处头球破门，2-2
