7'球丢了，被周海滨抢断！！                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
34'费尔南多跟进起脚打门，打在防守球员身上出底线！                   34'第34分钟，费尔南多射门被后卫挡出底线
34'力帆获得角球机会，开出被解围                   34'第34分钟，费尔南多射门被后卫挡出底线
34'力帆前场再攻！！                   34'第34分钟，费尔南多射门被后卫挡出底线
34'力帆进球了，1-0！！！                   34'第34分钟，费尔南多射门被后卫挡出底线
35'卡尔德克的破门！！                   34'第34分钟，费尔南多射门被后卫挡出底线
35'吴庆左路拿球，直塞彭欣力，彭欣力转身左脚斜传到禁区，卡尔德克甩头轰门顶进！！                   34'第34分钟，费尔南多射门被后卫挡出底线
37'张驰右路拿球，强突分球金敬道                   34'第34分钟，费尔南多射门被后卫挡出底线
37'金敬道的右路45度斜传球到禁区                   34'第34分钟，费尔南多射门被后卫挡出底线
37'第一点被力帆球员解围出禁区！！！！                   34'第34分钟，费尔南多射门被后卫挡出底线
43'吴庆左路拿球，内切强突张驰                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
43'一个变向，闪开防守，斜传禁区                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
44'第一点被鲁能球员解围出禁区                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
44'周海滨左路拿球，面对逼抢                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
44'回传给到后防线的吉尔                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
45'吉尔再给吴兴涵，吴兴涵强突后的传中到禁区                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
45'第一点被力帆球员解围出来                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
45'周海滨禁区弧顶抢到第二落点，凌空打门，踢飞！                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
45'上半场比赛补时2分钟！！                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
46'下半场比赛开始！！                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
46'白衣白裤的鲁能开球，从画面的左侧向右进攻！！！                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
46'郑铮左路拿球，南松上抢犯规！！                   43'第43分钟，费尔南多吸引防守后分球，郑又荣弧线球传中，吴庆插上头球攻门被判越位
47'郑铮后场左路拿球，横传蒿俊闵                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
48'蒿俊闵再给金敬道，金敬道的过顶球找佩莱                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
48'球被刘欢抢先解围出来                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
46'下半场比赛开始！！                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
46'白衣白裤的鲁能开球，从画面的左侧向右进攻！！！                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
46'郑铮左路拿球，南松上抢犯规！！                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
47'卡尔德克前场左路背身拿球                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
47'金敬道上抢，将球碰出边线！！！                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
48'吴庆左路拿球，过顶球找卡尔德克                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
48'球被吉尔头球解围出来！！                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
48'费尔南多中路拿球，强突后直塞打身后                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
48'南松前插接应，慢了点，球先出底线！！                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
49'费尔南多中场拿球，加速反击！！                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
49'周海滨回防，侧后方放铲，铲翻了费尔南多                   46'下半场易边再战，第1分钟，周海滨送出挑传，佩莱跟进凌空抽射将球打飞
54'蒿俊闵外围拿球，直塞给吴兴涵                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
54'吴兴涵背身拿球，转身起脚打门，被挡出                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
55'费尔纳多的反击，金敬道回防撞翻了费尔南多，犯规！                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
55'金敬道被主裁判出示了黄牌警告！！                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
55'卡尔德克右路拿球，底线内切                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
56'回传禁区外给跟进的费尔南多                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
56'费尔南多停球横拨，起脚打门，球被破坏                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
56'鲁能的反击，过顶球找右路前插的刘彬彬                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
56'吴庆回防卡位，刘彬彬争抢中推人犯规在先！                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
57'金敬道中场拿球，斜传前场左路                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
57'陈雷的头球解围，将球顶出边线！！                   54'第54分钟，费尔南多带球反击，金敬道战术犯规也被黄牌警告
68'吴兴涵左路拿球，直塞给到郑铮                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
68'郑铮横传佩莱，佩莱背身拿球                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
68'佩莱的转身横切，起脚打门，被挡出                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
68'力帆换人：8号丁捷上，换下10号彭欣力！！                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
70'南松外场拿球，直塞给到费尔南多                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
70'费尔南多强突到禁区，内切，被回防的王彤放铲破坏                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
70'吴兴涵左路拿球，强突传中                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
70'球滑门而过，到了后点，佩莱拿到                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
71'佩莱的调整一下，挑传到后点，被隋东陆头球解围出底线                   68'第68分钟，山东鲁能突破到前场送出挑传，西塞不停球直接凌空抽射偏出
71'佩莱的调整一下，挑传到后点，被隋东陆头球解围出底线                   71'第71分钟，蒿俊闵角球传中，吉尔头球攻门被邓小飞在门线上挡出
72'西塞左路拿球，斜塞给到蒿俊闵                   71'第71分钟，蒿俊闵角球传中，吉尔头球攻门被邓小飞在门线上挡出
72'蒿俊闵的左侧横传球到门前                   71'第71分钟，蒿俊闵角球传中，吉尔头球攻门被邓小飞在门线上挡出
72'刘欢的解围球，差点乌龙，球出底线！！                   71'第71分钟，蒿俊闵角球传中，吉尔头球攻门被邓小飞在门线上挡出
73'鲁能获得左侧角球机会，可惜没能形成威胁！！                   71'第71分钟，蒿俊闵角球传中，吉尔头球攻门被邓小飞在门线上挡出
74'丁捷前场拿球，摆脱防守，横传南松                   71'第71分钟，蒿俊闵角球传中，吉尔头球攻门被邓小飞在门线上挡出
74'南松再给费尔南多                   71'第71分钟，蒿俊闵角球传中，吉尔头球攻门被邓小飞在门线上挡出
74'丁捷前场拿球，摆脱防守，横传南松                   74'第74分钟，金敬道弧线球传中，佩莱甩头攻门，球被邓小飞稳稳获得
74'南松再给费尔南多                   74'第74分钟，金敬道弧线球传中，佩莱甩头攻门，球被邓小飞稳稳获得
75'费尔南多强突，被身后防守的王彤撞翻在地                   74'第74分钟，金敬道弧线球传中，佩莱甩头攻门，球被邓小飞稳稳获得
75'力帆获得前场中路的任意球机会！！                   74'第74分钟，金敬道弧线球传中，佩莱甩头攻门，球被邓小飞稳稳获得
75'全场比赛75分钟，比分1-0，力帆领先！！！                   74'第74分钟，金敬道弧线球传中，佩莱甩头攻门，球被邓小飞稳稳获得
75'郑又荣任意球直接轰门，被王大雷直接拿到                   74'第74分钟，金敬道弧线球传中，佩莱甩头攻门，球被邓小飞稳稳获得
77'西塞前场拿球，闪开防守，直接起脚远射，打飞！！                   74'第74分钟，金敬道弧线球传中，佩莱甩头攻门，球被邓小飞稳稳获得
84'王彤被主裁判出示了黄牌警告！！                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
85'郑又荣的任意球直接轰门，被王大雷打出                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
85'鲁能的反击，南松拉人犯规                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
85'南松被主裁判出示了黄牌警告！                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
86'鲁能换人：8号郭田雨上，换下13号张驰                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
86'郑又荣中场拿球，过顶斜传到禁区右侧                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
87'王大雷出击，抢在南松之前将球拿到                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
87'卡尔德克受伤倒地！！                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
87'鲁能球员认为其拖延时间，两人过来想拉对方起来                   84'第84分钟，费尔南多带球突破，又造成王彤铲人犯规，后者被黄牌警告
90'下半场比赛补时5分钟！！                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
91'吉尔后场抢断，分球金敬道                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
91'金敬道再回传给到王大雷                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
92'费尔南多右路拿球，强突吴兴涵                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
92'内切，吴兴涵被挡在了身后                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
92'吴兴涵想拉，没拉住                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
92'费尔南多进入禁区，吴兴涵再抢，双双倒地                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
93'裁判没理会，王彤过来将球解围！！                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
93'吴庆这边有些受伤，被担架抬出场外！！                   90'第90分钟，刘彬彬弧线球传中，郭田雨头球攻门偏出
95'突然起脚打门，球被王大雷拿到                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
95'西塞的头球，被邓小飞的神扑化解！！                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
96'刘彬彬右路传中，西塞的头球顶向了球门左下角，邓小飞侧扑将球封堵！                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
96'吴庆这边再次抽筋，离场治疗！                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
97'金敬道后场拿球，带至前场                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
97'过顶球到禁区弧顶找吴兴涵                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
97'吴兴涵的头球摆渡，被解围                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
97'鲁能的左路传中到禁区！！                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
98'佩莱抢点攻门被挡出                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
98'鲁能球员认为手球，找裁判抗议，没用啊                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
98'主裁判鸣哨收兵                   95'第95分钟，刘彬彬边路弧线球传中，西塞高高跃起头球攻门直奔球门，邓小飞迅速移动飞身将球托出
