4'切尔西边路传球到禁区内                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
55'阿森纳这边左路获得角球机会                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
55'这是他们本场比赛的第一个角球                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
56'角球送给前点，直接被切尔西破坏了                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
56'詹金森中场防守许尔勒犯规了                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
57'许尔勒争抢头球的时候犯规了                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
57'任意球直接挑传禁区                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
58'这球没有过顶                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
58'奥斯卡左路突破被詹金森卡住身位                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
39'马蒂奇左路底线拿球，传球也是没机会                   39'第39分钟，许尔勒前场断球后25码处远射被斯泽斯尼没收
39'禁区弧顶，许尔勒的打门被后卫挡了一下有个变线                   39'第39分钟，许尔勒前场断球后25码处远射被斯泽斯尼没收
39'斯泽斯尼侧扑还是将球得到                   39'第39分钟，许尔勒前场断球后25码处远射被斯泽斯尼没收
40'RicardoY龚：埃托奥怎么下了？伤了？【受伤下了】                   39'第39分钟，许尔勒前场断球后25码处远射被斯泽斯尼没收
42'4-0！！！                   39'第39分钟，许尔勒前场断球后25码处远射被斯泽斯尼没收
42'温格没辙了                   39'第39分钟，许尔勒前场断球后25码处远射被斯泽斯尼没收
42'奥斯卡！！                   39'第39分钟，许尔勒前场断球后25码处远射被斯泽斯尼没收
46'上半场补时3分钟！                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
46'维尔马伦禁区内解围，球是打在托雷斯脚上出了底线                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
46'但裁判给了一个角球                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
46'许尔勒角球送中路，萨尼亚头球点了一下                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
47'金属狂人dongjin：阿森纳真是把斯坦福桥当成第二个安菲尔德了！教授千场伟业被毁了？切尔西还会进吗【4个了还不够吗？】                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
48'狂扁棒子：主播，你好！神马情况？半场4:0？我没看错吧？【你没看错，这是真的！】                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
48'托雷斯左路下底到后点                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
48'阿森纳头球顶了出来                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
46'下半场比赛开始！                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
46'下半场比赛由阿森纳开球                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
46'阿森纳中场长传，威胁不大                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
47'张伯伦被弗拉米尼换下                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
47'科斯切尔尼被詹金森换下                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
47'阿森纳已经做出了三个换人调整                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
48'托雷斯右路拿球到了禁区内                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
48'小禁区前沿的射门被默特萨克挡了一下                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
48'路易斯跟上再补射被门将挡出底线                   45'第45分钟，卡索拉传球，吉鲁禁区左侧的射门打在边网
47'金属狂人dongjin：阿森纳真是把斯坦福桥当成第二个安菲尔德了！教授千场伟业被毁了？切尔西还会进吗【4个了还不够吗？】                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
48'狂扁棒子：主播，你好！神马情况？半场4:0？我没看错吧？【你没看错，这是真的！】                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
48'托雷斯左路下底到后点                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
48'阿森纳头球顶了出来                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
47'张伯伦被弗拉米尼换下                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
47'科斯切尔尼被詹金森换下                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
47'阿森纳已经做出了三个换人调整                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
48'托雷斯右路拿球到了禁区内                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
48'小禁区前沿的射门被默特萨克挡了一下                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
48'路易斯跟上再补射被门将挡出底线                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
49'切尔西战术角球开出，路易斯禁区前沿传后点                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
49'这球力量给大了，出了底线                   47'第47分钟，托雷斯强突禁区右侧被默特萨克及时封堵，路易斯小禁区右上角的射门被斯泽斯尼扑出
60'萨尼亚左路传球被挡                   60'第60分钟，罗西基传球，卡索拉禁区左侧传射偏出远角
61'再传直接给到了伊万诺维奇的后背上                   60'第60分钟，罗西基传球，卡索拉禁区左侧传射偏出远角
61'禁区内，卡索拉低射远角，打偏                   60'第60分钟，罗西基传球，卡索拉禁区左侧传射偏出远角
61'托雷斯前场拿球又被吹了越位                   60'第60分钟，罗西基传球，卡索拉禁区左侧传射偏出远角
63'用户0hiwkyex22：真的假的，刚来看到这数据不敢相信啊【要相信你的眼】                   60'第60分钟，罗西基传球，卡索拉禁区左侧传射偏出远角
66'吉鲁尝试吊门，切赫还是将球拿到                   66'第66分钟，奥斯卡前场抢断后20码处射反弹球入网，5-0
66'5-0！！                   66'第66分钟，奥斯卡前场抢断后20码处射反弹球入网，5-0
66'又是奥斯卡！！                   66'第66分钟，奥斯卡前场抢断后20码处射反弹球入网，5-0
68'切尔西左路拿球横敲给到奥斯卡，奥斯卡调整后远射，球弹地后入网！！                   66'第66分钟，奥斯卡前场抢断后20码处射反弹球入网，5-0
68'切尔西换人，奥斯卡下，萨拉赫上！                   66'第66分钟，奥斯卡前场抢断后20码处射反弹球入网，5-0
68'路易斯远射造成了斯泽斯尼的扑球脱手                   66'第66分钟，奥斯卡前场抢断后20码处射反弹球入网，5-0
69'好在斯泽斯尼第二反应很快，没有给托雷斯机会                   66'第66分钟，奥斯卡前场抢断后20码处射反弹球入网，5-0
71'6-0！！！                   71'第71分钟，马蒂奇直传，反越位成功的萨拉赫禁区左肋12码处单刀推射破门，6-0
71'萨拉赫！！                   71'第71分钟，马蒂奇直传，反越位成功的萨拉赫禁区左肋12码处单刀推射破门，6-0
72'切尔西中场长传打阿森纳身后，萨拉赫接球并不越位，禁区内面对门将很冷静的推射将球打进！                   71'第71分钟，马蒂奇直传，反越位成功的萨拉赫禁区左肋12码处单刀推射破门，6-0
72'用户ifxzqjxo16：送给温格的千场大礼【这礼不太好吧。。。】                   71'第71分钟，马蒂奇直传，反越位成功的萨拉赫禁区左肋12码处单刀推射破门，6-0
72'切尔西换人，路易斯下，米克尔上！                   71'第71分钟，马蒂奇直传，反越位成功的萨拉赫禁区左肋12码处单刀推射破门，6-0
79'任意球送禁区后点，没有打门的机会                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
80'萨尼亚中场拿球回敲                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
80'阿森纳投入的兵力并不多                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
80'阿森纳长传找吉鲁                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
80'吉鲁也是没有拿到球                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
81'偷懒小分队：主播是蓝军球迷吧【还真不是】                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
81'切尔西前场转移到了右路                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
81'伊万诺维奇低平球送门前                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
81'斯泽斯尼侧扑将球得到                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
82'大大大空毅：再进一个就可以召唤神龙了【这。。。】                   79'第79分钟，马蒂奇传球，托雷斯禁区左侧的射门被封堵
89'阿尔特塔任意球送禁区内                   89'第89分钟，维尔马伦任意球混战中射门偏出
89'第一点被顶了出来                   89'第89分钟，维尔马伦任意球混战中射门偏出
89'阿森纳右边路再起                   89'第89分钟，维尔马伦任意球混战中射门偏出
89'队友的打门并没有打向球门                   89'第89分钟，维尔马伦任意球混战中射门偏出
91'罗西基跑到中劲射被切赫挡了出来                   89'第89分钟，维尔马伦任意球混战中射门偏出
91'下半场补时2分钟！                   89'第89分钟，维尔马伦任意球混战中射门偏出
92'阿森纳中场长传找左路的队友                   89'第89分钟，维尔马伦任意球混战中射门偏出
92'边裁举旗了，越位                   89'第89分钟，维尔马伦任意球混战中射门偏出
