36'0-1！！！                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
51'接应的点又比较少                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
51'韩光徽左路传球被挡出底线                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
51'延边富德这边要准备换人                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
52'先看看角球的机会                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
52'角球送后点                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
52'队友回球被挡                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
52'池忠国禁区外围打远射高出横梁！！                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
52'延边富德换人                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
53'田依浓下，孙君上！                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
53'权健这边有球员受伤                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
53'莫德斯特坐在地上                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
53'应该是有些拉伤                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
53'权健这边也要进行调整                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
52'先看看角球的机会                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
52'角球送后点                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
52'队友回球被挡                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
52'池忠国禁区外围打远射高出横梁！！                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
52'延边富德换人                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
53'田依浓下，孙君上！                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
53'权健这边有球员受伤                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
53'莫德斯特坐在地上                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
53'应该是有些拉伤                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
53'权健这边也要进行调整                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
54'莫德斯特下，孙可上！                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
55'权健中场拿球                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
55'李星灿拿球没有出脚的机会                   52'第7分钟，天津权健打出默契配合，帕托送出妙传，莫德斯特禁区内接球射门，球被池文一鱼跃扑住
59'延边富德前场拿球给到禁区弧顶                   57'第12分钟，天津权健长传进攻，张诚底线附近倒三角回传，莫德斯特迎球推射击中边网
59'权健这边大脚将球解围                   57'第12分钟，天津权健长传进攻，张诚底线附近倒三角回传，莫德斯特迎球推射击中边网
59'延边富德换人                   57'第12分钟，天津权健长传进攻，张诚底线附近倒三角回传，莫德斯特迎球推射击中边网
60'李龙下，金波上！                   57'第12分钟，天津权健长传进攻，张诚底线附近倒三角回传，莫德斯特迎球推射击中边网
60'帕托拿球被李浩杰拉倒                   57'第12分钟，天津权健长传进攻，张诚底线附近倒三角回传，莫德斯特迎球推射击中边网
60'权健这边任意球给到禁区                   57'第12分钟，天津权健长传进攻，张诚底线附近倒三角回传，莫德斯特迎球推射击中边网
73'0-2！！！                   73'第28分钟，莫德斯特禁区内觅得机会单刀推射远角，池文一飞身将球扑出，边裁同时示意莫德斯特越位
74'还是帕托！！                   73'第28分钟，莫德斯特禁区内觅得机会单刀推射远角，池文一飞身将球扑出，边裁同时示意莫德斯特越位
74'帕托禁区内右路拿球，面对多人的包夹搓射打远端得分！！                   73'第28分钟，莫德斯特禁区内觅得机会单刀推射远角，池文一飞身将球扑出，边裁同时示意莫德斯特越位
76'斯蒂夫前场拿球越位                   73'第28分钟，莫德斯特禁区内觅得机会单刀推射远角，池文一飞身将球扑出，边裁同时示意莫德斯特越位
76'启动的时候稍微快了一点点                   73'第28分钟，莫德斯特禁区内觅得机会单刀推射远角，池文一飞身将球扑出，边裁同时示意莫德斯特越位
76'延边富德后场断球                   73'第28分钟，莫德斯特禁区内觅得机会单刀推射远角，池文一飞身将球扑出，边裁同时示意莫德斯特越位
