1'切尔西后场控球                   1'切尔西第1分钟就全力施压
19'塔蒂奇推射中路打进！！                   19'南安普敦第19分钟扳平，马内踢墙配合后突入禁区左侧在马蒂奇铲堵下摔倒，回放显示马蒂奇先碰到皮球，塔迪奇主罚点球低射中路打在库尔图瓦腿上偏转入网
19'此时此刻值得来杯嘉士伯                   19'南安普敦第19分钟扳平，马内踢墙配合后突入禁区左侧在马蒂奇铲堵下摔倒，回放显示马蒂奇先碰到皮球，塔迪奇主罚点球低射中路打在库尔图瓦腿上偏转入网
19'这样南安普顿就把比方扳成了1-1，上半场19分钟                   19'南安普敦第19分钟扳平，马内踢墙配合后突入禁区左侧在马蒂奇铲堵下摔倒，回放显示马蒂奇先碰到皮球，塔迪奇主罚点球低射中路打在库尔图瓦腿上偏转入网
20'马蒂奇禁区外一脚远射打在防守的伊万手臂上，裁判没有吹罚！                   19'南安普敦第19分钟扳平，马内踢墙配合后突入禁区左侧在马蒂奇铲堵下摔倒，回放显示马蒂奇先碰到皮球，塔迪奇主罚点球低射中路打在库尔图瓦腿上偏转入网
22'切尔西应该好好应对了，南安普顿不差啊                   19'南安普敦第19分钟扳平，马内踢墙配合后突入禁区左侧在马蒂奇铲堵下摔倒，回放显示马蒂奇先碰到皮球，塔迪奇主罚点球低射中路打在库尔图瓦腿上偏转入网
90'切尔西禁区左侧角上阿斯皮利奎塔抽射被门将扑出底线！！                   90'切尔西第90分钟浪费机会，雷米角球混战中10码处射门被福斯特扑出，特里补射被队友伊万诺维奇挡回，蓝军队长小禁区前再射却偏出
91'角球传到后点，伊万头球摆渡，雷米抽射被门将挡出！！特里再射又被后卫挡住！！再射偏出！                   90'切尔西第90分钟浪费机会，雷米角球混战中10码处射门被福斯特扑出，特里补射被队友伊万诺维奇挡回，蓝军队长小禁区前再射却偏出
91'运气真差啊！                   90'切尔西第90分钟浪费机会，雷米角球混战中10码处射门被福斯特扑出，特里补射被队友伊万诺维奇挡回，蓝军队长小禁区前再射却偏出
92'下半场补时有4分钟                   90'切尔西第90分钟浪费机会，雷米角球混战中10码处射门被福斯特扑出，特里补射被队友伊万诺维奇挡回，蓝军队长小禁区前再射却偏出
93'南安普顿前场转移球失误                   90'切尔西第90分钟浪费机会，雷米角球混战中10码处射门被福斯特扑出，特里补射被队友伊万诺维奇挡回，蓝军队长小禁区前再射却偏出
93'距离全场比赛结束还有1分半                   90'切尔西第90分钟浪费机会，雷米角球混战中10码处射门被福斯特扑出，特里补射被队友伊万诺维奇挡回，蓝军队长小禁区前再射却偏出
