6'埃斯蒂加里维亚为桑普多利亚赢得一个任意球.                   5'开场5分钟，德切列左路低传，乔文科前点险些捅到，门将罗梅罗将球没收
31'巴尔扎利为尤文图斯赢得一个任意球.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
31'桑普多利亚球员贝拉尔迪因为恶意犯规,被裁判出示了第二张黄牌.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
35'桑普多利亚球员埃德尔大禁区外右脚射门,被防守球员封堵.给他传球的是帕隆博.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
35'尤文图斯球员马特里手球犯规,对手获得球权.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
37'桑普多利亚球员科斯蒂奇拼抢犯规,对手获得控球权.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
37'马特里为尤文图斯在对方半场,赢得一个任意球.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
38'尤文图斯球员马尔基西奥大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是博切列.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
38'Mauro Icardi为桑普多利亚在对方半场,赢得一个任意球.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
38'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
38'黄牌！尤文图斯球员博努奇因为恶意犯规,被主裁判出示黄牌.                   35'第35分钟，乔文科巧妙胸部卸球，马特里在帕隆博贴身盯防下倒地，这次瓦莱里没给点球
44'桑普多利亚球员埃斯蒂加里维亚大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   44'第44分钟，埃斯蒂加里维亚左脚任意球稍稍偏出右门角
45'+1'帕隆博将球处理出底线,尤文图斯获得角球.                   44'第44分钟，埃斯蒂加里维亚左脚任意球稍稍偏出右门角
45'+2'上半场结束,尤文图斯 1-0 桑普多利亚,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，埃斯蒂加里维亚左脚任意球稍稍偏出右门角
45'桑普多利亚换人,德西尔维斯特里换下埃斯蒂加里维亚                   44'第44分钟，埃斯蒂加里维亚左脚任意球稍稍偏出右门角
46'安德烈-科斯塔将球处理出底线,尤文图斯获得角球.                   44'第44分钟，埃斯蒂加里维亚左脚任意球稍稍偏出右门角
52'桑普多利亚球员Mauro Icardi拼抢犯规,对手获得控球权.                   52'桑普第52分钟意外追平
52'佩鲁索为尤文图斯赢得一个任意球.                   52'桑普第52分钟意外追平
52'进球啦！！！桑普多利亚球员Mauro Icardi大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是科斯蒂奇. 尤文图斯 1-1 桑普多利亚.                   52'桑普第52分钟意外追平
57'射门!!!尤文图斯球员巴尔扎利大禁区外右脚射门,被对方守门员横身扑出.给他传球的是马尔基西奥.                   57'第57分钟，巴尔扎利在门前30米处大力抽射被罗梅罗倒地没收
58'尤文图斯球员马特里大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是佩鲁索.                   57'第57分钟，巴尔扎利在门前30米处大力抽射被罗梅罗倒地没收
62'尤文图斯换人,夸利亚雷拉换下马特里                   62'但桑普第62分钟有机会反超，埃德右路突破两人切入禁区底线挑传，波利后点距门7米处侧身左脚凌空打出弹地球偏出右门柱
62'桑普多利亚球员波利大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是埃德尔.                   62'但桑普第62分钟有机会反超，埃德右路突破两人切入禁区底线挑传，波利后点距门7米处侧身左脚凌空打出弹地球偏出右门柱
65'射门!!!桑普多利亚球员埃德尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是德西尔维斯特里.                   62'但桑普第62分钟有机会反超，埃德右路突破两人切入禁区底线挑传，波利后点距门7米处侧身左脚凌空打出弹地球偏出右门柱
71'射门!!!尤文图斯球员皮尔洛大禁区外右脚射门,被对方守门员横身扑出.给他传球的是佩鲁索.                   69'桑普第69分钟反超比分
71'尤文图斯换人,贾凯里尼换下博格巴                   69'桑普第69分钟反超比分
73'尤文图斯球员武齐尼奇大禁区中央右脚射门,命中门柱横梁.给他传球的是夸利亚雷拉.                   73'第73分钟，夸利亚雷拉禁区内头球摆渡，武齐尼奇在门前10米处停球凌空抽射击中横梁下沿弹回场内
73'罗梅罗为桑普多利亚赢得一个任意球.                   73'第73分钟，夸利亚雷拉禁区内头球摆渡，武齐尼奇在门前10米处停球凌空抽射击中横梁下沿弹回场内
73'尤文图斯球员夸利亚雷拉拼抢犯规,对手获得控球权.                   73'第73分钟，夸利亚雷拉禁区内头球摆渡，武齐尼奇在门前10米处停球凌空抽射击中横梁下沿弹回场内
74'尤文图斯球员佩鲁索一脚直塞球给夸利亚雷拉,但是边裁举旗显示后者已经越位.                   73'第73分钟，夸利亚雷拉禁区内头球摆渡，武齐尼奇在门前10米处停球凌空抽射击中横梁下沿弹回场内
76'桑普多利亚球员科斯蒂奇拼抢犯规,对手获得控球权.                   73'第73分钟，夸利亚雷拉禁区内头球摆渡，武齐尼奇在门前10米处停球凌空抽射击中横梁下沿弹回场内
76'夸利亚雷拉为尤文图斯赢得一个任意球.                   73'第73分钟，夸利亚雷拉禁区内头球摆渡，武齐尼奇在门前10米处停球凌空抽射击中横梁下沿弹回场内
76'黄牌！桑普多利亚球员科斯蒂奇因为恶意犯规,被主裁判出示黄牌.                   73'第73分钟，夸利亚雷拉禁区内头球摆渡，武齐尼奇在门前10米处停球凌空抽射击中横梁下沿弹回场内
77'桑普多利亚换人,穆纳里上,埃德尔因伤下场.                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
77'尤文图斯球员武齐尼奇小禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是夸利亚雷拉.                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
78'奥比昂将球处理出底线,尤文图斯获得角球.                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
78'波利将球处理出底线,尤文图斯获得角球.                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
79'德西尔维斯特里为桑普多利亚赢得一个任意球.                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
79'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
80'尤文图斯球员贾凯里尼手球犯规,对手获得球权.                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
80'桑普多利亚换人,蒂索内换下科斯蒂奇                   77'第77分钟，佩卢索左路外脚背传中，夸利亚雷拉头球横点，武齐尼奇左门柱边左脚铲射偏出
86'射门!!!尤文图斯球员帕多因大禁区外左脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   86'第86分钟，乔文科禁区左侧倒地，但瓦莱里没有中断比赛
87'奥比昂为桑普多利亚在右路,赢得一个任意球.                   86'第86分钟，乔文科禁区左侧倒地，但瓦莱里没有中断比赛
87'尤文图斯球员佩鲁索拼抢犯规,对手获得控球权.                   86'第86分钟，乔文科禁区左侧倒地，但瓦莱里没有中断比赛
87'黄牌！尤文图斯球员佩鲁索因为恶意犯规,被主裁判出示黄牌.                   86'第86分钟，乔文科禁区左侧倒地，但瓦莱里没有中断比赛
52'桑普多利亚球员Mauro Icardi拼抢犯规,对手获得控球权.                   51'补时第6分钟，尤文获得最后1个角球，布冯也冲到对方禁区，但斑马军团无力回天
52'佩鲁索为尤文图斯赢得一个任意球.                   51'补时第6分钟，尤文获得最后1个角球，布冯也冲到对方禁区，但斑马军团无力回天
52'进球啦！！！桑普多利亚球员Mauro Icardi大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是科斯蒂奇. 尤文图斯 1-1 桑普多利亚.                   51'补时第6分钟，尤文获得最后1个角球，布冯也冲到对方禁区，但斑马军团无力回天
