2'莫德里奇前场拿球，分边给到卡瓦哈尔                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
16'皇马前场进攻，赢得右侧角球机会                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
17'莫德里奇角球开出到门前，贝尔头球攻门，被马里诺鱼跃扑出底线                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
17'皇马再次获得右侧角球，莫德里奇开出，拉莫斯头球，顶高                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
18'皇马终于进球啦！！！                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
18'贝尔打进了2015年个人的第四个进球                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
18'皇马终于进球啦！！！                   18'皇马第18分钟取得领先，摩德里奇直传，本泽马禁区右侧传中，C-罗纳尔多小禁区边缘倒钩射门被拉米斯在门线上挡出，贝尔10码处凌空垫射入网
18'贝尔打进了2015年个人的第四个进球                   18'皇马第18分钟取得领先，摩德里奇直传，本泽马禁区右侧传中，C-罗纳尔多小禁区边缘倒钩射门被拉米斯在门线上挡出，贝尔10码处凌空垫射入网
19'莫德里奇禁区外直塞球给到本泽马，本泽马下底传中到后点，C罗倒勾，纳瓦罗门线上头球解围，并未顶远，贝尔右脚补射打进！！！                   18'皇马第18分钟取得领先，摩德里奇直传，本泽马禁区右侧传中，C-罗纳尔多小禁区边缘倒钩射门被拉米斯在门线上挡出，贝尔10码处凌空垫射入网
20'上半场比赛20分钟，比分1-0，皇马领先                   18'皇马第18分钟取得领先，摩德里奇直传，本泽马禁区右侧传中，C-罗纳尔多小禁区边缘倒钩射门被拉米斯在门线上挡出，贝尔10码处凌空垫射入网
21'卡瓦哈尔右路斜传球到禁区，第一点被后卫头球解围                   18'皇马第18分钟取得领先，摩德里奇直传，本泽马禁区右侧传中，C-罗纳尔多小禁区边缘倒钩射门被拉米斯在门线上挡出，贝尔10码处凌空垫射入网
21'莫德里奇拿球再突，下底挑传门前，托尼奥头球解围                   18'皇马第18分钟取得领先，摩德里奇直传，本泽马禁区右侧传中，C-罗纳尔多小禁区边缘倒钩射门被拉米斯在门线上挡出，贝尔10码处凌空垫射入网
21'马塞洛左路斜传球到禁区，贝尔前插抢点，可惜没能碰到                   18'皇马第18分钟取得领先，摩德里奇直传，本泽马禁区右侧传中，C-罗纳尔多小禁区边缘倒钩射门被拉米斯在门线上挡出，贝尔10码处凌空垫射入网
40'皇马再进一球！！！                   40'皇马第40分钟扩大比分，摩德里奇快速开出任意球，卡瓦哈尔禁区右侧回传，C-罗纳尔多禁区右侧12码处劲射打在贝尔脚面稍稍偏转入远角，2-0
40'贝尔，梅开二度！！！                   40'皇马第40分钟扩大比分，摩德里奇快速开出任意球，卡瓦哈尔禁区右侧回传，C-罗纳尔多禁区右侧12码处劲射打在贝尔脚面稍稍偏转入远角，2-0
41'莫德里奇禁区外直塞给卡瓦哈尔，卡瓦哈尔前插拿球下底，倒三角回传，C罗跟进右脚抽射，贝尔伸脚一垫，球打进！！！                   40'皇马第40分钟扩大比分，摩德里奇快速开出任意球，卡瓦哈尔禁区右侧回传，C-罗纳尔多禁区右侧12码处劲射打在贝尔脚面稍稍偏转入远角，2-0
42'这球一半的功劳应该在C罗身上啊，贝尔下意识的出脚碰了一下                   40'皇马第40分钟扩大比分，摩德里奇快速开出任意球，卡瓦哈尔禁区右侧回传，C-罗纳尔多禁区右侧12码处劲射打在贝尔脚面稍稍偏转入远角，2-0
43'刚刚皇马的第二个进球，C罗抽射，慢镜回放显示，确实打在了贝尔的左脚脚面上进网                   40'皇马第40分钟扩大比分，摩德里奇快速开出任意球，卡瓦哈尔禁区右侧回传，C-罗纳尔多禁区右侧12码处劲射打在贝尔脚面稍稍偏转入远角，2-0
64'佩佩停球，差点停给乌切，佩佩赶紧上前再抢，大脚将球解围出边线                   64'第64分钟，C-罗纳尔多右路传中，本泽马10码处右脚脚后跟凌空杂耍钩射击中左侧立柱弹回，他左脚凌空补射偏出
64'本泽马，凌空抽射，打在立柱上弹出，本泽马再补，打飞                   64'第64分钟，C-罗纳尔多右路传中，本泽马10码处右脚脚后跟凌空杂耍钩射击中左侧立柱弹回，他左脚凌空补射偏出
66'莫德里奇右路拿球，直塞找C罗，C罗禁区右侧挑传门前，落点相当好，本泽马侧身右脚外脚背的弹射，击中立柱弹回，本泽马再补，打飞                   64'第64分钟，C-罗纳尔多右路传中，本泽马10码处右脚脚后跟凌空杂耍钩射击中左侧立柱弹回，他左脚凌空补射偏出
66'莱万特前场进攻，传球到禁区，乌切的头球，顶高                   64'第64分钟，C-罗纳尔多右路传中，本泽马10码处右脚脚后跟凌空杂耍钩射击中左侧立柱弹回，他左脚凌空补射偏出
67'皇马前场进攻，赢得右侧角球，可惜并未形成威胁                   64'第64分钟，C-罗纳尔多右路传中，本泽马10码处右脚脚后跟凌空杂耍钩射击中左侧立柱弹回，他左脚凌空补射偏出
