2'尤文图斯比达尔受伤倒地,比赛暂停                   1'第1分钟，那不勒斯压住尤文进攻
55'Jorginho为那不勒斯赢得一个任意球.                   52'第52分钟，恩里克长传过顶，卡列洪右肋形成单刀，但被误判为越位
56'射门!!!尤文图斯球员利希施泰纳大禁区左侧右脚射门,被对方守门员横身扑出.                   56'第56分钟，博格巴传禁区左侧，利希施泰纳在门前13米处推射绵软无力送还雷纳
57'古拉姆将球处理出底线,尤文图斯获得角球.                   56'第56分钟，博格巴传禁区左侧，利希施泰纳在门前13米处推射绵软无力送还雷纳
58'尤文图斯球员比达尔危险动作,对手获得控球权.                   56'第56分钟，博格巴传禁区左侧，利希施泰纳在门前13米处推射绵软无力送还雷纳
58'Jorginho为那不勒斯赢得一个任意球.                   56'第56分钟，博格巴传禁区左侧，利希施泰纳在门前13米处推射绵软无力送还雷纳
58'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   56'第56分钟，博格巴传禁区左侧，利希施泰纳在门前13米处推射绵软无力送还雷纳
58'哈姆西克为那不勒斯在对方半场,赢得一个任意球.                   56'第56分钟，博格巴传禁区左侧，利希施泰纳在门前13米处推射绵软无力送还雷纳
58'黄牌！尤文图斯球员博努奇因为恶意犯规,被主裁判出示黄牌.                   56'第56分钟，博格巴传禁区左侧，利希施泰纳在门前13米处推射绵软无力送还雷纳
64'尤文图斯球员皮尔洛大禁区外尝试右脚射门,可惜皮球高出球门.                   64'第64分钟，皮尔洛左侧距门28米处任意球高出
66'阿尔比奥尔将球处理出底线,尤文图斯获得角球.                   64'第64分钟，皮尔洛左侧距门28米处任意球高出
67'尤文图斯球员基耶利尼大禁区中央头球,被防守球员封堵.给他传球的是皮尔洛.                   64'第64分钟，皮尔洛左侧距门28米处任意球高出
70'尤文图斯换人,武齐尼奇换下奥斯瓦尔多                   70'第70分钟，比达尔横敲，武齐尼奇在门前22米处弧线球偏出右门柱
70'卡塞雷斯为尤文图斯赢得一个任意球.                   70'第70分钟，比达尔横敲，武齐尼奇在门前22米处弧线球偏出右门柱
70'那不勒斯球员伊瓜因拼抢犯规,对手获得控球权.                   70'第70分钟，比达尔横敲，武齐尼奇在门前22米处弧线球偏出右门柱
70'尤文图斯球员武齐尼奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是比达尔.                   70'第70分钟，比达尔横敲，武齐尼奇在门前22米处弧线球偏出右门柱
78'射门!!!那不勒斯球员哈姆西克大禁区外右脚射门,被对方守门员横身扑出.给他传球的是潘德夫.                   78'第78分钟，潘德夫左肋塞球，哈姆西克在门前25米处低射被布冯没收，随后他被伤愈的梅尔滕斯换下
79'那不勒斯换人,梅尔滕斯换下哈姆西克                   78'第78分钟，潘德夫左肋塞球，哈姆西克在门前25米处低射被布冯没收，随后他被伤愈的梅尔滕斯换下
79'费尔南德斯将球处理出底线,尤文图斯获得角球.                   78'第78分钟，潘德夫左肋塞球，哈姆西克在门前25米处低射被布冯没收，随后他被伤愈的梅尔滕斯换下
81'进球啦！！！那不勒斯球员梅尔滕斯大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是潘德夫. 那不勒斯 2-0 尤文图斯.                   78'第78分钟，潘德夫左肋塞球，哈姆西克在门前25米处低射被布冯没收，随后他被伤愈的梅尔滕斯换下
86'那不勒斯梅尔滕斯受伤倒地,比赛暂停                   85'第85分钟，基耶利尼被梅尔滕斯铲倒，脚后跟踢中对方面部
86'暂停结束,球员们重新开始比赛.                   85'第85分钟，基耶利尼被梅尔滕斯铲倒，脚后跟踢中对方面部
87'尤文图斯球员皮尔洛拼抢犯规,对手获得控球权.                   85'第85分钟，基耶利尼被梅尔滕斯铲倒，脚后跟踢中对方面部
87'Jorginho为那不勒斯赢得一个任意球.                   85'第85分钟，基耶利尼被梅尔滕斯铲倒，脚后跟踢中对方面部
88'尤文图斯球员皮尔洛一脚直塞球给武齐尼奇,但是边裁举旗显示后者已经越位.                   85'第85分钟，基耶利尼被梅尔滕斯铲倒，脚后跟踢中对方面部
51'那不勒斯球员亨里克一脚直塞球给卡列洪,但是边裁举旗显示后者已经越位.                   51'比赛官员示意补时6分钟
53'尤文图斯换人,伊斯拉换下阿萨莫阿                   51'比赛官员示意补时6分钟
54'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   51'比赛官员示意补时6分钟
54'雷纳为那不勒斯赢得一个任意球.                   51'比赛官员示意补时6分钟
54'黄牌！尤文图斯球员利希施泰纳因为恶意犯规,被主裁判出示黄牌.                   51'比赛官员示意补时6分钟
47'尤文图斯球员洛伦特拼抢犯规,对手获得控球权.                   46'1分钟后，比达尔右侧禁区边缘抽射被挡出横梁，皮尔洛右侧角球被破坏，比达尔右路切入禁区遇泽马伊利伸腿拦截倒地，被判假摔吃到黄牌
47'阿尔比奥尔为那不勒斯赢得一个任意球.                   46'1分钟后，比达尔右侧禁区边缘抽射被挡出横梁，皮尔洛右侧角球被破坏，比达尔右路切入禁区遇泽马伊利伸腿拦截倒地，被判假摔吃到黄牌
49'尤文图斯球员卡塞雷斯一脚直塞球给奥斯瓦尔多,但是边裁举旗显示后者已经越位.                   46'1分钟后，比达尔右侧禁区边缘抽射被挡出横梁，皮尔洛右侧角球被破坏，比达尔右路切入禁区遇泽马伊利伸腿拦截倒地，被判假摔吃到黄牌
49'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   46'1分钟后，比达尔右侧禁区边缘抽射被挡出横梁，皮尔洛右侧角球被破坏，比达尔右路切入禁区遇泽马伊利伸腿拦截倒地，被判假摔吃到黄牌
49'因勒为那不勒斯赢得一个任意球.                   46'1分钟后，比达尔右侧禁区边缘抽射被挡出横梁，皮尔洛右侧角球被破坏，比达尔右路切入禁区遇泽马伊利伸腿拦截倒地，被判假摔吃到黄牌
