11'鲁能泰山队进球啦！！佩莱！1-0                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
55'塔尔德利前场得球，分边想给金敬道！！大了些！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
55'前场鲁能泰山队断球直传，金敬道插上，托希奇把球控下来                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
56'中场广州富力队斜传球，常飞亚没能控好球，直接出边线                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
56'中场乌索得球，分到右路                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
56'雷纳迪尼奥带球突破，回传球给乌索！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
57'广州富力队右路斜传禁区，吉尔头球解围                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
57'蒿俊闵中场得球，分右路！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
57'佩莱接球，被抢断                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
58'塔尔德利左路突破！传球，吴兴涵回传！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
58'塔尔德利再分右路！程月磊将球没收                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
58'雷纳迪尼奥带球右路攻到前场！横向突破！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
58'郑铮铲球犯规！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
58'任意球机会                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
59'托希奇在向裁判说着什么！！好象是说应该给黄牌！                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
59'但郑铮先铲到球啦                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
59'雷纳迪尼奥进球啦！！1-2                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
60'雷纳迪尼奥发任意球直接打门！皮球穿过人墙，从右侧门柱打入！                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
60'这球是越过了人墙，直接入网！                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
60'蒿俊闵中场得，分到左路！                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
61'吴兴涵长传球！韩镕泽没收                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
61'雷纳迪尼奥挑传球，吉尔顶出来！                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
62'吴兴涵传中球，被破坏出底线                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
62'鲁能泰山队得到角球机会                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
62'鲁能泰山队要换人，崔鹏在场边活动！                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
62'塔尔德利发出战术角球！队友回传，塔尔德利挑传禁区后点，对方顶出底线                   59'第14分钟，广州富力中场断球之后发动快速反击，雷纳尔迪尼奥得球于禁区外弧线球远射，韩镕泽双手将球挡出
79'鲁能泰山队右路横传禁区，对方头球解围                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
79'广州富力队长传球，韩镕泽控到球                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
79'韩镕泽大脚开球到前场，送到了对方脚下                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
79'广州富力队右路长传球，吉尔将球控下来                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
79'鲁能泰山队攻到前场，分右路                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
80'王彤下底横传球！金敬道抢到点，对方将球碰出界                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
80'王彤发出界外球，广州富力队断球反击                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
81'常飞亚左路突破下底，对方绕前抢断                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
81'鲁能泰山队右路直传进攻                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
81'佩莱接球，横传！！                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
82'佩莱前场得球，横向突破！一脚远射！                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
82'程月磊扑了一下，二次把球得到                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
82'陈志钊直传球，唐淼横传球被挡出来                   79'第34分钟，广州富力打出反击，丁海峰做球，乌索禁区外远射高出
87'吴兴涵受伤倒在地上！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
87'广州富力队连续换了两名队员                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
87'刚才吴兴涵是与乌索对脚！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
88'吴兴涵被抬出场外！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
88'常飞亚直传球到禁区内！被破坏出来！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
88'塔尔德利交球给佩莱！再转移到右路进攻                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
89'塔尔德利左路横传球，佩莱分回来！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
89'佩莱传球交给塔尔德利！！越位啦！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
89'鲁能泰山队换人，陈哲超上场，换下受伤的吴兴涵！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
89'中场广州富力队断球，分到右路！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
90'常飞亚右践强突下底！郑铮上抢！球出底线                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
90'战术角球发出来，常飞亚一脚打门！高出！！                   87'第42分钟，山东鲁能打出快速反击，塔尔德利中场断球长途奔袭，在禁区角附近晃开弋腾后小角度射门，球被程月磊扑出
94'韩镕泽大脚开球到前场！                   94'第49分钟，广州富力边路进攻，托西奇低平球横扫门前，肖智铲射稍稍错过
94'补时还有不到一分钟的时间！                   94'第49分钟，广州富力边路进攻，托西奇低平球横扫门前，肖智铲射稍稍错过
94'富力抢球出边线                   94'第49分钟，广州富力边路进攻，托西奇低平球横扫门前，肖智铲射稍稍错过
94'鲁能泰山队界外球发出来，交给佩莱！                   94'第49分钟，广州富力边路进攻，托西奇低平球横扫门前，肖智铲射稍稍错过
94'佩莱转身突破！对方抢断开出边线                   94'第49分钟，广州富力边路进攻，托西奇低平球横扫门前，肖智铲射稍稍错过
95'界外球发出来，佩莱在角旗区附近护住球！                   94'第49分钟，广州富力边路进攻，托西奇低平球横扫门前，肖智铲射稍稍错过
64'广州富力队前场直传球被断                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
64'佩莱中场得球，横传到右路！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
64'右路鲁能泰山队横传球到禁区内，郑铮抢点劲射！！！！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
64'程月磊将球碰出底线！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
64'鲁能泰山队换人，崔鹏上场，换下李海龙！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
65'蒿俊闵主罚角球！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
65'角球发到禁区内后点，程月磊把球打出来！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
65'戴琳在前场断球，右路过人！！过第二人时没能成功！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
66'中场金敬道断球！中路组织进攻！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
66'塔尔德利和佩莱在前场配合！！佩莱挑传球，对方破坏出来                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
67'吴兴涵传球，佩莱传禁区！！有阻挡啊！但主裁判没有吹                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
67'后场鲁能泰山队断球，左路直传球                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
67'佩莱回来接球，托希奇上抢犯规！                   64'第64分钟，山东鲁能打出快速反击，塔尔德利中路分球，边路送出弧线球传中，郑铮后点包抄小角度射门，球被程月磊用腿将球挡出
68'塔尔德利前场得球，分到右路                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
68'金敬道右路横传球到禁区内！！佩莱抢点打门！！！！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
69'佩莱打门时被托希奇绊倒在地！！！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
69'佩莱和吴兴涵在向裁判说着什么！！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
69'要看视频吗？？马宁坚持给了角球！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
69'蒿俊闵发角球！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
70'看视频裁判给什么提示！！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
70'马宁还在与视频裁判聊着！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
70'主裁判马宁示意看视频！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
71'马宁在认真的看视频！！看如何来判！                   68'第68分钟，塔尔德利禁区前将球分边路，蒿俊闵不停球扫向门前，佩莱在包抄射门时也被托西奇踢到脚后跟，主裁判马宁观看视频VAR回放之后确定为点球并给托西奇黄牌
74'佩莱中场得球，传给塔尔德利！                   74'第74分钟，吉尔禁区内射门被程月磊扑出
74'广州富力队断球反击！吴兴涵抢断                   74'第74分钟，吉尔禁区内射门被程月磊扑出
74'鲁能泰山队挑传球到禁区内！程月磊接球失误，脱手！                   74'第74分钟，吉尔禁区内射门被程月磊扑出
74'球出底线，鲁能泰山队得到角球机会                   74'第74分钟，吉尔禁区内射门被程月磊扑出
75'蒿俊闵发角球到禁区内，吉尔头球顶门，程月磊扑出来！！！                   74'第74分钟，吉尔禁区内射门被程月磊扑出
75'吉尔再打被挡出来！戴琳抢点打门高啦！！！                   74'第74分钟，吉尔禁区内射门被程月磊扑出
75'程月磊大脚开球到前场，戴琳抢到球大脚长传！对方顶出边线                   74'第74分钟，吉尔禁区内射门被程月磊扑出
76'吴兴涵右路突破到禁区内，对方破坏                   74'第74分钟，吉尔禁区内射门被程月磊扑出
77'中场鲁能泰山队断球，塔尔德利带球！大了些！                   74'第74分钟，吉尔禁区内射门被程月磊扑出
77'前场鲁能泰山队断球，交给塔尔德利！                   74'第74分钟，吉尔禁区内射门被程月磊扑出
77'塔尔德利右路横传球到禁区内，佩莱垫射！！程月磊托出！                   74'第74分钟，吉尔禁区内射门被程月磊扑出
77'鲁能泰山队得到角球                   74'第74分钟，吉尔禁区内射门被程月磊扑出
82'佩莱前场得球，横向突破！一脚远射！                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
82'程月磊扑了一下，二次把球得到                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
82'陈志钊直传球，唐淼横传球被挡出来                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
83'界外球发出来，交给雷纳迪尼奥，戴琳绕前把球破坏                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
83'雷纳迪尼奥接球，横传中路                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
84'广州富力队左路斜传球，到了另一侧！                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
84'唐淼回传球，交给雷纳迪尼奥！                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
84'没有太好的机会                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
84'广州富力队直传球，被抢断                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
85'塔尔德利带球反击到前场！分右路                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
85'金敬道横传禁区！！佩莱头球顶了一下，没有顶门啊，想过渡！！被破坏                   82'第82分钟，佩莱禁区外远射，球被程月磊侧身扑出
