1'上半场比赛开始！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
38'比赛继续！                   36'曼联第36分钟取得领先，伊布分球右路，瓦伦西亚传中，拉什福德推射被鲁文勉强扑出，姆希塔良小禁区左侧补射空门入网
39'右路瓦伦西亚回传身后卡里克！再分给姆希塔良！                   36'曼联第36分钟取得领先，伊布分球右路，瓦伦西亚传中，拉什福德推射被鲁文勉强扑出，姆希塔良小禁区左侧补射空门入网
39'回到中圈挑传右路！卡拉把球破坏！                   36'曼联第36分钟取得领先，伊布分球右路，瓦伦西亚传中，拉什福德推射被鲁文勉强扑出，姆希塔良小禁区左侧补射空门入网
55'给到前场中路伊布！斜传禁区左侧达米安！再回中间博格巴！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
55'长传进禁区！达米安挑起来！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
55'姆希塔良插上！左脚垫射！偏出右侧底线啊！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
56'后场中路罗霍横敲拜利！低平给到右路瓦伦西亚！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
56'再横传中路卡里克！低平球往前给！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
57'左路拉什福德内切！大禁区前沿射一脚！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
57'门将拿到！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
57'大脚开出来！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
57'中圈左侧蒂莱曼斯拿到！回传登东科尔！分右路阿皮亚！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
57'姆希塔良反抢拿下来！被犯规了！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
58'安德莱赫特的换人！！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
58'基普休替补登场了！！                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
58'布鲁诺现在是被换下了                   55'红魔第55分钟险些扩大比分，达米安传中，姆希塔良第一时间的凌空抽射稍稍偏出右侧立柱
82'姆希塔良中场争下来！低平球往前送！被卡拉拦截下来！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
82'分右路阿皮亚！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
82'汉尼大禁区前沿伦一脚！偏了啊！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
82'前场中路卡里克分身前左侧伊布！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
83'回传到右侧博格巴！推射！被门将挡出底线！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
83'左侧角球！禁区中路费莱尼顶一下！被门将没收！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
83'门球踢出来！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
83'前场右路传中禁区！拜利解围出去！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
84'外围左侧登东科尔拿到！再分右侧阿皮亚！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
84'斜传被罗霍挡一下！中路伊布断下来！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
84'直接往前带！蒂莱曼斯回追破坏一下！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
85'中路登东科尔分左路蒂莱曼斯！低平斜传！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
85'卡里克完成拦截！再分身前伊布！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
85'向前直塞！这边马夏尔越位了！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
85'马丁内斯大脚开到前场！阿昌鹏争下来！                   82'第82分钟，伊布传球，博格巴10码处射门被鲁文用腿挡出底线
