1'上半场比赛开始！                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
19' 阿森纳后场将球给到边路，中路，队友送直塞给到前场，沃尔科特接球后到了禁区内推射远角破门！                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
19'阿森纳进球之前也是莱斯特这边先击中了横梁                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
19'这比赛有意思了                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
20'精彩回放：莱斯特左路起球送禁区内，队友头球攻门击中横梁上沿，切赫当时并没有做出扑救动作                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
20'阿森纳后场长传打对方身后                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
21'施鲁普争抢的时候有犯规的嫌疑                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
21'裁判这球并没有吹                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
21'阿森纳换人，弗拉米尼下，阿尔特塔上！                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
33'1-2！！                   33'阿森纳第33分钟反超比分，贝莱林禁区右侧传中，沃尔科特抢前点令皮球偏转，桑切斯后点近距离推射空门入网，2-1
33'桑切斯！！                   33'阿森纳第33分钟反超比分，贝莱林禁区右侧传中，沃尔科特抢前点令皮球偏转，桑切斯后点近距离推射空门入网，2-1
33'此时此刻值得来杯嘉士伯                   33'阿森纳第33分钟反超比分，贝莱林禁区右侧传中，沃尔科特抢前点令皮球偏转，桑切斯后点近距离推射空门入网，2-1
34'阿森纳右路做三角传递，厄齐尔送出关键传球，底线队友横敲门前，前点队友争抢后到了后点，桑切斯推射空门得分！                   33'阿森纳第33分钟反超比分，贝莱林禁区右侧传中，沃尔科特抢前点令皮球偏转，桑切斯后点近距离推射空门入网，2-1
34'莱斯特对这次失球并不满意啊                   33'阿森纳第33分钟反超比分，贝莱林禁区右侧传中，沃尔科特抢前点令皮球偏转，桑切斯后点近距离推射空门入网，2-1
35'之前冈崎慎司中场拿球启动的时候跟对方撞在一起                   33'阿森纳第33分钟反超比分，贝莱林禁区右侧传中，沃尔科特抢前点令皮球偏转，桑切斯后点近距离推射空门入网，2-1
35'裁判并没有吹                   33'阿森纳第33分钟反超比分，贝莱林禁区右侧传中，沃尔科特抢前点令皮球偏转，桑切斯后点近距离推射空门入网，2-1
56'阿森纳在前场的上抢也是很凶                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
56'金前场拿球给到右路                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
56'又是大范围转移到了左路                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
56'阿尔布莱顿将球吊进来                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
57'瓦尔迪禁区边缘的远射                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
57'这球没有打上什么力量                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
57'1-3！！                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
57'桑切斯！！                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
57'此时此刻值得来杯嘉士伯                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
58'阿森纳拿球给到左路，厄齐尔挑传送小禁区前沿，桑切斯禁区内启动，抢在门将之前头球攻门将球顶进！                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
59'舒梅切尔这次的出击有些冒失啊                   56'阿森纳第56分钟扩大比分，厄齐尔禁区边缘挑传，反越位成功的桑切斯小禁区边缘抢在舒梅切尔之前头球蹭入空门，3-1
81'桑切斯！！                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
81'此时此刻值得来杯嘉士伯                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
81'桑切斯前场接球后在禁区弧顶附近远射打近角，舒梅切尔这边扑救不及啊！                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
81'莱斯特这边几乎没什么机会了                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
84'莱斯特这边机会啊                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
84'长传送到禁区内                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
84'瓦尔迪停球后到了小禁区附近                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
84'低射打近角被切赫封出                   81'阿森纳第81分钟锁定胜局，蒙雷亚尔传球，桑切斯25码处抽射反弹球入左下角上演帽子戏法，4-1
89'瓦尔迪！！                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
89'此时此刻值得来杯嘉士伯                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
89'莱斯特右路传球送禁区内，克拉马里奇捅射被切赫在门线上挡出，禁区内，瓦尔迪得球低射远角破门！                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
89'莱斯特会有奇迹发生吗？                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
90'阿森纳这边有机会                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
90'前场有吉鲁                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
90'这球并没有给啊                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
90'下半场补时4分钟！                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
91'卡索拉给到右路                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
91'底线附近的横敲到中路                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
91'吉鲁这球并没有碰到啊                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
92'莱斯特禁区弧顶带球被断                   89'狐狸第89分钟拉近差距，马雷斯右路传中，克拉马里奇近距离捅射被切赫神勇救出，乌略亚回传，瓦尔迪禁区左侧弧线球射入远角，2-4
