1'随着主裁判一声哨音，比赛开始了                   1'利物浦第1分钟就陷入攻坚战
69'趟入禁区，遭到了紧逼，被断了                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
69'外围卢卡斯反抢被吹犯规                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
69'利物浦换人，卢卡斯被拉拉纳替下，其实首发就该上拉拉纳                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
92'右侧分给菲尔米诺，在交给前面司徒                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
92'回敲洛夫伦，再回给米尼奥莱，对方密集防守，只能起冲吊                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
92'米尼奥莱大脚抡出去                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
92'詹交给司徒，右侧带球往前走，伯特兰铲出边线                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
92'中路库鸟组织，分到左侧给詹                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
93'在向前找到米尔纳，传中吊起来                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
93'库鸟插上，好机会，小禁区前奋力一顶                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
93'怎样，，，，福斯特身轻如燕，一掌托出横梁                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
93'左侧角球，库鸟送到点球点附近                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
93'被解围出去                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
94'弧顶拉拉纳张弓搭箭，直接迎面怒射，，被肉盾挡出边线                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
94'伯特兰拖延时间，吃到黄牌                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
94'利物浦界外球给出，右侧菲尔米诺拿球                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
94'回敲给中路，被破坏一下，不过球权还在                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
94'詹中路一个长传                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
94'禁区内争顶，斯蒂芬斯头球顶出                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'右侧马蒂普拿球，在吊进来，禁区右翼还是被解围                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'伯特兰第二点拿下来，往前自己带                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'直塞找前面唯一的点，肖恩-朗                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'米尔纳生生抢断下来，在给到詹                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'左侧斜长传，进去。吉田麻也冲出来，把球断下                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'左侧在给肖恩-朗，不急，控制住球权                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'斜传中间罗梅乌，在给戴维斯，转移到右侧                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'塞德里克拿球，回敲给同伴，长传再出来                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'直接是出了底线                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'米尼奥莱迅速开出门球，给到洛夫伦                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'但是没时间了                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
95'裁判哨响，全场结束了                   92'第92分钟，米尔纳左路传中，替补出场的格鲁伊奇10码处头球攻门又被福斯特神勇托出横梁
