6'斯旺西左路边线发球给门将法比安斯基！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
54' 张伯伦往身前送出一脚斜线球！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
54'给到前场左路的菲尔米诺！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
54'哨响！吹了菲尔米诺的犯规！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
54'斯旺西后场定位球！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
54'法比安斯开球开出了边线！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
54'利物浦左路边线发球给后场马蒂普！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
55'马蒂普把球回给米尼奥莱！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
55'米尼奥莱低平球斜传左侧克拉万！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
55'克拉万斜线球传中禁区后点！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
55'奥尔松一脚把球破坏出了底线！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
65'斯旺西换人，亚伯拉换下了麦克伯尼！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
65'亚伯拉罕换下了麦克伯尼！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
66'库蒂尼奥前场左路推进过来！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
66'回给身后罗伯逊！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
66'罗伯逊起球传中进来！禁区前点！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
66'费尔南德斯把球解围出去！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
66'禁区前沿阿诺德迎球一脚打门！！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
66'GOOOOOOOOOOOOOOAL！！！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
67'回到比赛！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
67'张伯伦直塞球给前场右路萨拉赫！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
67'萨拉赫突入禁区！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
67'横敲后点跟进的菲尔米诺！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
67'菲尔米诺推射打门！！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
67'GOOOOOOOOOOAL！！！！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
67'利物浦4-0斯旺西！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
68'中圈莫森开球！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
68'莫森低平球向前给边路阿尤！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
68'阿尤停球出边线了！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
68'利物浦换人！ 索兰克换下菲尔米诺！                   65'利物浦第65分钟锁定胜局，莫森头球解围，阿诺德抢得皮球后12码处爆射左上角入网，3-0
82'发球给到前场中路埃姆雷詹！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
82'埃姆雷詹斜传给到前场左路的拉拉纳！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
82'拉拉纳回传后场克拉万！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
82'克拉万再给到中圈弧附近的埃姆雷詹！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
82'埃姆雷詹低平球斜传禁区左侧拉拉纳！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
82'拉拉纳的球被诺顿大脚解围！.                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
83'米尔纳中场把球得到！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
83'米尔纳低平球向前给到拉拉纳！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
83'拉拉纳切入禁区内左肋！打门被防守球员挡出！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
83'禁区内右侧张伯伦把球抢到！一脚推射！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
83'GOOOOOOOOOOOOOAL！！！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
84'利物浦5-0斯旺西！                   82'第82分钟，阿诺德禁区右侧边缘传中被挡，张伯伦拿球后禁区右侧10码处抽射远角入网，5-0
