9'于睿被主裁判出示了黄牌警告！！！                   9'第9分钟，人和球员于睿斜后方踢倒费尔南多染黄
28'刘洋后场起球到禁区弧顶，阿德阿头球解围，直接到了冯仁亮脚下，冯仁亮停球，禁区外的远射，隋维杰扑球脱手，尤里跟进补射打进，可惜越位在先，无效！！！                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
28'慢镜回放显示，冯仁亮射门时，尤里越位相当明显，这次判罚无异议                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
29'力帆前场进攻，吉利奥蒂的远射，飞向了看台                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
29'陈昌源右路起球打身后找米西                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
30'隋维杰出击，抢在米西之前将球拿到，还不友好的撞了米西一下                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
30'米西回头望了望隋维杰，转身往自己后场跑去                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
30'王栋后场拿球，直塞球想给前场的吉利奥蒂                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
43'孙继海后场抢断，带球过中线，分球右侧给吴庆                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
43'吴庆停球一扣，想摆脱米西，被绊倒在地                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
43'力帆获得前场右侧的任意球机会                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
44'王栋任意球斜传门前，吉利奥蒂和费尔南迪奥双鬼拍门，可惜没能顶到                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
44'球到后点，陈雷再拿，回传出界啦                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
44'张成林刚刚禁区内防守受伤，球袜都扯烂了，担架进场抬出场外                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
45'陈昌源右路拿球，过顶直传找尤里                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
45'辩才再次举旗，尤里越位在先                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
45'上半场比赛补时2分钟                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
46'力帆右路的斜传转移球，可惜传大啦                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
46'下半场比赛开始                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
46'尤里右路拿球，强突后的传中，出了底线                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
46'裁判给了门球，不过慢镜回放显示，好像有碰到防守球员                   43'第43分钟，张成林在禁区内倒地不起，镜头捕捉到张成林的球袜已经被撕开一个大洞
53'尤里的进球！！！                   53'第53分钟贵州人和取得进球，陈昌源前场右路得球后起高球横传门前，尤里禁区内高高跃起头球攻门，球擦着门柱内侧飞入球网
54'米西前场中路拿球，分边右侧给陈昌源，陈昌源拿球，强突下底传中到禁区，尤里高高跃起，头球顶出一记弧线，打进左上死角！！！                   53'第53分钟贵州人和取得进球，陈昌源前场右路得球后起高球横传门前，尤里禁区内高高跃起头球攻门，球擦着门柱内侧飞入球网
61'吴庆中场拿球，强突被上抢的萨利霍维奇踢倒在地                   61'第61分钟，力帆获得前场任意球，吉利奥蒂的门前抢点铲射让皮球飞向了远门柱，但射门之前吉利奥蒂已经陷入了越位陷阱
61'力帆获得前场中路的任意球机会                   61'第61分钟，力帆获得前场任意球，吉利奥蒂的门前抢点铲射让皮球飞向了远门柱，但射门之前吉利奥蒂已经陷入了越位陷阱
61'吉利奥蒂，差之毫厘啊！！！                   61'第61分钟，力帆获得前场任意球，吉利奥蒂的门前抢点铲射让皮球飞向了远门柱，但射门之前吉利奥蒂已经陷入了越位陷阱
63'王栋任意球斜传禁区，禁区弧顶力帆球员后蹭到门前，吉利奥蒂跟进铲射，球擦着左侧立柱出底线                   61'第61分钟，力帆获得前场任意球，吉利奥蒂的门前抢点铲射让皮球飞向了远门柱，但射门之前吉利奥蒂已经陷入了越位陷阱
63'这球人和防守球员基本已经放弃了，可惜啦                   61'第61分钟，力帆获得前场任意球，吉利奥蒂的门前抢点铲射让皮球飞向了远门柱，但射门之前吉利奥蒂已经陷入了越位陷阱
63'人和前场再攻，尤里抢断，突入禁区，可惜最后的打门，踢飞啦                   61'第61分钟，力帆获得前场任意球，吉利奥蒂的门前抢点铲射让皮球飞向了远门柱，但射门之前吉利奥蒂已经陷入了越位陷阱
64'陈昌源右路拿球，无人干扰，斜传球到后点，直接出了底线                   61'第61分钟，力帆获得前场任意球，吉利奥蒂的门前抢点铲射让皮球飞向了远门柱，但射门之前吉利奥蒂已经陷入了越位陷阱
65'这球完全可以停好，慢慢传啊                   65'贵州人和在第65分钟率先进行人员调整，饶伟辉替补上场换下了身背一张黄牌的于睿
65'下半场比赛20分钟，比分0-1，人和领先                   65'贵州人和在第65分钟率先进行人员调整，饶伟辉替补上场换下了身背一张黄牌的于睿
65'隋维杰几次扑救脱手，现场力帆球迷很不满意，在其开门球时，嘘声四起                   65'贵州人和在第65分钟率先进行人员调整，饶伟辉替补上场换下了身背一张黄牌的于睿
66'人和换人：31号饶伟辉上，换下4号于睿                   65'贵州人和在第65分钟率先进行人员调整，饶伟辉替补上场换下了身背一张黄牌的于睿
67'饶伟辉作为新晋国脚，参加了东亚杯，整体表现还可以                   65'贵州人和在第65分钟率先进行人员调整，饶伟辉替补上场换下了身背一张黄牌的于睿
67'吴庆左路拿球，挑传想给费尔南迪奥，被萨利霍维奇回防破坏                   65'贵州人和在第65分钟率先进行人员调整，饶伟辉替补上场换下了身背一张黄牌的于睿
68'力帆换人：19号冯劲上，换下11号吴庆                   65'贵州人和在第65分钟率先进行人员调整，饶伟辉替补上场换下了身背一张黄牌的于睿
81'全场比赛80分钟，比分依旧是0-1，人和领先                   81'第81分钟，阿杜阿进去前传给背身拿球的吉利奥蒂，后者用身体倚住上抢的人和后卫转身后果断起脚远射，球集中横梁下沿弹出，幸运女神本场比赛也没有青睐力帆，两次进攻都被横梁无情的拒之门外
82'吉利奥蒂左路拿球，横切，禁区线上拔脚怒射，击中横梁弹回                   81'第81分钟，阿杜阿进去前传给背身拿球的吉利奥蒂，后者用身体倚住上抢的人和后卫转身后果断起脚远射，球集中横梁下沿弹出，幸运女神本场比赛也没有青睐力帆，两次进攻都被横梁无情的拒之门外
82'吉利奥蒂今天被横梁和立柱拒绝了两次，这可是力帆的主场啊，运气。。。                   81'第81分钟，阿杜阿进去前传给背身拿球的吉利奥蒂，后者用身体倚住上抢的人和后卫转身后果断起脚远射，球集中横梁下沿弹出，幸运女神本场比赛也没有青睐力帆，两次进攻都被横梁无情的拒之门外
84'力帆的头球回摆，差点失误啊                   81'第81分钟，阿杜阿进去前传给背身拿球的吉利奥蒂，后者用身体倚住上抢的人和后卫转身后果断起脚远射，球集中横梁下沿弹出，幸运女神本场比赛也没有青睐力帆，两次进攻都被横梁无情的拒之门外
84'尤里右路拿球，回带中被陈雷从身后硬生生撞倒在地                   81'第81分钟，阿杜阿进去前传给背身拿球的吉利奥蒂，后者用身体倚住上抢的人和后卫转身后果断起脚远射，球集中横梁下沿弹出，幸运女神本场比赛也没有青睐力帆，两次进攻都被横梁无情的拒之门外
