15'进球啦！！！那不勒斯球员卡列洪大禁区外左脚射门,球从左上角飞进球门,球进了!助攻的是泽马伊利. 那不勒斯 1-0 卡塔尼亚.                   15'第15分钟，泽马伊利传球，卡列洪左脚弧线球挂左上角，1比0
55'那不勒斯球员费尔南德斯大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是卡列洪.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
55'卡塔尼亚球员科克大禁区外右脚射门,被防守球员封堵.给他传球的是安杜哈尔.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
55'卡塔尼亚球员M-洛佩斯拼抢犯规,对手获得控球权.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
55'因西涅为那不勒斯赢得一个任意球.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
56'卡塔尼亚球员P-阿尔瓦雷斯拼抢犯规,对手获得控球权.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
56'因西涅为那不勒斯在对方半场,赢得一个任意球.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
57'那不勒斯球员伊瓜因大禁区外右脚射门,被防守球员封堵.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
61'射门!!!那不勒斯球员伊瓜因大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是因西涅.                   61'第61分钟，因西涅突破阿尔瓦雷斯传球，伊瓜因推射被安杜哈尔奋力封出
61'P-阿尔瓦雷斯为卡塔尼亚赢得一个任意球.                   61'第61分钟，因西涅突破阿尔瓦雷斯传球，伊瓜因推射被安杜哈尔奋力封出
61'那不勒斯球员因西涅拼抢犯规,对手获得控球权.                   61'第61分钟，因西涅突破阿尔瓦雷斯传球，伊瓜因推射被安杜哈尔奋力封出
62'P-阿尔瓦雷斯将球处理出底线,那不勒斯获得角球.                   61'第61分钟，因西涅突破阿尔瓦雷斯传球，伊瓜因推射被安杜哈尔奋力封出
63'那不勒斯球员哈姆西克小禁区左侧右脚射门,被防守球员封堵.                   61'第61分钟，因西涅突破阿尔瓦雷斯传球，伊瓜因推射被安杜哈尔奋力封出
63'塔赫特西迪斯将球处理出底线,那不勒斯获得角球.                   61'第61分钟，因西涅突破阿尔瓦雷斯传球，伊瓜因推射被安杜哈尔奋力封出
63'那不勒斯球员费尔南德斯大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.                   61'第61分钟，因西涅突破阿尔瓦雷斯传球，伊瓜因推射被安杜哈尔奋力封出
72'那不勒斯球员伊瓜因大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是哈姆西克.                   72'第72分钟，哈姆西克左路斜传，伊瓜因突至禁区边缘左脚推射偏出右门柱
74'那不勒斯球员卡列洪大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是哈姆西克.                   72'第72分钟，哈姆西克左路斜传，伊瓜因突至禁区边缘左脚推射偏出右门柱
