3'进球啦！！！AC米兰球员梅内斯右脚射门,球从中路偏上飞进球门,球进了! 都灵 0-1 AC米兰.                   3'这是AC米兰近3个客场首球，也是AC米兰本世纪意甲最早的点球破门(3分钟)
72'都灵球员马希莫维奇拼抢犯规,对手获得控球权.                   72'第72分钟，马丁内斯中路直传，夸利亚雷拉在门前20米处转身抽射被迭戈洛佩斯单手托出
73'拉米将球处理出底线,都灵获得角球.                   72'第72分钟，马丁内斯中路直传，夸利亚雷拉在门前20米处转身抽射被迭戈洛佩斯单手托出
74'AC米兰球员阿尔梅罗拼抢犯规,对手获得控球权.                   72'第72分钟，马丁内斯中路直传，夸利亚雷拉在门前20米处转身抽射被迭戈洛佩斯单手托出
74'卡杜里为都灵在左路,赢得一个任意球.                   72'第72分钟，马丁内斯中路直传，夸利亚雷拉在门前20米处转身抽射被迭戈洛佩斯单手托出
75'都灵球员贝纳希小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马希莫维奇.                   72'第72分钟，马丁内斯中路直传，夸利亚雷拉在门前20米处转身抽射被迭戈洛佩斯单手托出
81'都灵换人,法昆多·莱斯卡诺换下达米安                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
81'进球啦！！！都灵球员格里克大禁区中央头球,球从左下角飞进球门,球进了!助攻的是Bruno Peres. 都灵 1-1 AC米兰.                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
82'阿巴特为AC米兰在右路,赢得一个任意球.                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
82'都灵球员莫雷蒂拼抢犯规,对手获得控球权.                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
83'AC米兰球员梅克斯大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
84'AC米兰球员博纳文图拉拼抢犯规,对手获得控球权.                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
84'莫雷蒂为都灵在左路,赢得一个任意球.                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
84'AC米兰球员博纳文图拉被主裁判出示了一张黄牌.                   81'第81分钟，布鲁诺-佩雷斯右侧开出角球，队长格利克在门前7米处头球顶进远角，1比1，他也以进球弥补了开场的点球过失
