1'上半场比赛开始！！                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
35'面对贝莱林的逼抢，回传罗马尼奥利                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
35'过顶球再找前场中路的库特罗内                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
35'库特罗内停球转身，和穆斯塔菲相撞后倒地                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
35'裁判没理会，球被解围                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
35'苏索拿球，斜传转移到左前场，出界了                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
36'米兰前场再攻，罗德里格斯左路拿球                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
36'横传给到恰尔汉奥卢                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
36'进球了！！！！                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
36'恰尔汉奥卢的世界波！！                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
37'罗德里格斯左路拿球内切，横传恰尔汉奥卢，趟出两步，直接起脚远射，打进！！！                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
37'米兰客场扳回一城，悬念来啦！！                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
37'阿森纳的前场进攻，拉姆塞的远射                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
37'多纳鲁马将球封堵出来！！！                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
38'阿森纳前场再攻，姆希塔良中路强突                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
38'禁区弧顶外脚背斜塞找前插的维尔贝克                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
38'罗德里格斯的回防，和维尔贝克相撞，后者倒地                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
38'主裁判犹豫了一下，给了阿森纳点球！！                   35'AC米兰第35分钟打破僵局，里卡多-罗德里格斯传球，恰尔汉奥卢30码处抽射落叶球入右下角
39'米兰球员很不满，抗议了，但无力改变啊                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
39'维尔贝克主罚，一蹴而就！！                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
40'维尔贝克助跑，骗过门将，多纳鲁马扑向自己的左侧，维尔贝克推射打进多纳鲁马左侧空门！                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
40'这个点球，多个角度回放，判罚有些严重啊                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
40'主裁判和边裁协商做出的判罚，镜头不断给到场边的边裁                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
41'米兰前场进攻，过顶球到禁区                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
41'安德烈-席尔瓦接应摆渡，钱伯斯回防将球碰出底线                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
42'安德烈-席尔瓦认为钱伯斯有手球，抗议被赏了一张黄牌！                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
42'之前罗马尼奥利对于点球判罚的不满抗议，也是领到黄牌！                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
42'米兰角球机会，开出到禁区，没威胁！！                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
42'蒙雷亚尔前场左路拿球，内切被博里尼拉倒在地                   39'阿森纳第39分钟扳平比分，姆希塔良直传，维尔贝克禁区右侧拿球在里卡多-罗德里格斯防守下摔倒，裁判判罚极刑引来AC米兰球员不满，维尔贝克亲自主罚点球命中，1-1
71'扎卡中场拿球，面对逼抢                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
71'回传后场给到钱伯斯，分球右路贝莱林                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
71'阿森纳再进一球！！！                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
71'扎卡的远射！！                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
72'多纳鲁马准备不足啊                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
73'阿森纳前场进攻，右路横传给扎卡，扎卡带球横切，调整两步，起脚远射，多纳鲁马侧扑将球一打，脱手了，球弹进了球门左侧！！                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
74'大半场时间表现出色的多纳鲁马，这次扑救很致命啊！                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
74'博里尼前场右路拿球，内切斜传禁区                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
74'直接送入了奥斯皮纳的怀中！！！                   71'阿森纳第71分钟反超，拉姆塞传球，扎卡30码处远射被唐纳鲁马扑挡后偏转入网，2-1
