2'射门!!!曼联球员克莱维利大禁区外右脚射门,被对方守门员横身扑出.给他传球的是维尔贝克.                   2'开场仅2分钟，维尔贝克传球，鲍威尔禁区弧边缘的射门偏转后被穆斯莱拉没收
34'射门!!!加拉塔萨雷球员阿尔滕托普大禁区外左脚射门,被对方守门员横身扑出.给他传球的是伊南.                   33'第33分钟，伊南传中，卡亚头球攻门被封堵，随后伊南再传，阿尔滕托普20码处劲射被林德加德漂亮救下
35'埃尔南德斯为曼联在右路,赢得一个任意球.                   33'第33分钟，伊南传中，卡亚头球攻门被封堵，随后伊南再传，阿尔滕托普20码处劲射被林德加德漂亮救下
35'加拉塔萨雷球员努恩库拼抢犯规,对手获得控球权.                   33'第33分钟，伊南传中，卡亚头球攻门被封堵，随后伊南再传，阿尔滕托普20码处劲射被林德加德漂亮救下
35'拉斐尔为曼联在右路,赢得一个任意球.                   33'第33分钟，伊南传中，卡亚头球攻门被封堵，随后伊南再传，阿尔滕托普20码处劲射被林德加德漂亮救下
35'加拉塔萨雷球员伊南拼抢犯规,对手获得控球权.                   33'第33分钟，伊南传中，卡亚头球攻门被封堵，随后伊南再传，阿尔滕托普20码处劲射被林德加德漂亮救下
36'梅洛将球处理出底线,曼联获得角球.                   33'第33分钟，伊南传中，卡亚头球攻门被封堵，随后伊南再传，阿尔滕托普20码处劲射被林德加德漂亮救下
36'穆斯莱拉将球处理出底线,曼联获得角球.                   33'第33分钟，伊南传中，卡亚头球攻门被封堵，随后伊南再传，阿尔滕托普20码处劲射被林德加德漂亮救下
42'加拉塔萨雷球员阿尔滕托普大禁区右侧右脚射门,被防守球员封堵.给他传球的是埃尔曼德.                   42'第42分钟，阿尔滕托普和梅洛的射门又被挡出
42'加拉塔萨雷球员梅洛大禁区外右脚射门,被防守球员封堵.给他传球的是阿尔滕托普.                   42'第42分钟，阿尔滕托普和梅洛的射门又被挡出
42'埃布将球处理出底线,曼联获得角球.                   42'第42分钟，阿尔滕托普和梅洛的射门又被挡出
43'曼联球员鲍威尔小禁区右侧头球,命中门柱横梁.给他传球的是克莱维利.                   42'第42分钟，阿尔滕托普和梅洛的射门又被挡出
44'阿姆拉巴特为加拉塔萨雷赢得一个任意球.                   42'第42分钟，阿尔滕托普和梅洛的射门又被挡出
44'曼联球员安德森拼抢犯规,对手获得控球权.                   42'第42分钟，阿尔滕托普和梅洛的射门又被挡出
45'+2'上半场结束,加拉塔萨雷 0-0 曼联,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，阿尔滕托普和梅洛的射门又被挡出
62'曼联球员安德森大禁区中央左脚射门,被防守球员封堵.给他传球的是埃尔南德斯.                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
62'卡亚将球处理出底线,曼联获得角球.                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
62'梅洛将球处理出底线,曼联获得角球.                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
63'梅洛将球处理出底线,曼联获得角球.                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
63'加拉塔萨雷换人,贝塔尔换下埃尔曼德                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
64'加拉塔萨雷球员阿姆拉巴特拼抢犯规,对手获得控球权.                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
64'拉斐尔为曼联赢得一个任意球.                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
65'加拉塔萨雷球员伊南大禁区外右脚射门,被防守球员封堵.给他传球的是阿姆拉巴特.                   62'第62分钟，埃尔南德斯传球，安德森10码处捅射又被卡亚挡出右侧立柱
78'射门!!!加拉塔萨雷球员阿尔滕托普大禁区外右脚射门,被对方守门员横身扑出.给他传球的是阿姆拉巴特.                   78'第78分钟，阿姆拉巴特传球，阿尔滕托普远射打中横梁
80'加拉塔萨雷球员梅洛拼抢犯规,对手获得控球权.                   78'第78分钟，阿姆拉巴特传球，阿尔滕托普远射打中横梁
80'菲尔-琼斯为曼联在对方半场,赢得一个任意球.                   78'第78分钟，阿姆拉巴特传球，阿尔滕托普远射打中横梁
81'加拉塔萨雷换人,乔拉克换下阿姆拉巴特                   78'第78分钟，阿姆拉巴特传球，阿尔滕托普远射打中横梁
