6'奥萨苏纳球员达米亚拼抢犯规,对手获得控球权.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
34'进球啦！！！巴塞罗那球员伊涅斯塔大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是布斯克茨. 巴塞罗那 3-0 奥萨苏纳.                   34'巴萨第34分钟锁定胜局，布斯克茨传球，伊涅斯塔左路25码处左脚劲射远角入网，3-0
37'射门!!!巴塞罗那球员阿尔维斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是哈维.                   34'巴萨第34分钟锁定胜局，布斯克茨传球，伊涅斯塔左路25码处左脚劲射远角入网，3-0
37'安德雷斯将球处理出底线,巴塞罗那获得角球.                   34'巴萨第34分钟锁定胜局，布斯克茨传球，伊涅斯塔左路25码处左脚劲射远角入网，3-0
47'巴塞罗那球员哈维大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阿尔巴.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
48'塞胡多为奥萨苏纳在右路,赢得一个任意球.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
48'巴塞罗那球员阿尔巴拼抢犯规,对手获得控球权.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
48'奥萨苏纳球员阿里瓦斯拼抢犯规,对手获得控球权.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
48'桑切斯为巴塞罗那在右路,赢得一个任意球.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
48'黄牌！奥萨苏纳球员阿里瓦斯因为恶意犯规,被主裁判出示黄牌.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
49'巴塞罗那球员佩德罗大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尔巴.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
50'奥萨苏纳球员托雷斯危险动作,对手获得控球权.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
50'阿尔维斯为巴塞罗那赢得一个任意球.                   47'2分钟后，伊涅斯塔传球，哈维禁区右侧12码处第一时间半凌空抽射又被安德列斯扑出
49'巴塞罗那球员佩德罗大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尔巴.                   49'第49分钟，阿尔巴传球，佩德罗摆脱数人突入禁区左肋10码处的射门打在边网
50'奥萨苏纳球员托雷斯危险动作,对手获得控球权.                   49'第49分钟，阿尔巴传球，佩德罗摆脱数人突入禁区左肋10码处的射门打在边网
50'阿尔维斯为巴塞罗那赢得一个任意球.                   49'第49分钟，阿尔巴传球，佩德罗摆脱数人突入禁区左肋10码处的射门打在边网
52'射门!!!巴塞罗那球员伊涅斯塔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是阿尔巴.                   49'第49分钟，阿尔巴传球，佩德罗摆脱数人突入禁区左肋10码处的射门打在边网
47'巴塞罗那球员哈维大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阿尔巴.                   46'1分钟后，里埃拉小禁区边缘仓促挡射，皮球打在小腿上偏出右侧立柱
48'塞胡多为奥萨苏纳在右路,赢得一个任意球.                   46'1分钟后，里埃拉小禁区边缘仓促挡射，皮球打在小腿上偏出右侧立柱
48'巴塞罗那球员阿尔巴拼抢犯规,对手获得控球权.                   46'1分钟后，里埃拉小禁区边缘仓促挡射，皮球打在小腿上偏出右侧立柱
48'奥萨苏纳球员阿里瓦斯拼抢犯规,对手获得控球权.                   46'1分钟后，里埃拉小禁区边缘仓促挡射，皮球打在小腿上偏出右侧立柱
48'桑切斯为巴塞罗那在右路,赢得一个任意球.                   46'1分钟后，里埃拉小禁区边缘仓促挡射，皮球打在小腿上偏出右侧立柱
48'黄牌！奥萨苏纳球员阿里瓦斯因为恶意犯规,被主裁判出示黄牌.                   46'1分钟后，里埃拉小禁区边缘仓促挡射，皮球打在小腿上偏出右侧立柱
49'巴塞罗那球员佩德罗大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尔巴.                   46'1分钟后，里埃拉小禁区边缘仓促挡射，皮球打在小腿上偏出右侧立柱
58'塞胡多为奥萨苏纳在对方半场,赢得一个任意球.                   58'第58分钟，马斯切拉诺对塞胡多犯规被罚黄牌，但随后阿里巴斯小禁区边缘错过皮球
58'巴塞罗那球员马斯切拉诺拼抢犯规,对手获得控球权.                   58'第58分钟，马斯切拉诺对塞胡多犯规被罚黄牌，但随后阿里巴斯小禁区边缘错过皮球
58'黄牌！巴塞罗那球员马斯切拉诺因为恶意犯规,被主裁判出示黄牌.                   58'第58分钟，马斯切拉诺对塞胡多犯规被罚黄牌，但随后阿里巴斯小禁区边缘错过皮球
63'进球啦！！！巴塞罗那球员梅西小禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是伊涅斯塔. 巴塞罗那 4-0 奥萨苏纳.                   63'第63分钟，梅西在禁区左侧连过2人后传球，伊涅斯塔传回，梅西小禁区左侧破门，4-0
64'马斯切拉诺将球处理出底线,奥萨苏纳获得角球.                   63'第63分钟，梅西在禁区左侧连过2人后传球，伊涅斯塔传回，梅西小禁区左侧破门，4-0
65'奥萨苏纳球员F-席尔瓦一脚直塞球给列拉,但是边裁举旗显示后者已经越位.                   63'第63分钟，梅西在禁区左侧连过2人后传球，伊涅斯塔传回，梅西小禁区左侧破门，4-0
66'奥耶尔为奥萨苏纳赢得一个任意球.                   63'第63分钟，梅西在禁区左侧连过2人后传球，伊涅斯塔传回，梅西小禁区左侧破门，4-0
66'巴塞罗那球员阿尔巴拼抢犯规,对手获得控球权.                   63'第63分钟，梅西在禁区左侧连过2人后传球，伊涅斯塔传回，梅西小禁区左侧破门，4-0
69'射门!!!奥萨苏纳球员托雷斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是F-席尔瓦.                   69'第69分钟，弗朗西斯科-席尔瓦传球，罗贝托-托雷斯22码处劲射被巴尔德斯托出横梁
69'巴尔德斯将球处理出底线,奥萨苏纳获得角球.                   69'第69分钟，弗朗西斯科-席尔瓦传球，罗贝托-托雷斯22码处劲射被巴尔德斯托出横梁
70'奥萨苏纳换人,普尼亚尔换下托雷斯                   69'第69分钟，弗朗西斯科-席尔瓦传球，罗贝托-托雷斯22码处劲射被巴尔德斯托出横梁
70'巴塞罗那球员梅西大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是佩德罗.                   69'第69分钟，弗朗西斯科-席尔瓦传球，罗贝托-托雷斯22码处劲射被巴尔德斯托出横梁
72'巴塞罗那球员桑切斯手球犯规,对手获得球权.                   69'第69分钟，弗朗西斯科-席尔瓦传球，罗贝托-托雷斯22码处劲射被巴尔德斯托出横梁
72'奥萨苏纳球员塞胡多大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是达米亚.                   69'第69分钟，弗朗西斯科-席尔瓦传球，罗贝托-托雷斯22码处劲射被巴尔德斯托出横梁
72'巴塞罗那球员桑切斯手球犯规,对手获得球权.                   72'第72分钟，达米亚传中，塞胡多头球攻门偏出
72'奥萨苏纳球员塞胡多大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是达米亚.                   72'第72分钟，达米亚传中，塞胡多头球攻门偏出
75'射门!!!巴塞罗那球员梅西大禁区外左脚射门,被对方守门员横身扑出.给他传球的是阿尔维斯.                   72'第72分钟，达米亚传中，塞胡多头球攻门偏出
75'安德雷斯将球处理出底线,巴塞罗那获得角球.                   72'第72分钟，达米亚传中，塞胡多头球攻门偏出
78'进球啦！！！巴塞罗那球员特略大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是伊涅斯塔. 巴塞罗那 5-0 奥萨苏纳.                   78'第78分钟，伊涅斯塔传球，刚刚换下桑切斯的特略左路内切后20码处劲射入远角，5-0
