2'卢卡库禁区前沿接到回做后直接打门                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
74'74分钟！！！！                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
74'曼联落后了！！！                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
74'本耶德尔！！！                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
75'塞维利亚中场拿球给到前场，队友接球送直塞给到本耶德尔，本耶德尔禁区内接球稍作调整直接捅射近角破门！！                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
75'这下对曼联来说是非常的不利                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
75'还有15分钟                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
75'曼联这边至少要打进2球才能翻盘                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
77'曼联这边连换两人                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
77'马塔被换了上来                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
78'塞维利亚这边又获得角球会                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
78'角球送后点                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
78'险些又进球啊                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
78'裁判这边吹进了！！！                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
78'门线技术！！                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
78'还是本耶德尔！！！                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
79'比赛基本上是结束了                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
79'塞维利亚角球开出，前点华金-科雷亚摆渡到后点，本耶德尔后点小角度头球攻门，德赫亚门线上扑了一下，球弹下来后还是整体越过门线了！！！                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
80'曼联这边左路的任意球                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
80'任意球给到禁区                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
80'斯莫林这边没有打上                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
81'华金-科雷亚左路拿球给到禁区                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
81'后点又是险些失误啊                   78'塞维利亚第78分钟扩大比分，科雷亚角球混战中前点头球摆渡，本-耶德尔小禁区右侧头球攻门被德赫亚勉强扑挡后越过门线，2-0
84'拉什福德角球给到中路                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
84'1-2！！！！                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
84'卢卡库！！！                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
84'角球送禁区中路，卢卡库侧身扫射破门！！                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
84'曼联现在还需要两粒进球才能翻盘                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
85'塞维利亚右路起球送禁区                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
85'本耶德尔禁区内抽射打偏                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
85'曼联这边也是抓紧时间进攻                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
86'卢卡库右路拿球送直塞                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
86'禁区内队友横敲到门前                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
86'空门了啊                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
86'但是没人啊                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
86'曼联右路起球送禁区                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
86'前点被破坏                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
86'曼联右路起球送禁区                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
87'拉什福德头球攻门                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
87'稍稍顶偏了                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
87'塞维利亚换人                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
87'巴斯克斯下，皮萨罗上！                   84'曼联第84分钟扳回一城，拉什福德开出角球，卢卡库近距离凌空扫射入网，1-2
